id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Venezuela;2025-04-02 18:29:49+00:00;1743618589;2025-04-02 18:29:49+00:00;1743618589;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
1;Argentina;2025-04-02 21:16:27+00:00;1743628587;2025-04-02 21:16:27+00:00;1743628587;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
2;Madagascar;2025-04-04 20:03:42+00:00;1743797022;2025-04-04 20:03:42+00:00;1743797022;---;3;3;Client_2;C;C_5;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
3;Uzbekistan;2025-04-06 00:09:16+00:00;1743898156;2025-04-06 00:09:16+00:00;1743898156;---;4;4;Client_2;D;D_6;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
4;Democratic Republic of the Congo;2025-04-06 04:16:21+00:00;1743912981;2025-04-06 04:16:21+00:00;1743912981;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;False;False;True;False;True;---;---;---;---
5;Bulgaria;2025-04-09 18:56:32+00:00;1744224992;2025-04-09 18:56:32+00:00;1744224992;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
6;Armenia;2025-04-12 01:38:54+00:00;1744421934;2025-04-12 01:38:54+00:00;1744421934;---;2;2;Client_1;E;E_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;195.250.67.244;46016;46.36.201.120;65407
7;Zimbabwe;2025-04-12 02:50:17+00:00;1744426217;2025-04-12 02:50:17+00:00;1744426217;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;False;False;True;False;True;---;---;---;---
8;Cameroon;2025-04-13 19:33:00+00:00;1744572780;2025-04-13 19:33:00+00:00;1744572780;---;3;3;Client_2;C;C_1;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
9;Togo;2025-04-17 04:13:49+00:00;1744863229;2025-04-17 04:13:49+00:00;1744863229;---;2;2;Client_2;E;E_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;104.167.195.24;18188;67.223.147.184;52372
10;Algeria;2025-04-17 11:16:40+00:00;1744888600;2025-04-17 11:16:40+00:00;1744888600;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
11;Jamaica;2025-04-21 04:28:47+00:00;1745209727;2025-04-21 04:28:47+00:00;1745209727;---;1;1;Client_2;H;H_3;---;---;---;---;---;---;False;---;True;True;True;True;True;False;---;---;---;---
