id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Togo;2025-04-01 14:39:29+00:00;1743518369;2025-04-01 14:39:29+00:00;1743518369;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
1;Guatemala;2025-04-01 20:28:21+00:00;1743539301;2025-04-01 20:28:21+00:00;1743539301;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
2;Madagascar;2025-04-08 14:25:54+00:00;1744122354;2025-04-08 14:25:54+00:00;1744122354;---;2;2;Client_2;B;B_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
3;Saint Vincent and the Grenadines;2025-04-11 16:12:38+00:00;1744387958;2025-04-11 16:12:38+00:00;1744387958;---;3;3;Client_2;C;C_8;---;---;---;---;---;---;False;---;False;False;False;True;True;False;---;---;---;---
4;Kyrgyzstan;2025-04-12 13:49:00+00:00;1744465740;2025-04-12 13:49:00+00:00;1744465740;---;4;4;Client_1;D;D_4;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
5;El Salvador;2025-04-18 19:44:46+00:00;1745005486;2025-04-18 19:44:46+00:00;1745005486;---;3;3;Client_2;C;C_6;---;---;---;---;---;---;False;---;False;False;False;True;True;False;---;---;---;---
6;Burundi;2025-04-26 23:08:35+00:00;1745708915;2025-04-26 23:08:35+00:00;1745708915;---;4;4;Client_1;D;D_4;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
7;Grenada;2025-04-27 00:49:53+00:00;1745714993;2025-04-27 00:49:53+00:00;1745714993;---;2;2;Client_1;K;K_1;---;---;---;---;---;---;False;---;True;True;False;True;True;False;200.50.71.56;976;89.236.8.115;59296
8;Venezuela;2025-05-01 06:16:56+00:00;1746080216;2025-05-01 06:16:56+00:00;1746080216;---;4;4;Client_1;I;I_2;---;---;---;---;---;---;False;---;True;False;False;True;True;True;---;---;---;---
9;Trinidad and Tobago;2025-05-04 22:28:37+00:00;1746397717;2025-05-04 22:28:37+00:00;1746397717;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
10;Panama;2025-05-05 08:49:32+00:00;1746434972;2025-05-05 08:49:32+00:00;1746434972;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;False;False;True;False;True;False;---;---;---;---
11;Ghana;2025-05-07 11:38:59+00:00;1746617939;2025-05-07 11:38:59+00:00;1746617939;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
12;Iceland;2025-05-07 23:02:49+00:00;1746658969;2025-05-07 23:02:49+00:00;1746658969;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
13;Guatemala;2025-05-10 18:40:02+00:00;1746902402;2025-05-10 18:40:02+00:00;1746902402;---;3;3;Client_1;C;C_2;---;---;---;---;---;---;False;---;False;False;False;True;True;False;---;---;---;---
14;Gabon;2025-05-12 22:28:26+00:00;1747088906;2025-05-12 22:28:26+00:00;1747088906;---;1;1;Client_2;J;J_3;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
15;Pakistan;2025-05-14 16:34:51+00:00;1747240491;2025-05-14 16:34:51+00:00;1747240491;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
16;Samoa;2025-05-15 10:46:28+00:00;1747305988;2025-05-15 10:46:28+00:00;1747305988;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
17;Antigua and Barbuda;2025-05-18 14:54:22+00:00;1747580062;2025-05-18 14:54:22+00:00;1747580062;---;2;2;Client_2;L;L_1;---;---;---;---;---;---;False;---;False;False;True;False;True;False;---;---;---;---
18;Uzbekistan;2025-05-19 20:47:31+00:00;1747687651;2025-05-19 20:47:31+00:00;1747687651;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;False;True;True;False;---;---;---;---
19;Botswana;2025-05-20 16:26:37+00:00;1747758397;2025-05-20 16:26:37+00:00;1747758397;---;2;2;Client_1;B;B_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
20;Gambia;2025-05-26 03:19:39+00:00;1748229579;2025-05-26 03:19:39+00:00;1748229579;---;1;1;Client_1;H;H_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
21;Canada;2025-05-26 14:37:37+00:00;1748270257;2025-05-26 14:37:37+00:00;1748270257;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;False;False;True;False;True;False;---;---;---;---
22;Republic of Ireland;2025-05-29 01:55:39+00:00;1748483739;2025-05-29 01:55:39+00:00;1748483739;---;1;1;Client_1;J;J_2;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
23;Brazil;2025-05-30 17:16:10+00:00;1748625370;2025-05-30 17:16:10+00:00;1748625370;---;4;4;Client_2;D;D_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
24;France;2025-05-31 16:06:16+00:00;1748707576;2025-05-31 16:06:16+00:00;1748707576;---;4;4;Client_2;D;D_2;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
25;Azerbaijan;2025-06-04 06:58:15+00:00;1749020295;2025-06-04 06:58:15+00:00;1749020295;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;True;True;False;True;True;False;208.220.225.31;15689;41.205.251.24;63400
26;Burkina Faso;2025-06-04 11:50:27+00:00;1749037827;2025-06-04 11:50:27+00:00;1749037827;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
27;Burundi;2025-06-07 13:05:28+00:00;1749301528;2025-06-07 13:05:28+00:00;1749301528;---;4;4;Client_2;I;I_1;---;---;---;---;---;---;False;---;True;False;False;True;True;True;---;---;---;---
28;Mauritania;2025-06-09 16:03:08+00:00;1749484988;2025-06-09 16:03:08+00:00;1749484988;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
29;Spain;2025-06-11 15:15:59+00:00;1749654959;2025-06-11 15:15:59+00:00;1749654959;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
30;Costa Rica;2025-06-15 07:47:30+00:00;1749973650;2025-06-15 07:47:30+00:00;1749973650;---;1;1;Client_2;H;H_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
31;Nepal;2025-06-18 02:03:34+00:00;1750212214;2025-06-18 02:03:34+00:00;1750212214;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
32;Palau;2025-06-20 11:48:04+00:00;1750420084;2025-06-20 11:48:04+00:00;1750420084;---;2;2;Client_2;F;F_4;---;---;---;---;---;---;False;---;False;True;False;False;False;False;103.251.132.244;963;86.106.113.210;54963
33;Guinea;2025-06-22 16:05:43+00:00;1750608343;2025-06-22 16:05:43+00:00;1750608343;---;4;4;Client_2;D;D_4;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
