id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Canada;2025-04-01 14:39:29+00:00;1743518369;2025-04-01 14:39:29+00:00;1743518369;---;2;2;Client_1;B;B_3;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
1;Switzerland;2025-04-01 20:28:21+00:00;1743539301;2025-04-01 20:28:21+00:00;1743539301;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;False;True;True;True;True;---;---;---;---
2;Palau;2025-04-06 15:41:37+00:00;1743954097;2025-04-06 15:41:37+00:00;1743954097;---;2;2;Client_2;B;B_2;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
3;El Salvador;2025-04-08 14:25:54+00:00;1744122354;2025-04-08 14:25:54+00:00;1744122354;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
4;Burundi;2025-04-11 16:12:38+00:00;1744387958;2025-04-11 16:12:38+00:00;1744387958;---;3;3;Client_1;C;C_2;---;---;---;---;---;---;False;---;True;True;False;True;False;True;---;---;---;---
5;Jordan;2025-04-18 19:44:46+00:00;1745005486;2025-04-18 19:44:46+00:00;1745005486;---;3;3;Client_1;C;C_6;---;---;---;---;---;---;False;---;True;True;False;True;False;True;---;---;---;---
6;Kuwait;2025-04-26 23:08:35+00:00;1745708915;2025-04-26 23:08:35+00:00;1745708915;---;2;2;Client_1;E;E_6;---;---;---;---;---;---;False;---;False;True;False;False;False;False;168.187.205.52;975;89.38.67.210;61883
7;Kyrgyzstan;2025-04-27 00:49:53+00:00;1745714993;2025-04-27 00:49:53+00:00;1745714993;---;1;1;Client_1;H;H_1;---;---;---;---;---;---;False;---;False;True;False;True;True;False;---;---;---;---
8;Guinea-Bissau;2025-05-01 06:16:56+00:00;1746080216;2025-05-01 06:16:56+00:00;1746080216;---;4;4;Client_2;I;I_8;---;---;---;---;---;---;False;---;True;True;True;True;False;True;---;---;---;---
9;Lesotho;2025-05-04 22:28:37+00:00;1746397717;2025-05-04 22:28:37+00:00;1746397717;---;2;2;Client_2;E;E_3;---;---;---;---;---;---;False;---;False;True;False;False;False;False;80.78.20.59;700;197.213.251.190;49770
10;Finland;2025-05-05 08:49:32+00:00;1746434972;2025-05-05 08:49:32+00:00;1746434972;---;1;1;Client_1;J;J_1;---;---;---;---;---;---;False;---;False;False;False;True;True;True;---;---;---;---
11;Turkey;2025-05-07 11:38:59+00:00;1746617939;2025-05-07 11:38:59+00:00;1746617939;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
12;Democratic Republic of the Congo;2025-05-07 23:02:49+00:00;1746658969;2025-05-07 23:02:49+00:00;1746658969;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;45.42.139.41;5996;213.42.123.18;56347
13;Niger;2025-05-10 18:40:02+00:00;1746902402;2025-05-10 18:40:02+00:00;1746902402;---;4;4;Client_1;D;D_3;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
14;Gambia;2025-05-12 22:28:26+00:00;1747088906;2025-05-12 22:28:26+00:00;1747088906;---;1;1;Client_1;J;J_1;---;---;---;---;---;---;False;---;False;False;False;True;True;True;---;---;---;---
15;Panama;2025-05-14 16:08:04+00:00;1747238884;2025-05-14 16:08:04+00:00;1747238884;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
16;Portugal;2025-05-14 16:34:51+00:00;1747240491;2025-05-14 16:34:51+00:00;1747240491;---;2;2;Client_2;B;B_4;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
17;Venezuela;2025-05-15 10:46:28+00:00;1747305988;2025-05-15 10:46:28+00:00;1747305988;---;4;4;Client_2;I;I_1;---;---;---;---;---;---;False;---;True;True;True;True;False;True;---;---;---;---
18;Guatemala;2025-05-18 14:54:22+00:00;1747580062;2025-05-18 14:54:22+00:00;1747580062;---;4;4;Client_2;D;D_2;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
19;Malawi;2025-05-19 20:47:31+00:00;1747687651;2025-05-19 20:47:31+00:00;1747687651;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;False;True;True;True;---;---;---;---
20;Austria;2025-05-20 16:26:37+00:00;1747758397;2025-05-20 16:26:37+00:00;1747758397;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
21;Madagascar;2025-05-26 03:19:39+00:00;1748229579;2025-05-26 03:19:39+00:00;1748229579;---;2;2;Client_2;K;K_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;154.120.148.13;35556;41.79.127.243;63188
22;France;2025-05-26 14:37:37+00:00;1748270257;2025-05-26 14:37:37+00:00;1748270257;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
23;Jamaica;2025-05-29 01:55:39+00:00;1748483739;2025-05-29 01:55:39+00:00;1748483739;---;2;2;Client_2;E;E_3;---;---;---;---;---;---;False;---;False;True;False;False;False;False;72.252.188.173;41176;196.1.138.23;53872
