id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Palau;2025-04-05 20:12:16+00:00;1743883936;2025-04-05 20:12:16+00:00;1743883936;---;3;3;Client_2;C;C_8;---;---;---;---;---;---;False;---;False;True;False;True;True;True;---;---;---;---
1;Australia;2025-04-06 06:29:16+00:00;1743920956;2025-04-06 06:29:16+00:00;1743920956;---;1;1;Client_2;H;H_1;---;---;---;---;---;---;False;---;True;True;True;False;True;False;---;---;---;---
2;Palau;2025-04-10 18:59:02+00:00;1744311542;2025-04-10 18:59:02+00:00;1744311542;---;1;1;Client_1;J;J_2;---;---;---;---;---;---;False;---;True;False;True;True;True;True;---;---;---;---
3;Uganda;2025-04-11 03:23:23+00:00;1744341803;2025-04-11 03:23:23+00:00;1744341803;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;True;---;False;False;False;False;False;False;---;---;---;---
4;Liberia;2025-04-11 18:09:25+00:00;1744394965;2025-04-11 18:09:25+00:00;1744394965;---;3;3;Client_1;C;C_3;---;---;---;---;---;---;False;---;False;True;False;True;True;True;---;---;---;---
5;United Arab Emirates;2025-04-11 18:40:04+00:00;1744396804;2025-04-11 18:40:04+00:00;1744396804;---;3;3;Client_2;C;C_5;---;---;---;---;---;---;False;---;False;True;False;True;True;True;---;---;---;---
6;Belarus;2025-04-13 08:52:38+00:00;1744534358;2025-04-13 08:52:38+00:00;1744534358;---;4;4;Client_1;I;I_4;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
7;Norway;2025-04-16 11:51:57+00:00;1744804317;2025-04-16 11:51:57+00:00;1744804317;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;True;True;True;False;True;---;---;---;---
8;Hong Kong;2025-04-18 01:29:52+00:00;1744939792;2025-04-18 01:29:52+00:00;1744939792;---;2;2;Client_2;E;E_4;---;---;---;---;---;---;False;---;False;False;True;False;False;False;113.20.134.40;39213;46.151.53.73;55392
9;San Marino;2025-04-23 12:03:19+00:00;1745409799;2025-04-23 12:03:19+00:00;1745409799;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;True;True;True;False;True;---;---;---;---
10;Barbados;2025-04-26 04:48:51+00:00;1745642931;2025-04-26 04:48:51+00:00;1745642931;---;4;4;Client_1;I;I_2;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
11;Kyrgyzstan;2025-04-27 15:20:02+00:00;1745767202;2025-04-27 15:20:02+00:00;1745767202;---;4;4;Client_2;D;D_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
12;Jordan;2025-04-28 08:34:54+00:00;1745829294;2025-04-28 08:34:54+00:00;1745829294;---;1;1;Client_2;H;H_1;---;---;---;---;---;---;False;---;True;True;True;False;True;False;---;---;---;---
13;Romania;2025-05-01 05:24:58+00:00;1746077098;2025-05-01 05:24:58+00:00;1746077098;---;2;2;Client_1;F;F_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
14;Solomon Islands;2025-05-01 17:55:35+00:00;1746122135;2025-05-01 17:55:35+00:00;1746122135;---;2;2;Client_2;E;E_2;---;---;---;---;---;---;False;---;False;False;True;False;False;False;202.63.255.183;20646;176.221.64.248;64289
15;Fiji;2025-05-01 20:23:52+00:00;1746131032;2025-05-01 20:23:52+00:00;1746131032;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;True;False;False;True;True;183.81.137.137;23679;185.37.108.123;65085
