id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Finland;2025-04-01 14:39:29+00:00;1743518369;2025-04-01 14:39:29+00:00;1743518369;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
1;Venezuela;2025-04-01 20:28:21+00:00;1743539301;2025-04-01 20:28:21+00:00;1743539301;---;1;1;Client_1;J;J_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
2;Mozambique;2025-04-08 14:25:54+00:00;1744122354;2025-04-08 14:25:54+00:00;1744122354;---;2;2;Client_2;B;B_6;---;---;---;---;---;---;False;---;True;False;True;True;False;False;---;---;---;---
3;Cameroon;2025-04-11 16:12:38+00:00;1744387958;2025-04-11 16:12:38+00:00;1744387958;---;4;4;Client_2;D;D_3;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
4;Bolivia;2025-04-18 19:44:46+00:00;1745005486;2025-04-18 19:44:46+00:00;1745005486;---;4;4;Client_2;D;D_4;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
5;Papua New Guinea;2025-04-26 23:08:35+00:00;1745708915;2025-04-26 23:08:35+00:00;1745708915;---;3;3;Client_1;C;C_1;---;---;---;---;---;---;False;---;True;False;False;True;True;False;---;---;---;---
6;Brazil;2025-04-27 00:49:53+00:00;1745714993;2025-04-27 00:49:53+00:00;1745714993;---;1;1;Client_2;H;H_1;---;---;---;---;---;---;False;---;True;True;True;True;True;False;---;---;---;---
7;Pakistan;2025-05-01 06:16:56+00:00;1746080216;2025-05-01 06:16:56+00:00;1746080216;---;4;4;Client_2;I;I_8;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
8;Grenada;2025-05-04 22:28:37+00:00;1746397717;2025-05-04 22:28:37+00:00;1746397717;---;2;2;Client_1;E;E_3;---;---;---;---;---;---;False;---;True;False;True;False;False;False;69.73.208.195;700;80.78.27.127;49770
9;United Arab Emirates;2025-05-05 08:49:32+00:00;1746434972;2025-05-05 08:49:32+00:00;1746434972;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
10;Somalia;2025-05-07 11:38:59+00:00;1746617939;2025-05-07 11:38:59+00:00;1746617939;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
