id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Cambodia;2025-04-02 14:01:26+00:00;1743602486;2025-04-02 14:01:26+00:00;1743602486;---;2;2;Client_2;B;B_3;---;---;---;---;---;---;False;---;False;True;False;False;True;False;---;---;---;---
1;Chad;2025-04-05 10:10:24+00:00;1743847824;2025-04-05 10:10:24+00:00;1743847824;---;2;2;Client_2;B;B_5;---;---;---;---;---;---;False;---;False;True;False;False;True;False;---;---;---;---
2;Haiti;2025-04-05 14:16:09+00:00;1743862569;2025-04-05 14:16:09+00:00;1743862569;---;2;2;Client_2;F;F_1;---;---;---;---;---;---;False;---;True;False;True;True;True;False;190.120.221.107;223;80.78.26.27;49298
3;Cuba;2025-04-10 01:24:46+00:00;1744248286;2025-04-10 01:24:46+00:00;1744248286;---;2;2;Client_1;E;E_2;---;---;---;---;---;---;False;---;True;True;False;True;False;True;200.55.149.195;283;45.42.134.68;50379
4;Antigua and Barbuda;2025-04-10 22:29:10+00:00;1744324150;2025-04-10 22:29:10+00:00;1744324150;---;2;2;Client_2;E;E_2;---;---;---;---;---;---;False;---;True;True;False;True;False;True;206.48.56.77;10802;134.159.140.134;54110
5;Saint Vincent and the Grenadines;2025-04-12 10:09:23+00:00;1744452563;2025-04-12 10:09:23+00:00;1744452563;---;4;4;Client_2;I;I_6;---;---;---;---;---;---;False;---;True;True;True;True;True;False;---;---;---;---
6;Nepal;2025-04-14 16:47:12+00:00;1744649232;2025-04-14 16:47:12+00:00;1744649232;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
7;Bhutan;2025-04-14 20:38:50+00:00;1744663130;2025-04-14 20:38:50+00:00;1744663130;---;1;1;Client_1;J;J_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
8;Israel;2025-04-17 01:51:25+00:00;1744854685;2025-04-17 01:51:25+00:00;1744854685;---;2;2;Client_1;K;K_1;---;---;---;---;---;---;False;---;False;False;True;False;True;False;5.22.135.197;826;103.241.151.36;65080
9;Iceland;2025-04-17 04:45:07+00:00;1744865107;2025-04-17 04:45:07+00:00;1744865107;---;4;4;Client_2;I;I_5;---;---;---;---;---;---;False;---;True;True;True;True;True;False;---;---;---;---
