id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Lithuania;2025-03-13 03:59:16+00:00;1741838356;2025-03-13 03:59:16+00:00;1741838356;---;2;2;Client_1;E;E_5;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
1;Mauritania;2025-03-18 14:37:35+00:00;1742308655;2025-03-18 14:37:35+00:00;1742308655;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
2;Iran;2025-03-20 17:30:16+00:00;1742491816;2025-03-20 17:30:16+00:00;1742491816;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
3;Singapore;2025-03-25 15:02:48+00:00;1742914968;2025-03-25 15:02:48+00:00;1742914968;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
4;Bolivia;2025-03-26 10:28:13+00:00;1742984893;2025-03-26 10:28:13+00:00;1742984893;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
5;Slovakia;2025-03-27 01:17:04+00:00;1743038224;2025-03-27 01:17:04+00:00;1743038224;---;2;2;Client_1;E;E_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
6;Malaysia;2025-03-31 10:46:49+00:00;1743418009;2025-03-31 10:46:49+00:00;1743418009;---;2;2;Client_1;F;F_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;60.53.176.126;29214;46.36.202.57;53154
7;Angola;2025-04-10 14:15:18+00:00;1744294518;2025-04-10 14:15:18+00:00;1744294518;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
8;Eritrea;2025-04-14 01:02:23+00:00;1744592543;2025-04-14 01:02:23+00:00;1744592543;---;1;1;Client_2;H;H_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
9;Russia;2025-04-14 13:01:01+00:00;1744635661;2025-04-14 13:01:01+00:00;1744635661;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
10;Ecuador;2025-04-15 05:24:22+00:00;1744694662;2025-04-15 05:24:22+00:00;1744694662;---;1;1;Client_1;H;H_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
11;New Zealand;2025-04-15 07:24:37+00:00;1744701877;2025-04-15 07:24:37+00:00;1744701877;---;2;2;Client_1;B;B_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;103.243.163.156;804;94.23.53.122;51174
12;Tunisia;2025-04-16 20:09:13+00:00;1744834153;2025-04-16 20:09:13+00:00;1744834153;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
13;Nauru;2025-04-18 21:18:44+00:00;1745011124;2025-04-18 21:18:44+00:00;1745011124;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
14;Finland;2025-04-20 04:10:42+00:00;1745122242;2025-04-20 04:10:42+00:00;1745122242;---;1;1;Client_1;H;H_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
15;Togo;2025-04-21 14:03:29+00:00;1745244209;2025-04-21 14:03:29+00:00;1745244209;---;2;2;Client_2;B;B_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;41.207.180.54;373;103.11.125.167;61380
16;Haiti;2025-04-22 09:34:30+00:00;1745314470;2025-04-22 09:34:30+00:00;1745314470;---;2;2;Client_2;B;B_6;---;---;---;---;---;---;False;---;False;False;False;False;False;False;200.50.197.25;599;91.244.116.150;51359
17;France;2025-04-24 18:29:18+00:00;1745519358;2025-04-24 18:29:18+00:00;1745519358;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
18;Benin;2025-04-26 10:30:38+00:00;1745663438;2025-04-26 10:30:38+00:00;1745663438;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;False;---;False;False;False;False;False;True;81.91.239.112;34489;105.16.142.245;63585
19;Kyrgyzstan;2025-04-27 06:57:50+00:00;1745737070;2025-04-27 06:57:50+00:00;1745737070;---;2;2;Client_1;F;F_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;91.192.64.136;460;109.74.152.69;59257
20;Andorra;2025-04-27 17:36:15+00:00;1745775375;2025-04-27 17:36:15+00:00;1745775375;---;4;4;Client_1;D;D_4;---;---;---;---;---;---;False;---;False;False;True;False;True;True;---;---;---;---
21;Tunisia;2025-04-27 23:52:14+00:00;1745797934;2025-04-27 23:52:14+00:00;1745797934;---;2;2;Client_1;E;E_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
22;Bhutan;2025-04-30 05:17:10+00:00;1745990230;2025-04-30 05:17:10+00:00;1745990230;---;2;2;Client_1;B;B_4;---;---;---;---;---;---;False;---;False;False;False;False;False;False;118.103.139.202;337;202.20.96.134;55733
23;Solomon Islands;2025-04-30 17:58:23+00:00;1746035903;2025-04-30 17:58:23+00:00;1746035903;---;2;2;Client_2;B;B_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;103.9.50.60;17396;210.91.197.202;52037
24;Uruguay;2025-04-30 21:42:00+00:00;1746049320;2025-04-30 21:42:00+00:00;1746049320;---;3;3;Client_1;C;C_1;---;---;---;---;---;---;False;---;False;True;False;False;False;True;190.64.150.150;407;41.137.81.182;64490
25;Bangladesh;2025-05-02 17:03:46+00:00;1746205426;2025-05-02 17:03:46+00:00;1746205426;---;4;4;Client_1;D;D_3;---;---;---;---;---;---;False;---;False;False;True;False;True;True;---;---;---;---
26;Uganda;2025-05-05 03:37:17+00:00;1746416237;2025-05-05 03:37:17+00:00;1746416237;---;1;1;Client_1;H;H_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
27;Saint Vincent and the Grenadines;2025-05-06 10:28:55+00:00;1746527335;2025-05-06 10:28:55+00:00;1746527335;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
28;Italy;2025-05-08 22:44:46+00:00;1746744286;2025-05-08 22:44:46+00:00;1746744286;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
29;South Africa;2025-05-13 09:27:46+00:00;1747128466;2025-05-13 09:27:46+00:00;1747128466;---;2;2;Client_2;B;B_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;165.25.28.114;25326;194.158.73.143;63211
30;Norway;2025-05-25 10:17:32+00:00;1748168252;2025-05-25 10:17:32+00:00;1748168252;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;False;---;False;False;False;False;False;True;147.111.51.158;38549;80.78.18.172;64773
31;Syria;2025-05-25 14:16:01+00:00;1748182561;2025-05-25 14:16:01+00:00;1748182561;---;2;2;Client_2;B;B_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;78.155.67.215;28418;41.223.107.114;62948
32;Luxembourg;2025-05-30 04:41:24+00:00;1748580084;2025-05-30 04:41:24+00:00;1748580084;---;2;2;Client_2;E;E_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
33;Netherlands;2025-06-03 02:35:04+00:00;1748918104;2025-06-03 02:35:04+00:00;1748918104;---;1;1;Client_1;H;H_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
34;Jamaica;2025-06-07 07:44:45+00:00;1749282285;2025-06-07 07:44:45+00:00;1749282285;---;2;2;Client_1;F;F_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;216.118.232.199;5527;85.10.105.68;57465
