id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Azerbaijan;2025-04-01 20:58:55+00:00;1743541135;2025-04-01 20:58:55+00:00;1743541135;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;False;False;True;False;False;---;---;---;---
1;Niger;2025-04-03 05:59:02+00:00;1743659942;2025-04-03 05:59:02+00:00;1743659942;---;2;2;Client_1;E;E_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;217.113.81.122;17230;79.140.158.176;53902
2;Israel;2025-04-03 08:53:55+00:00;1743670435;2025-04-03 08:53:55+00:00;1743670435;---;4;4;Client_1;I;I_5;---;---;---;---;---;---;False;---;False;True;False;True;False;True;---;---;---;---
3;Kuwait;2025-04-10 01:50:41+00:00;1744249841;2025-04-10 01:50:41+00:00;1744249841;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;False;False;True;False;False;---;---;---;---
4;Sri Lanka;2025-04-11 11:24:12+00:00;1744370652;2025-04-11 11:24:12+00:00;1744370652;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
5;Ghana;2025-04-12 23:34:34+00:00;1744500874;2025-04-12 23:34:34+00:00;1744500874;---;2;2;Client_1;E;E_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;41.77.65.106;25;197.220.99.33;53861
6;Belize;2025-04-15 05:41:25+00:00;1744695685;2025-04-15 05:41:25+00:00;1744695685;---;2;2;Client_1;B;B_2;---;---;---;---;---;---;False;---;True;True;False;True;False;False;---;---;---;---
7;Namibia;2025-04-20 06:47:53+00:00;1745131673;2025-04-20 06:47:53+00:00;1745131673;---;1;1;Client_1;H;H_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
8;Jamaica;2025-04-20 18:30:53+00:00;1745173853;2025-04-20 18:30:53+00:00;1745173853;---;4;4;Client_2;D;D_3;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
9;Jamaica;2025-04-20 21:55:41+00:00;1745186141;2025-04-20 21:55:41+00:00;1745186141;---;4;4;Client_2;D;D_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
