id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Spain;2025-04-01 14:39:29+00:00;1743518369;2025-04-01 14:39:29+00:00;1743518369;---;2;2;Client_1;B;B_4;---;---;---;---;---;---;False;---;True;False;False;True;True;False;---;---;---;---
1;Iceland;2025-04-01 20:28:21+00:00;1743539301;2025-04-01 20:28:21+00:00;1743539301;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
2;Mauritania;2025-04-06 15:41:37+00:00;1743954097;2025-04-06 15:41:37+00:00;1743954097;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;False;---;False;False;False;False;False;True;57.84.11.76;484;45.59.150.160;55748
3;Ghana;2025-04-08 14:25:54+00:00;1744122354;2025-04-08 14:25:54+00:00;1744122354;---;2;2;Client_1;B;B_6;---;---;---;---;---;---;False;---;True;False;False;True;True;False;---;---;---;---
4;Luxembourg;2025-04-10 22:45:06+00:00;1744325106;2025-04-10 22:45:06+00:00;1744325106;---;1;1;Client_1;J;J_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
5;Guatemala;2025-04-16 08:51:44+00:00;1744793504;2025-04-16 08:51:44+00:00;1744793504;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
6;Turkey;2025-04-18 19:44:46+00:00;1745005486;2025-04-18 19:44:46+00:00;1745005486;---;4;4;Client_2;D;D_2;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
7;Canada;2025-04-21 03:01:43+00:00;1745204503;2025-04-21 03:01:43+00:00;1745204503;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;True;False;True;True;False;False;205.207.170.106;3605;41.206.94.160;60151
8;Togo;2025-04-21 16:09:59+00:00;1745251799;2025-04-21 16:09:59+00:00;1745251799;---;2;2;Client_2;B;B_1;---;---;---;---;---;---;False;---;True;False;False;True;True;False;---;---;---;---
9;El Salvador;2025-05-01 06:16:56+00:00;1746080216;2025-05-01 06:16:56+00:00;1746080216;---;4;4;Client_2;I;I_7;---;---;---;---;---;---;False;---;True;True;True;True;False;True;---;---;---;---
10;Botswana;2025-05-05 08:49:32+00:00;1746434972;2025-05-05 08:49:32+00:00;1746434972;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;True;True;True;False;False;---;---;---;---
11;Madagascar;2025-05-07 23:02:49+00:00;1746658969;2025-05-07 23:02:49+00:00;1746658969;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
12;Pakistan;2025-05-10 18:40:02+00:00;1746902402;2025-05-10 18:40:02+00:00;1746902402;---;4;4;Client_1;D;D_6;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
13;Burundi;2025-05-12 22:28:26+00:00;1747088906;2025-05-12 22:28:26+00:00;1747088906;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
14;Pakistan;2025-05-14 16:08:04+00:00;1747238884;2025-05-14 16:08:04+00:00;1747238884;---;2;2;Client_2;B;B_5;---;---;---;---;---;---;False;---;True;False;False;True;True;False;---;---;---;---
15;Azerbaijan;2025-05-15 10:46:28+00:00;1747305988;2025-05-15 10:46:28+00:00;1747305988;---;4;4;Client_1;I;I_4;---;---;---;---;---;---;False;---;True;True;True;True;False;True;---;---;---;---
16;Finland;2025-05-16 13:30:51+00:00;1747402251;2025-05-16 13:30:51+00:00;1747402251;---;4;4;Client_1;I;I_1;---;---;---;---;---;---;False;---;True;True;True;True;False;True;---;---;---;---
17;Guinea;2025-05-18 14:54:22+00:00;1747580062;2025-05-18 14:54:22+00:00;1747580062;---;2;2;Client_2;B;B_3;---;---;---;---;---;---;False;---;True;False;False;True;True;False;---;---;---;---
18;Lesotho;2025-05-19 20:47:31+00:00;1747687651;2025-05-19 20:47:31+00:00;1747687651;---;4;4;Client_2;D;D_4;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
19;Vatican;2025-05-20 16:26:37+00:00;1747758397;2025-05-20 16:26:37+00:00;1747758397;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
20;Jamaica;2025-05-23 10:54:45+00:00;1747997685;2025-05-23 10:54:45+00:00;1747997685;---;2;2;Client_2;F;F_3;---;---;---;---;---;---;False;---;False;False;False;False;False;True;63.143.78.51;8005;193.107.70.183;54124
21;Zimbabwe;2025-05-23 21:04:30+00:00;1748034270;2025-05-23 21:04:30+00:00;1748034270;---;3;3;Client_1;C;C_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
22;Solomon Islands;2025-05-26 03:19:39+00:00;1748229579;2025-05-26 03:19:39+00:00;1748229579;---;1;1;Client_2;H;H_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
