id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Luxembourg;2025-05-05 16:51:13+00:00;1746463873;2025-05-05 16:51:13+00:00;1746463873;---;4;4;Client_1;D;D_2;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
1;Palau;2025-05-09 21:58:32+00:00;1746827912;2025-05-09 21:58:32+00:00;1746827912;---;2;2;Client_1;E;E_3;---;---;---;---;---;---;False;---;False;True;True;True;True;True;103.251.133.75;953;103.16.171.243;54628
2;Togo;2025-06-08 13:08:16+00:00;1749388096;2025-06-08 13:08:16+00:00;1749388096;---;4;4;Client_1;D;D_6;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
3;Canada;2025-06-25 22:08:20+00:00;1750889300;2025-06-25 22:08:20+00:00;1750889300;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;True;True;True;False;True;False;---;---;---;---
4;Panama;2025-07-02 01:52:28+00:00;1751421148;2025-07-02 01:52:28+00:00;1751421148;---;2;2;Client_1;E;E_5;---;---;---;---;---;---;False;---;False;True;True;True;True;True;200.6.52.196;140;91.135.76.207;64979
5;Antigua and Barbuda;2025-07-25 13:03:51+00:00;1753448631;2025-07-25 13:03:51+00:00;1753448631;---;2;2;Client_1;F;F_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;46.36.197.40;139;103.231.94.242;59209
6;New Zealand;2025-08-05 00:03:37+00:00;1754352217;2025-08-05 00:03:37+00:00;1754352217;---;1;1;Client_1;H;H_2;---;---;---;---;---;---;False;---;False;True;False;False;True;False;---;---;---;---
7;Hungary;2025-09-05 17:38:21+00:00;1757093901;2025-09-05 17:38:21+00:00;1757093901;---;3;3;Client_1;C;C_3;---;---;---;---;---;---;False;---;False;True;True;True;True;False;---;---;---;---
8;Grenada;2025-09-17 23:38:09+00:00;1758152289;2025-09-17 23:38:09+00:00;1758152289;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;False;False;True;True;True;---;---;---;---
9;Egypt;2025-11-19 03:20:06+00:00;1763522406;2025-11-19 03:20:06+00:00;1763522406;---;1;1;Client_1;J;J_1;---;---;---;---;---;---;False;---;True;True;True;False;True;False;---;---;---;---
