id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Botswana;2025-03-31 18:12:29+00:00;1743444749;2025-03-31 18:12:29+00:00;1743444749;---;2;2;Client_1;B;B_3;---;---;---;---;---;---;False;---;True;True;False;False;False;False;---;---;---;---
1;Madagascar;2025-04-01 05:35:15+00:00;1743485715;2025-04-01 05:35:15+00:00;1743485715;---;1;1;Client_2;H;H_1;---;---;---;---;---;---;False;---;False;False;False;True;True;False;---;---;---;---
2;Bulgaria;2025-04-01 11:04:25+00:00;1743505465;2025-04-01 11:04:25+00:00;1743505465;---;2;2;Client_1;B;B_3;---;---;---;---;---;---;False;---;True;True;False;False;False;False;---;---;---;---
3;Austria;2025-04-02 19:21:43+00:00;1743621703;2025-04-02 19:21:43+00:00;1743621703;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
4;Solomon Islands;2025-04-05 17:41:49+00:00;1743874909;2025-04-05 17:41:49+00:00;1743874909;---;3;3;Client_2;C;C_8;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
5;Pakistan;2025-04-07 13:18:11+00:00;1744031891;2025-04-07 13:18:11+00:00;1744031891;---;2;2;Client_2;B;B_4;---;---;---;---;---;---;False;---;True;True;False;False;False;False;---;---;---;---
6;Federated States of Micronesia;2025-04-09 18:07:17+00:00;1744222037;2025-04-09 18:07:17+00:00;1744222037;---;1;1;Client_2;J;J_3;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
7;Ethiopia;2025-04-13 06:43:45+00:00;1744526625;2025-04-13 06:43:45+00:00;1744526625;---;2;2;Client_1;F;F_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;197.156.64.40;18424;195.27.0.87;63438
8;Papua New Guinea;2025-04-16 21:40:59+00:00;1744839659;2025-04-16 21:40:59+00:00;1744839659;---;2;2;Client_1;E;E_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;134.159.140.213;10633;46.36.197.184;56691
9;Niger;2025-04-19 10:42:41+00:00;1745059361;2025-04-19 10:42:41+00:00;1745059361;---;2;2;Client_1;F;F_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;209.28.215.157;413;104.156.195.189;63318
10;Sierra Leone;2025-04-24 15:29:14+00:00;1745508554;2025-04-24 15:29:14+00:00;1745508554;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
11;Djibouti;2025-04-25 00:52:37+00:00;1745542357;2025-04-25 00:52:37+00:00;1745542357;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
12;Iceland;2025-04-27 14:17:22+00:00;1745763442;2025-04-27 14:17:22+00:00;1745763442;---;4;4;Client_2;D;D_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
13;Tunisia;2025-04-29 02:37:19+00:00;1745894239;2025-04-29 02:37:19+00:00;1745894239;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
14;Togo;2025-04-29 11:59:51+00:00;1745927991;2025-04-29 11:59:51+00:00;1745927991;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;False;False;True;True;False;True;---;---;---;---
15;Belize;2025-04-30 09:41:23+00:00;1746006083;2025-04-30 09:41:23+00:00;1746006083;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;False;False;True;True;False;True;---;---;---;---
16;Egypt;2025-05-01 15:28:16+00:00;1746113296;2025-05-01 15:28:16+00:00;1746113296;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;False;False;True;True;False;True;---;---;---;---
17;Grenada;2025-05-02 06:57:28+00:00;1746169048;2025-05-02 06:57:28+00:00;1746169048;---;4;4;Client_2;I;I_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
18;Samoa;2025-05-04 12:27:13+00:00;1746361633;2025-05-04 12:27:13+00:00;1746361633;---;2;2;Client_1;F;F_4;---;---;---;---;---;---;False;---;True;True;True;True;True;True;37.35.105.225;37110;185.65.162.135;50259
19;Cuba;2025-05-09 12:48:48+00:00;1746794928;2025-05-09 12:48:48+00:00;1746794928;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
20;Switzerland;2025-05-17 08:20:41+00:00;1747470041;2025-05-17 08:20:41+00:00;1747470041;---;2;2;Client_1;F;F_4;---;---;---;---;---;---;False;---;True;True;True;True;True;True;91.223.179.118;178;89.46.88.241;63970
21;Luxembourg;2025-05-29 04:30:54+00:00;1748493054;2025-05-29 04:30:54+00:00;1748493054;---;4;4;Client_1;I;I_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
22;Belarus;2025-05-30 18:52:24+00:00;1748631144;2025-05-30 18:52:24+00:00;1748631144;---;3;3;Client_1;C;C_3;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
23;Hungary;2025-06-03 11:28:11+00:00;1748950091;2025-06-03 11:28:11+00:00;1748950091;---;2;2;Client_1;B;B_2;---;---;---;---;---;---;False;---;True;True;False;False;False;False;---;---;---;---
