id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Bulgaria;2025-04-01 08:03:03+00:00;1743494583;2025-04-01 08:03:03+00:00;1743494583;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;False;False;True;True;True;True;---;---;---;---
1;Grenada;2025-04-02 10:10:09+00:00;1743588609;2025-04-02 10:10:09+00:00;1743588609;---;2;2;Client_1;B;B_1;---;---;---;---;---;---;False;---;True;True;False;True;False;True;---;---;---;---
2;Kyrgyzstan;2025-04-03 10:27:06+00:00;1743676026;2025-04-03 10:27:06+00:00;1743676026;---;4;4;Client_1;I;I_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
3;France;2025-04-07 07:37:17+00:00;1744011437;2025-04-07 07:37:17+00:00;1744011437;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;False;True;False;True;False;True;---;---;---;---
4;Grenada;2025-04-08 02:44:21+00:00;1744080261;2025-04-08 02:44:21+00:00;1744080261;---;1;1;Client_1;J;J_1;---;---;---;---;---;---;False;---;False;True;False;True;False;True;---;---;---;---
5;Haiti;2025-04-09 05:48:42+00:00;1744177722;2025-04-09 05:48:42+00:00;1744177722;---;1;1;Client_2;H;H_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
6;Chad;2025-04-11 21:57:45+00:00;1744408665;2025-04-11 21:57:45+00:00;1744408665;---;2;2;Client_2;E;E_2;---;---;---;---;---;---;False;---;True;False;False;True;False;False;46.36.203.11;21231;134.0.57.97;60242
7;Saint Vincent and the Grenadines;2025-04-17 06:03:39+00:00;1744869819;2025-04-17 06:03:39+00:00;1744869819;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;False;True;True;True;True;---;---;---;---
8;Jamaica;2025-04-19 13:11:37+00:00;1745068297;2025-04-19 13:11:37+00:00;1745068297;---;4;4;Client_2;I;I_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
9;Canada;2025-04-27 20:55:42+00:00;1745787342;2025-04-27 20:55:42+00:00;1745787342;---;4;4;Client_1;D;D_3;---;---;---;---;---;---;False;---;True;False;False;False;True;True;---;---;---;---
10;Hungary;2025-04-30 13:48:30+00:00;1746020910;2025-04-30 13:48:30+00:00;1746020910;---;2;2;Client_1;B;B_4;---;---;---;---;---;---;False;---;True;True;False;True;False;True;---;---;---;---
11;Burundi;2025-05-01 22:29:49+00:00;1746138589;2025-05-01 22:29:49+00:00;1746138589;---;2;2;Client_1;E;E_6;---;---;---;---;---;---;False;---;True;False;False;True;False;False;196.13.223.115;21881;80.78.20.128;51684
