id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Cuba;2025-04-03 05:41:15+00:00;1743658875;2025-04-03 05:41:15+00:00;1743658875;---;4;4;Client_1;I;I_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
1;Belgium;2025-04-05 17:06:57+00:00;1743872817;2025-04-05 17:06:57+00:00;1743872817;---;4;4;Client_2;D;D_1;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
2;Sierra Leone;2025-04-06 02:56:18+00:00;1743908178;2025-04-06 02:56:18+00:00;1743908178;---;1;1;Client_2;H;H_2;---;---;---;---;---;---;False;---;True;True;True;True;True;False;---;---;---;---
3;Antigua and Barbuda;2025-04-06 21:19:30+00:00;1743974370;2025-04-06 21:19:30+00:00;1743974370;---;4;4;Client_2;D;D_3;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
4;Bahrain;2025-04-08 21:23:14+00:00;1744147394;2025-04-08 21:23:14+00:00;1744147394;---;1;1;Client_1;J;J_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
5;Cambodia;2025-04-10 22:53:54+00:00;1744325634;2025-04-10 22:53:54+00:00;1744325634;---;4;4;Client_1;D;D_1;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
6;Suriname;2025-04-11 03:26:10+00:00;1744341970;2025-04-11 03:26:10+00:00;1744341970;---;2;2;Client_1;E;E_1;---;---;---;---;---;---;False;---;True;False;False;False;True;False;200.1.210.16;20548;169.158.185.39;60824
7;Macedonia;2025-04-12 05:08:19+00:00;1744434499;2025-04-12 05:08:19+00:00;1744434499;---;2;2;Client_2;E;E_3;---;---;---;---;---;---;False;---;True;False;False;False;True;False;91.230.219.15;225;78.110.107.123;64719
8;Chad;2025-04-12 07:46:10+00:00;1744443970;2025-04-12 07:46:10+00:00;1744443970;---;4;4;Client_1;I;I_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
9;Dominican Republic;2025-04-14 23:04:54+00:00;1744671894;2025-04-14 23:04:54+00:00;1744671894;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
10;Costa Rica;2025-04-19 08:16:20+00:00;1745050580;2025-04-19 08:16:20+00:00;1745050580;---;4;4;Client_2;I;I_7;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
11;Haiti;2025-04-21 13:49:57+00:00;1745243397;2025-04-21 13:49:57+00:00;1745243397;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
12;Chile;2025-04-24 19:58:01+00:00;1745524681;2025-04-24 19:58:01+00:00;1745524681;---;3;3;Client_2;C;C_3;---;---;---;---;---;---;False;---;True;True;True;False;True;False;200.0.82.55;156;198.101.30.78;50159
13;Mauritius;2025-05-01 16:34:16+00:00;1746117256;2025-05-01 16:34:16+00:00;1746117256;---;3;3;Client_1;C;C_7;---;---;---;---;---;---;False;---;True;True;True;False;True;False;105.16.102.231;296;193.93.171.72;62417
14;Bosnia and Herzegovina;2025-05-04 06:17:58+00:00;1746339478;2025-05-04 06:17:58+00:00;1746339478;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
15;China;2025-05-06 12:59:40+00:00;1746536380;2025-05-06 12:59:40+00:00;1746536380;---;2;2;Client_1;B;B_4;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
16;Brunei;2025-05-07 13:37:59+00:00;1746625079;2025-05-07 13:37:59+00:00;1746625079;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
17;Sri Lanka;2025-05-09 12:25:48+00:00;1746793548;2025-05-09 12:25:48+00:00;1746793548;---;2;2;Client_1;F;F_1;---;---;---;---;---;---;False;---;True;False;True;True;True;True;---;---;---;---
18;Kazakhstan;2025-05-10 21:46:40+00:00;1746913600;2025-05-10 21:46:40+00:00;1746913600;---;3;3;Client_1;C;C_6;---;---;---;---;---;---;False;---;True;True;True;False;True;False;185.35.16.46;808;104.143.24.68;58804
19;Sao Tome and Principe;2025-05-12 13:46:00+00:00;1747057560;2025-05-12 13:46:00+00:00;1747057560;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
20;Lesotho;2025-05-14 00:09:19+00:00;1747181359;2025-05-14 00:09:19+00:00;1747181359;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
21;Nepal;2025-05-15 17:03:47+00:00;1747328627;2025-05-15 17:03:47+00:00;1747328627;---;3;3;Client_1;C;C_6;---;---;---;---;---;---;False;---;True;True;True;False;True;False;203.78.169.245;44688;41.77.6.47;54468
22;Tunisia;2025-05-20 19:19:52+00:00;1747768792;2025-05-20 19:19:52+00:00;1747768792;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;False;---;---;---;---
23;Niger;2025-05-22 01:58:51+00:00;1747879131;2025-05-22 01:58:51+00:00;1747879131;---;2;2;Client_1;E;E_2;---;---;---;---;---;---;False;---;True;False;False;False;True;False;80.78.19.205;35171;41.78.97.9;56504
24;Gabon;2025-05-25 19:19:40+00:00;1748200780;2025-05-25 19:19:40+00:00;1748200780;---;4;4;Client_1;D;D_4;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
25;Tajikistan;2025-05-26 07:39:52+00:00;1748245192;2025-05-26 07:39:52+00:00;1748245192;---;2;2;Client_2;L;L_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
26;Romania;2025-05-28 22:22:21+00:00;1748470941;2025-05-28 22:22:21+00:00;1748470941;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;False;---;---;---;---
27;Greece;2025-06-03 05:31:10+00:00;1748928670;2025-06-03 05:31:10+00:00;1748928670;---;1;1;Client_2;H;H_1;---;---;---;---;---;---;False;---;True;True;True;True;True;False;---;---;---;---
28;Malawi;2025-06-03 20:41:27+00:00;1748983287;2025-06-03 20:41:27+00:00;1748983287;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
29;Bahamas;2025-06-05 12:34:53+00:00;1749126893;2025-06-05 12:34:53+00:00;1749126893;---;2;2;Client_2;B;B_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
30;Niger;2025-06-06 03:21:42+00:00;1749180102;2025-06-06 03:21:42+00:00;1749180102;---;2;2;Client_2;F;F_3;---;---;---;---;---;---;False;---;True;False;True;True;True;True;---;---;---;---
31;Benin;2025-06-06 08:01:21+00:00;1749196881;2025-06-06 08:01:21+00:00;1749196881;---;4;4;Client_2;I;I_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
32;Ecuador;2025-06-07 16:39:42+00:00;1749314382;2025-06-07 16:39:42+00:00;1749314382;---;4;4;Client_2;D;D_1;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
33;Republic of Ireland;2025-06-07 16:56:46+00:00;1749315406;2025-06-07 16:56:46+00:00;1749315406;---;4;4;Client_2;D;D_3;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
34;Macedonia;2025-06-08 22:45:51+00:00;1749422751;2025-06-08 22:45:51+00:00;1749422751;---;2;2;Client_2;E;E_4;---;---;---;---;---;---;False;---;True;False;False;False;True;False;91.230.219.216;915;154.66.117.1;51896
35;Greece;2025-06-11 08:51:51+00:00;1749631911;2025-06-11 08:51:51+00:00;1749631911;---;2;2;Client_2;K;K_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
36;Ghana;2025-06-12 19:34:19+00:00;1749756859;2025-06-12 19:34:19+00:00;1749756859;---;4;4;Client_1;D;D_1;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
37;Australia;2025-06-16 21:14:29+00:00;1750108469;2025-06-16 21:14:29+00:00;1750108469;---;1;1;Client_1;J;J_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
38;Solomon Islands;2025-06-17 01:33:30+00:00;1750124010;2025-06-17 01:33:30+00:00;1750124010;---;1;1;Client_1;J;J_3;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
