id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Oman;2025-04-02 10:34:57+00:00;1743590097;2025-04-02 10:34:57+00:00;1743590097;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
1;Canada;2025-04-03 06:49:24+00:00;1743662964;2025-04-03 06:49:24+00:00;1743662964;---;2;2;Client_1;B;B_4;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
2;Latvia;2025-04-03 22:35:36+00:00;1743719736;2025-04-03 22:35:36+00:00;1743719736;---;2;2;Client_1;E;E_6;---;---;---;---;---;---;False;---;False;False;False;True;True;False;---;---;---;---
3;Madagascar;2025-04-05 10:43:34+00:00;1743849814;2025-04-05 10:43:34+00:00;1743849814;---;2;2;Client_2;F;F_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;197.159.153.20;769;197.231.129.122;56593
4;Papua New Guinea;2025-04-07 09:24:23+00:00;1744017863;2025-04-07 09:24:23+00:00;1744017863;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;True;False;True;False;False;---;---;---;---
5;New Zealand;2025-04-13 06:27:06+00:00;1744525626;2025-04-13 06:27:06+00:00;1744525626;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;True;False;True;False;False;---;---;---;---
6;Luxembourg;2025-04-17 05:54:58+00:00;1744869298;2025-04-17 05:54:58+00:00;1744869298;---;4;4;Client_1;I;I_7;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
7;Kiribati;2025-04-17 17:03:50+00:00;1744909430;2025-04-17 17:03:50+00:00;1744909430;---;4;4;Client_1;I;I_3;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
8;Hungary;2025-04-18 07:28:08+00:00;1744961288;2025-04-18 07:28:08+00:00;1744961288;---;2;2;Client_2;F;F_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;194.152.130.140;705;190.4.45.125;63784
9;Nigeria;2025-04-19 22:34:45+00:00;1745102085;2025-04-19 22:34:45+00:00;1745102085;---;3;3;Client_1;C;C_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
10;China;2025-04-29 13:51:24+00:00;1745934684;2025-04-29 13:51:24+00:00;1745934684;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
11;Uganda;2025-04-30 16:35:36+00:00;1746030936;2025-04-30 16:35:36+00:00;1746030936;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;True;False;False;False;False;41.210.154.144;27602;5.39.29.126;58748
12;Laos;2025-05-01 02:14:59+00:00;1746065699;2025-05-01 02:14:59+00:00;1746065699;---;3;3;Client_2;C;C_7;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
13;Guyana;2025-05-03 08:10:41+00:00;1746259841;2025-05-03 08:10:41+00:00;1746259841;---;4;4;Client_1;I;I_1;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
14;Turkey;2025-05-05 18:24:46+00:00;1746469486;2025-05-05 18:24:46+00:00;1746469486;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;True;False;False;False;False;77.92.28.201;47251;85.239.149.111;56970
15;Burkina Faso;2025-05-16 23:28:07+00:00;1747438087;2025-05-16 23:28:07+00:00;1747438087;---;2;2;Client_1;E;E_1;---;---;---;---;---;---;False;---;False;False;False;True;True;False;---;---;---;---
16;Lesotho;2025-05-20 03:43:00+00:00;1747712580;2025-05-20 03:43:00+00:00;1747712580;---;1;1;Client_2;J;J_3;---;---;---;---;---;---;False;---;True;True;False;False;False;False;80.78.23.193;33537;41.78.96.129;56484
17;France;2025-05-20 13:01:41+00:00;1747746101;2025-05-20 13:01:41+00:00;1747746101;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
18;Jordan;2025-05-23 03:09:33+00:00;1747969773;2025-05-23 03:09:33+00:00;1747969773;---;2;2;Client_1;F;F_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;80.90.169.253;260;196.200.97.0;61521
19;Latvia;2025-05-23 11:19:26+00:00;1747999166;2025-05-23 11:19:26+00:00;1747999166;---;4;4;Client_1;I;I_7;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
20;Uzbekistan;2025-05-25 21:00:18+00:00;1748206818;2025-05-25 21:00:18+00:00;1748206818;---;4;4;Client_2;D;D_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
21;Burkina Faso;2025-05-27 06:42:44+00:00;1748328164;2025-05-27 06:42:44+00:00;1748328164;---;2;2;Client_1;B;B_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
