id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Malawi;2025-04-01 14:35:13+00:00;1743518113;2025-04-01 14:35:13+00:00;1743518113;---;2;2;Client_2;B;B_6;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
1;Finland;2025-04-03 23:07:15+00:00;1743721635;2025-04-03 23:07:15+00:00;1743721635;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;True;False;True;True;True;---;---;---;---
2;Guatemala;2025-04-05 04:57:50+00:00;1743829070;2025-04-05 04:57:50+00:00;1743829070;---;2;2;Client_2;E;E_4;---;---;---;---;---;---;False;---;False;False;False;False;False;True;200.30.154.115;4546;203.99.158.215;49904
3;Nepal;2025-04-10 15:07:47+00:00;1744297667;2025-04-10 15:07:47+00:00;1744297667;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
4;Uzbekistan;2025-04-11 05:14:04+00:00;1744348444;2025-04-11 05:14:04+00:00;1744348444;---;4;4;Client_2;I;I_3;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
5;Guinea;2025-04-15 18:45:23+00:00;1744742723;2025-04-15 18:45:23+00:00;1744742723;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;True;False;True;False;False;False;---;---;---;---
6;Somalia;2025-04-17 05:27:47+00:00;1744867667;2025-04-17 05:27:47+00:00;1744867667;---;4;4;Client_2;I;I_5;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
7;Haiti;2025-04-20 20:47:50+00:00;1745182070;2025-04-20 20:47:50+00:00;1745182070;---;4;4;Client_2;D;D_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
8;Algeria;2025-04-21 18:36:59+00:00;1745260619;2025-04-21 18:36:59+00:00;1745260619;---;2;2;Client_1;B;B_4;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
9;Equatorial Guinea;2025-04-27 01:50:41+00:00;1745718641;2025-04-27 01:50:41+00:00;1745718641;---;4;4;Client_1;D;D_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
10;Namibia;2025-04-27 04:36:12+00:00;1745728572;2025-04-27 04:36:12+00:00;1745728572;---;1;1;Client_1;H;H_3;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
11;Democratic Republic of the Congo;2025-05-04 07:26:30+00:00;1746343590;2025-05-04 07:26:30+00:00;1746343590;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
12;Gabon;2025-05-05 17:03:26+00:00;1746464606;2025-05-05 17:03:26+00:00;1746464606;---;2;2;Client_2;B;B_4;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
13;Iceland;2025-05-09 03:20:19+00:00;1746760819;2025-05-09 03:20:19+00:00;1746760819;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;False;---;False;False;True;True;True;True;31.209.147.181;303;178.21.245.133;49887
14;Cameroon;2025-05-12 22:36:08+00:00;1747089368;2025-05-12 22:36:08+00:00;1747089368;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;True;False;True;True;True;---;---;---;---
15;Uzbekistan;2025-05-17 10:10:40+00:00;1747476640;2025-05-17 10:10:40+00:00;1747476640;---;2;2;Client_2;F;F_3;---;---;---;---;---;---;False;---;False;False;True;True;True;True;185.4.160.104;6147;192.162.104.6;59129
16;Belize;2025-05-17 22:25:18+00:00;1747520718;2025-05-17 22:25:18+00:00;1747520718;---;4;4;Client_1;D;D_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
17;Zimbabwe;2025-05-19 21:21:29+00:00;1747689689;2025-05-19 21:21:29+00:00;1747689689;---;3;3;Client_1;C;C_7;---;---;---;---;---;---;False;---;True;False;False;True;False;True;---;---;---;---
18;Bulgaria;2025-05-22 01:20:31+00:00;1747876831;2025-05-22 01:20:31+00:00;1747876831;---;1;1;Client_1;J;J_1;---;---;---;---;---;---;False;---;True;False;True;False;False;False;---;---;---;---
19;Chad;2025-05-23 05:39:50+00:00;1747978790;2025-05-23 05:39:50+00:00;1747978790;---;4;4;Client_2;I;I_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
20;Austria;2025-05-27 10:22:46+00:00;1748341366;2025-05-27 10:22:46+00:00;1748341366;---;2;2;Client_2;L;L_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
21;Cuba;2025-05-28 21:21:12+00:00;1748467272;2025-05-28 21:21:12+00:00;1748467272;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;True;False;True;True;True;---;---;---;---
22;El Salvador;2025-06-03 05:08:55+00:00;1748927335;2025-06-03 05:08:55+00:00;1748927335;---;2;2;Client_2;K;K_1;---;---;---;---;---;---;False;---;True;True;False;True;True;False;190.53.44.218;47;80.78.23.34;60386
23;Brazil;2025-06-03 07:56:09+00:00;1748937369;2025-06-03 07:56:09+00:00;1748937369;---;2;2;Client_2;K;K_1;---;---;---;---;---;---;False;---;True;True;False;True;True;False;200.1.220.4;158;196.13.205.120;51041
24;Ghana;2025-06-07 10:21:45+00:00;1749291705;2025-06-07 10:21:45+00:00;1749291705;---;4;4;Client_2;I;I_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
25;Republic of Ireland;2025-06-07 18:39:59+00:00;1749321599;2025-06-07 18:39:59+00:00;1749321599;---;4;4;Client_1;D;D_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
