id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;United Kingdom;2025-04-03 19:18:02+00:00;1743707882;2025-04-03 19:18:02+00:00;1743707882;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
1;Malta;2025-04-05 20:05:30+00:00;1743883530;2025-04-05 20:05:30+00:00;1743883530;---;3;3;Client_2;C;C_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;185.56.136.249;42886;176.52.182.172;49986
2;Guyana;2025-04-10 05:39:48+00:00;1744263588;2025-04-10 05:39:48+00:00;1744263588;---;4;4;Client_2;I;I_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
3;Pakistan;2025-04-13 06:47:33+00:00;1744526853;2025-04-13 06:47:33+00:00;1744526853;---;1;1;Client_2;H;H_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;46.36.195.171;118;195.10.192.226;63999
4;Sudan;2025-04-17 22:02:24+00:00;1744927344;2025-04-17 22:02:24+00:00;1744927344;---;2;2;Client_1;E;E_6;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
5;Suriname;2025-04-20 13:51:33+00:00;1745157093;2025-04-20 13:51:33+00:00;1745157093;---;2;2;Client_1;F;F_2;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
6;Oman;2025-04-20 22:32:59+00:00;1745188379;2025-04-20 22:32:59+00:00;1745188379;---;4;4;Client_1;D;D_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
7;Malawi;2025-04-22 03:24:41+00:00;1745292281;2025-04-22 03:24:41+00:00;1745292281;---;2;2;Client_2;K;K_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
8;East Timor;2025-04-23 18:43:24+00:00;1745433804;2025-04-23 18:43:24+00:00;1745433804;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
9;Belarus;2025-04-23 21:08:53+00:00;1745442533;2025-04-23 21:08:53+00:00;1745442533;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
10;Puerto Rico;2025-04-29 19:52:05+00:00;1745956325;2025-04-29 19:52:05+00:00;1745956325;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
11;Hungary;2025-04-30 12:18:06+00:00;1746015486;2025-04-30 12:18:06+00:00;1746015486;---;2;2;Client_2;B;B_5;---;---;---;---;---;---;False;---;False;False;False;False;True;False;193.109.252.140;700;196.192.16.190;55048
