id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Iceland;2025-03-31 11:13:13+00:00;1743419593;2025-03-31 11:13:13+00:00;1743419593;---;2;2;Client_2;B;B_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
1;Botswana;2025-04-04 23:49:13+00:00;1743810553;2025-04-04 23:49:13+00:00;1743810553;---;2;2;Client_1;E;E_4;---;---;---;---;---;---;False;---;False;True;True;False;True;True;196.43.216.215;15547;154.65.39.216;57788
2;Uzbekistan;2025-04-05 07:18:01+00:00;1743837481;2025-04-05 07:18:01+00:00;1743837481;---;2;2;Client_2;L;L_1;---;---;---;---;---;---;False;---;True;True;False;False;False;True;---;---;---;---
3;Republic of Ireland;2025-04-05 10:32:15+00:00;1743849135;2025-04-05 10:32:15+00:00;1743849135;---;4;4;Client_1;I;I_1;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
4;Cape Verde;2025-04-10 04:21:18+00:00;1744258878;2025-04-10 04:21:18+00:00;1744258878;---;2;2;Client_2;E;E_3;---;---;---;---;---;---;False;---;False;True;True;False;True;True;57.82.158.232;422;41.218.89.24;61192
5;Kuwait;2025-04-10 05:31:48+00:00;1744263108;2025-04-10 05:31:48+00:00;1744263108;---;2;2;Client_1;E;E_1;---;---;---;---;---;---;False;---;False;True;True;False;True;True;213.132.253.66;115;103.239.5.230;59985
6;Lesotho;2025-04-12 01:02:51+00:00;1744419771;2025-04-12 01:02:51+00:00;1744419771;---;2;2;Client_2;E;E_6;---;---;---;---;---;---;False;---;False;True;True;False;True;True;41.76.19.220;968;201.150.116.2;56975
7;Sri Lanka;2025-04-12 18:38:33+00:00;1744483113;2025-04-12 18:38:33+00:00;1744483113;---;4;4;Client_1;D;D_4;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
8;India;2025-04-13 07:07:28+00:00;1744528048;2025-04-13 07:07:28+00:00;1744528048;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;False;---;True;False;True;True;True;True;103.253.37.67;12564;197.154.248.184;56312
9;Canada;2025-04-17 02:22:06+00:00;1744856526;2025-04-17 02:22:06+00:00;1744856526;---;2;2;Client_1;K;K_1;---;---;---;---;---;---;False;---;True;True;False;False;False;True;204.92.226.123;955;201.131.103.169;57035
10;Finland;2025-04-25 07:17:43+00:00;1745565463;2025-04-25 07:17:43+00:00;1745565463;---;2;2;Client_1;F;F_2;---;---;---;---;---;---;False;---;True;False;True;True;True;True;212.17.168.217;48402;41.72.231.42;62590
11;Antigua and Barbuda;2025-04-26 23:18:17+00:00;1745709497;2025-04-26 23:18:17+00:00;1745709497;---;4;4;Client_2;D;D_4;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
12;Kyrgyzstan;2025-04-30 17:13:12+00:00;1746033192;2025-04-30 17:13:12+00:00;1746033192;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
13;El Salvador;2025-05-01 23:15:41+00:00;1746141341;2025-05-01 23:15:41+00:00;1746141341;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
14;Portugal;2025-05-08 20:57:05+00:00;1746737825;2025-05-08 20:57:05+00:00;1746737825;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
15;Tunisia;2025-05-08 21:40:24+00:00;1746740424;2025-05-08 21:40:24+00:00;1746740424;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
16;Madagascar;2025-05-09 07:36:33+00:00;1746776193;2025-05-09 07:36:33+00:00;1746776193;---;4;4;Client_1;I;I_3;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
17;Mauritania;2025-05-10 15:58:57+00:00;1746892737;2025-05-10 15:58:57+00:00;1746892737;---;4;4;Client_2;D;D_6;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
18;Democratic Republic of the Congo;2025-05-14 07:04:00+00:00;1747206240;2025-05-14 07:04:00+00:00;1747206240;---;2;2;Client_1;K;K_1;---;---;---;---;---;---;False;---;True;True;False;False;False;True;41.78.192.54;8131;213.181.117.79;64031
19;Solomon Islands;2025-05-17 03:56:48+00:00;1747454208;2025-05-17 03:56:48+00:00;1747454208;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;False;---;True;False;True;True;True;True;103.9.50.148;38824;196.43.216.222;61572
20;Canada;2025-05-18 09:13:45+00:00;1747559625;2025-05-18 09:13:45+00:00;1747559625;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;True;False;False;False;True;---;---;---;---
21;Switzerland;2025-05-20 16:32:39+00:00;1747758759;2025-05-20 16:32:39+00:00;1747758759;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
22;Nepal;2025-05-23 06:57:47+00:00;1747983467;2025-05-23 06:57:47+00:00;1747983467;---;4;4;Client_2;I;I_7;---;---;---;---;---;---;False;---;False;False;False;False;True;True;---;---;---;---
23;Luxembourg;2025-05-26 01:31:41+00:00;1748223101;2025-05-26 01:31:41+00:00;1748223101;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;True;True;False;False;False;True;128.127.109.190;312;103.16.63.190;60873
24;Somalia;2025-05-27 15:27:02+00:00;1748359622;2025-05-27 15:27:02+00:00;1748359622;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
25;Jamaica;2025-05-29 02:05:28+00:00;1748484328;2025-05-29 02:05:28+00:00;1748484328;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
26;Hungary;2025-06-01 16:09:52+00:00;1748794192;2025-06-01 16:09:52+00:00;1748794192;---;4;4;Client_1;D;D_3;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
27;Turkey;2025-06-01 23:27:23+00:00;1748820443;2025-06-01 23:27:23+00:00;1748820443;---;4;4;Client_2;D;D_6;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
28;Cameroon;2025-06-02 15:03:19+00:00;1748876599;2025-06-02 15:03:19+00:00;1748876599;---;2;2;Client_2;B;B_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
29;Algeria;2025-06-04 21:41:51+00:00;1749073311;2025-06-04 21:41:51+00:00;1749073311;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
30;Iceland;2025-06-07 15:05:34+00:00;1749308734;2025-06-07 15:05:34+00:00;1749308734;---;4;4;Client_2;D;D_3;---;---;---;---;---;---;False;---;False;False;True;False;False;False;---;---;---;---
31;Spain;2025-06-08 23:31:50+00:00;1749425510;2025-06-08 23:31:50+00:00;1749425510;---;1;1;Client_1;J;J_3;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
32;Guatemala;2025-06-11 00:21:12+00:00;1749601272;2025-06-11 00:21:12+00:00;1749601272;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
33;Zimbabwe;2025-06-11 08:21:42+00:00;1749630102;2025-06-11 08:21:42+00:00;1749630102;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;False;True;True;False;False;---;---;---;---
34;Trinidad and Tobago;2025-06-12 04:32:48+00:00;1749702768;2025-06-12 04:32:48+00:00;1749702768;---;2;2;Client_1;E;E_3;---;---;---;---;---;---;False;---;False;True;True;False;True;True;190.97.110.149;32055;57.70.251.232;58019
35;Cape Verde;2025-06-16 11:35:32+00:00;1750073732;2025-06-16 11:35:32+00:00;1750073732;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;False;True;True;False;False;---;---;---;---
36;Bolivia;2025-06-22 12:16:58+00:00;1750594618;2025-06-22 12:16:58+00:00;1750594618;---;2;2;Client_2;L;L_1;---;---;---;---;---;---;False;---;True;True;False;False;False;True;---;---;---;---
37;Djibouti;2025-06-28 03:44:44+00:00;1751082284;2025-06-28 03:44:44+00:00;1751082284;---;2;2;Client_2;E;E_6;---;---;---;---;---;---;False;---;False;True;True;False;True;True;41.189.243.144;46222;103.233.183.20;53523
