id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Turkey;2025-04-04 20:58:03+00:00;1743800283;2025-04-04 20:58:03+00:00;1743800283;---;2;2;Client_2;E;E_4;---;---;---;---;---;---;False;---;True;True;True;True;True;True;81.6.80.151;298;196.3.15.129;53368
1;Myanmar;2025-04-05 12:45:44+00:00;1743857144;2025-04-05 12:45:44+00:00;1743857144;---;4;4;Client_2;I;I_5;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
2;Bangladesh;2025-04-08 05:49:52+00:00;1744091392;2025-04-08 05:49:52+00:00;1744091392;---;1;1;Client_2;H;H_2;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
3;Kyrgyzstan;2025-04-11 12:43:46+00:00;1744375426;2025-04-11 12:43:46+00:00;1744375426;---;4;4;Client_1;I;I_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
4;Ghana;2025-04-13 18:22:01+00:00;1744568521;2025-04-13 18:22:01+00:00;1744568521;---;4;4;Client_1;D;D_6;---;---;---;---;---;---;False;---;True;True;False;True;False;True;---;---;---;---
5;East Timor;2025-04-16 17:46:31+00:00;1744825591;2025-04-16 17:46:31+00:00;1744825591;---;3;3;Client_1;C;C_1;---;---;---;---;---;---;False;---;True;False;False;True;False;True;---;---;---;---
6;Malawi;2025-04-20 06:16:18+00:00;1745129778;2025-04-20 06:16:18+00:00;1745129778;---;2;2;Client_1;F;F_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;196.45.190.121;49053;131.117.130.128;54338
7;Croatia;2025-04-22 16:25:38+00:00;1745339138;2025-04-22 16:25:38+00:00;1745339138;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;False;True;True;False;False;---;---;---;---
8;Malawi;2025-04-24 20:33:39+00:00;1745526819;2025-04-24 20:33:39+00:00;1745526819;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;False;True;True;False;False;---;---;---;---
9;Luxembourg;2025-04-28 19:30:17+00:00;1745868617;2025-04-28 19:30:17+00:00;1745868617;---;4;4;Client_2;D;D_6;---;---;---;---;---;---;False;---;True;True;False;True;False;True;---;---;---;---
10;Sudan;2025-04-30 16:11:31+00:00;1746029491;2025-04-30 16:11:31+00:00;1746029491;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
11;Libya;2025-05-03 10:24:10+00:00;1746267850;2025-05-03 10:24:10+00:00;1746267850;---;2;2;Client_2;F;F_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;209.239.73.111;17650;200.3.146.191;62601
12;Nigeria;2025-05-07 00:03:04+00:00;1746576184;2025-05-07 00:03:04+00:00;1746576184;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;True;True;False;False;---;---;---;---
13;Mauritania;2025-05-08 01:35:31+00:00;1746668131;2025-05-08 01:35:31+00:00;1746668131;---;2;2;Client_1;E;E_5;---;---;---;---;---;---;False;---;True;True;True;True;True;True;45.42.179.72;211;84.54.17.40;65362
14;Mauritania;2025-05-15 18:01:32+00:00;1747332092;2025-05-15 18:01:32+00:00;1747332092;---;3;3;Client_2;C;C_3;---;---;---;---;---;---;False;---;True;False;False;True;False;True;---;---;---;---
15;Ivory Coast;2025-05-16 23:50:59+00:00;1747439459;2025-05-16 23:50:59+00:00;1747439459;---;2;2;Client_2;E;E_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;41.242.35.111;19927;89.35.195.105;61102
16;Zambia;2025-05-22 13:10:34+00:00;1747919434;2025-05-22 13:10:34+00:00;1747919434;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
17;United Kingdom;2025-05-22 18:00:25+00:00;1747936825;2025-05-22 18:00:25+00:00;1747936825;---;2;2;Client_1;E;E_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;80.169.75.67;401;119.45.239.67;49706
18;Ethiopia;2025-05-22 22:48:40+00:00;1747954120;2025-05-22 22:48:40+00:00;1747954120;---;2;2;Client_2;E;E_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;45.59.144.28;202;46.36.199.226;63808
19;Republic of Ireland;2025-05-24 16:10:41+00:00;1748103041;2025-05-24 16:10:41+00:00;1748103041;---;3;3;Client_2;C;C_1;---;---;---;---;---;---;False;---;True;False;False;True;False;True;---;---;---;---
20;Fiji;2025-05-27 04:39:27+00:00;1748320767;2025-05-27 04:39:27+00:00;1748320767;---;1;1;Client_1;H;H_1;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
21;Mauritius;2025-05-27 13:25:02+00:00;1748352302;2025-05-27 13:25:02+00:00;1748352302;---;2;2;Client_2;B;B_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
22;Algeria;2025-05-27 18:28:42+00:00;1748370522;2025-05-27 18:28:42+00:00;1748370522;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;True;True;False;False;---;---;---;---
23;Botswana;2025-05-29 06:54:49+00:00;1748501689;2025-05-29 06:54:49+00:00;1748501689;---;2;2;Client_2;F;F_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;196.43.216.136;44081;41.223.212.230;63301
24;Turkey;2025-06-05 08:38:08+00:00;1749112688;2025-06-05 08:38:08+00:00;1749112688;---;4;4;Client_1;I;I_4;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
25;Papua New Guinea;2025-06-05 13:42:18+00:00;1749130938;2025-06-05 13:42:18+00:00;1749130938;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
26;Belize;2025-06-16 10:45:33+00:00;1750070733;2025-06-16 10:45:33+00:00;1750070733;---;2;2;Client_1;F;F_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;186.65.88.223;872;193.140.178.240;53508
27;Iraq;2025-06-18 05:42:09+00:00;1750225329;2025-06-18 05:42:09+00:00;1750225329;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;True;True;False;False;False;False;---;---;---;---
28;El Salvador;2025-06-20 16:42:14+00:00;1750437734;2025-06-20 16:42:14+00:00;1750437734;---;3;3;Client_2;C;C_2;---;---;---;---;---;---;False;---;True;False;False;True;False;True;---;---;---;---
29;Puerto Rico;2025-06-21 02:21:20+00:00;1750472480;2025-06-21 02:21:20+00:00;1750472480;---;2;2;Client_1;F;F_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;23.18.107.190;28077;103.227.114.88;64798
30;Bulgaria;2025-06-23 13:04:09+00:00;1750683849;2025-06-23 13:04:09+00:00;1750683849;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;---;---;---;---
31;Afghanistan;2025-06-25 09:36:24+00:00;1750844184;2025-06-25 09:36:24+00:00;1750844184;---;4;4;Client_2;I;I_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
32;Federated States of Micronesia;2025-06-30 05:40:50+00:00;1751262050;2025-06-30 05:40:50+00:00;1751262050;---;1;1;Client_2;H;H_2;---;---;---;---;---;---;False;---;True;False;True;False;True;True;---;---;---;---
33;Hungary;2025-07-03 22:08:26+00:00;1751580506;2025-07-03 22:08:26+00:00;1751580506;---;2;2;Client_1;E;E_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;93.190.3.210;30;193.194.128.193;57510
34;Bulgaria;2025-07-07 19:15:53+00:00;1751915753;2025-07-07 19:15:53+00:00;1751915753;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;False;True;True;False;False;---;---;---;---
