id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Turkmenistan;2025-04-01 15:35:26+00:00;1743521726;2025-04-01 15:35:26+00:00;1743521726;---;2;2;Client_1;B;B_6;---;---;---;---;---;---;False;---;True;True;True;False;False;True;---;---;---;---
1;Barbados;2025-04-02 08:32:00+00:00;1743582720;2025-04-02 08:32:00+00:00;1743582720;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;True;True;False;False;True;---;---;---;---
2;Libya;2025-04-06 04:10:33+00:00;1743912633;2025-04-06 04:10:33+00:00;1743912633;---;1;1;Client_2;H;H_2;---;---;---;---;---;---;False;---;True;False;True;True;False;True;---;---;---;---
3;United States;2025-04-10 07:20:55+00:00;1744269655;2025-04-10 07:20:55+00:00;1744269655;---;4;4;Client_2;I;I_5;---;---;---;---;---;---;False;---;True;True;True;True;True;True;152.229.175.5;14263;217.113.81.85;57288
4;Belarus;2025-04-14 09:40:04+00:00;1744623604;2025-04-14 09:40:04+00:00;1744623604;---;2;2;Client_2;L;L_1;---;---;---;---;---;---;False;---;True;True;True;False;False;True;---;---;---;---
5;Cameroon;2025-04-19 06:54:14+00:00;1745045654;2025-04-19 06:54:14+00:00;1745045654;---;2;2;Client_2;F;F_3;---;---;---;---;---;---;False;---;False;False;True;False;False;True;80.78.20.17;145;200.30.178.211;64792
6;United Arab Emirates;2025-04-23 05:28:51+00:00;1745386131;2025-04-23 05:28:51+00:00;1745386131;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
7;Monaco;2025-04-23 08:01:31+00:00;1745395291;2025-04-23 08:01:31+00:00;1745395291;---;2;2;Client_2;K;K_2;---;---;---;---;---;---;False;---;False;True;True;False;True;False;---;---;---;---
8;Burundi;2025-04-25 02:45:16+00:00;1745549116;2025-04-25 02:45:16+00:00;1745549116;---;2;2;Client_2;E;E_6;---;---;---;---;---;---;False;---;False;False;False;False;False;False;197.149.140.13;47580;110.34.33.111;55836
9;Peru;2025-04-27 05:23:47+00:00;1745731427;2025-04-27 05:23:47+00:00;1745731427;---;1;1;Client_2;H;H_2;---;---;---;---;---;---;False;---;True;False;True;True;False;True;---;---;---;---
10;Palau;2025-04-28 12:00:03+00:00;1745841603;2025-04-28 12:00:03+00:00;1745841603;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;True;True;False;False;True;---;---;---;---
11;Cuba;2025-04-29 22:23:38+00:00;1745965418;2025-04-29 22:23:38+00:00;1745965418;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
12;Cyprus;2025-04-30 05:21:25+00:00;1745990485;2025-04-30 05:21:25+00:00;1745990485;---;1;1;Client_1;J;J_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
13;Brunei;2025-04-30 08:34:29+00:00;1746002069;2025-04-30 08:34:29+00:00;1746002069;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;True;True;False;False;True;---;---;---;---
14;Qatar;2025-04-30 22:50:13+00:00;1746053413;2025-04-30 22:50:13+00:00;1746053413;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;False;True;True;True;---;---;---;---
15;Taiwan;2025-05-03 14:12:12+00:00;1746281532;2025-05-03 14:12:12+00:00;1746281532;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;False;---;False;False;True;False;False;True;63.216.196.196;115;91.199.161.32;63221
16;Saint Vincent and the Grenadines;2025-05-06 05:22:06+00:00;1746508926;2025-05-06 05:22:06+00:00;1746508926;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;False;True;True;False;True;False;---;---;---;---
17;Benin;2025-05-09 22:10:37+00:00;1746828637;2025-05-09 22:10:37+00:00;1746828637;---;2;2;Client_1;E;E_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;196.223.40.48;246;41.76.163.108;64265
18;Albania;2025-05-13 23:25:01+00:00;1747178701;2025-05-13 23:25:01+00:00;1747178701;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
19;Panama;2025-05-13 23:30:19+00:00;1747179019;2025-05-13 23:30:19+00:00;1747179019;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;False;True;True;False;True;False;---;---;---;---
