id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Argentina;2025-03-31 11:13:13+00:00;1743419593;2025-03-31 11:13:13+00:00;1743419593;---;2;2;Client_2;B;B_5;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
1;Niger;2025-04-04 23:49:13+00:00;1743810553;2025-04-04 23:49:13+00:00;1743810553;---;2;2;Client_1;E;E_6;---;---;---;---;---;---;False;---;False;True;True;False;False;True;80.78.19.205;4190;103.11.192.1;62058
2;Bolivia;2025-04-05 07:18:01+00:00;1743837481;2025-04-05 07:18:01+00:00;1743837481;---;2;2;Client_2;F;F_3;---;---;---;---;---;---;False;---;False;True;True;True;True;True;161.56.96.60;36675;217.78.208.76;63254
3;Guinea-Bissau;2025-04-05 10:32:15+00:00;1743849135;2025-04-05 10:32:15+00:00;1743849135;---;2;2;Client_2;F;F_4;---;---;---;---;---;---;False;---;False;True;True;True;True;True;104.143.18.64;12502;218.100.57.141;61263
4;Mozambique;2025-04-10 04:21:18+00:00;1744258878;2025-04-10 04:21:18+00:00;1744258878;---;2;2;Client_2;F;F_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;41.77.243.208;4786;188.247.92.53;52920
5;Azerbaijan;2025-04-12 18:38:33+00:00;1744483113;2025-04-12 18:38:33+00:00;1744483113;---;4;4;Client_1;D;D_5;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
6;Haiti;2025-04-14 18:06:48+00:00;1744654008;2025-04-14 18:06:48+00:00;1744654008;---;2;2;Client_1;B;B_1;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
7;Cambodia;2025-04-15 15:04:02+00:00;1744729442;2025-04-15 15:04:02+00:00;1744729442;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;False;True;False;False;False;True;---;---;---;---
8;Cameroon;2025-04-17 02:22:06+00:00;1744856526;2025-04-17 02:22:06+00:00;1744856526;---;2;2;Client_2;K;K_2;---;---;---;---;---;---;False;---;False;True;True;True;True;False;41.216.185.67;28757;161.132.25.72;64315
9;Panama;2025-04-23 10:43:47+00:00;1745405027;2025-04-23 10:43:47+00:00;1745405027;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;False;True;True;False;True;---;---;---;---
10;Zimbabwe;2025-04-25 07:17:43+00:00;1745565463;2025-04-25 07:17:43+00:00;1745565463;---;4;4;Client_1;I;I_2;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
11;Iceland;2025-05-01 23:15:41+00:00;1746141341;2025-05-01 23:15:41+00:00;1746141341;---;4;4;Client_2;D;D_4;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
12;Turkey;2025-05-08 21:40:24+00:00;1746740424;2025-05-08 21:40:24+00:00;1746740424;---;2;2;Client_2;E;E_2;---;---;---;---;---;---;False;---;False;True;True;False;False;True;181.215.30.5;9864;46.36.200.250;53790
13;Grenada;2025-05-09 00:15:21+00:00;1746749721;2025-05-09 00:15:21+00:00;1746749721;---;4;4;Client_2;D;D_6;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
14;Madagascar;2025-05-10 15:58:57+00:00;1746892737;2025-05-10 15:58:57+00:00;1746892737;---;3;3;Client_2;C;C_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
15;India;2025-05-13 19:09:17+00:00;1747163357;2025-05-13 19:09:17+00:00;1747163357;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
16;Cuba;2025-05-14 07:04:00+00:00;1747206240;2025-05-14 07:04:00+00:00;1747206240;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;False;True;True;False;True;---;---;---;---
17;Pakistan;2025-05-14 13:21:49+00:00;1747228909;2025-05-14 13:21:49+00:00;1747228909;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;False;True;False;False;False;True;---;---;---;---
18;Armenia;2025-05-17 03:56:48+00:00;1747454208;2025-05-17 03:56:48+00:00;1747454208;---;1;1;Client_1;H;H_3;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
19;Guinea;2025-05-18 09:13:45+00:00;1747559625;2025-05-18 09:13:45+00:00;1747559625;---;2;2;Client_2;F;F_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;80.78.18.182;11520;104.250.178.115;61585
20;Venezuela;2025-05-18 15:54:12+00:00;1747583652;2025-05-18 15:54:12+00:00;1747583652;---;2;2;Client_1;F;F_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;198.229.1.161;12564;154.111.197.192;56312
21;Namibia;2025-05-20 16:32:39+00:00;1747758759;2025-05-20 16:32:39+00:00;1747758759;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;True;False;False;False;True;---;---;---;---
22;Guatemala;2025-05-22 11:19:47+00:00;1747912787;2025-05-22 11:19:47+00:00;1747912787;---;4;4;Client_2;I;I_4;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
23;Ghana;2025-05-23 06:57:47+00:00;1747983467;2025-05-23 06:57:47+00:00;1747983467;---;2;2;Client_1;E;E_3;---;---;---;---;---;---;False;---;False;True;True;False;False;True;197.221.90.63;17845;205.214.207.50;55054
24;Spain;2025-05-29 02:05:28+00:00;1748484328;2025-05-29 02:05:28+00:00;1748484328;---;2;2;Client_1;K;K_1;---;---;---;---;---;---;False;---;False;True;True;True;True;False;185.5.86.1;63;206.49.89.172;58295
25;Jamaica;2025-05-29 06:08:30+00:00;1748498910;2025-05-29 06:08:30+00:00;1748498910;---;2;2;Client_2;K;K_2;---;---;---;---;---;---;False;---;False;True;True;True;True;False;206.41.107.19;683;150.129.45.250;64701
26;Malawi;2025-06-02 15:03:19+00:00;1748876599;2025-06-02 15:03:19+00:00;1748876599;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
27;Ghana;2025-06-03 11:39:43+00:00;1748950783;2025-06-03 11:39:43+00:00;1748950783;---;2;2;Client_2;K;K_1;---;---;---;---;---;---;False;---;False;True;True;True;True;False;197.221.70.151;954;46.36.197.158;49894
28;Trinidad and Tobago;2025-06-04 21:41:51+00:00;1749073311;2025-06-04 21:41:51+00:00;1749073311;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;True;True;False;False;True;True;---;---;---;---
29;Bhutan;2025-06-07 15:05:34+00:00;1749308734;2025-06-07 15:05:34+00:00;1749308734;---;2;2;Client_1;B;B_2;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
30;Saint Vincent and the Grenadines;2025-06-08 23:31:50+00:00;1749425510;2025-06-08 23:31:50+00:00;1749425510;---;2;2;Client_2;E;E_3;---;---;---;---;---;---;False;---;False;True;True;False;False;True;199.38.196.61;11277;194.208.206.95;58642
31;Belarus;2025-06-11 00:21:12+00:00;1749601272;2025-06-11 00:21:12+00:00;1749601272;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;False;True;True;True;True;False;198.27.106.177;173;185.5.52.11;51359
32;Samoa;2025-06-11 08:21:42+00:00;1749630102;2025-06-11 08:21:42+00:00;1749630102;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;False;True;True;True;True;False;182.50.74.250;11022;103.28.243.223;60873
33;Gabon;2025-06-11 23:46:49+00:00;1749685609;2025-06-11 23:46:49+00:00;1749685609;---;2;2;Client_2;E;E_3;---;---;---;---;---;---;False;---;False;True;True;False;False;True;41.78.242.169;13461;104.143.201.4;60266
34;Democratic Republic of the Congo;2025-06-12 04:32:48+00:00;1749702768;2025-06-12 04:32:48+00:00;1749702768;---;4;4;Client_1;I;I_7;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
35;Zimbabwe;2025-06-14 16:55:06+00:00;1749920106;2025-06-14 16:55:06+00:00;1749920106;---;4;4;Client_1;D;D_2;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
36;Equatorial Guinea;2025-06-15 15:20:50+00:00;1750000850;2025-06-15 15:20:50+00:00;1750000850;---;4;4;Client_1;D;D_6;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
37;France;2025-06-15 21:15:35+00:00;1750022135;2025-06-15 21:15:35+00:00;1750022135;---;4;4;Client_2;D;D_6;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
38;Pakistan;2025-06-22 12:16:58+00:00;1750594618;2025-06-22 12:16:58+00:00;1750594618;---;4;4;Client_1;I;I_3;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
39;Canada;2025-06-22 21:13:27+00:00;1750626807;2025-06-22 21:13:27+00:00;1750626807;---;4;4;Client_1;D;D_4;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
40;Chad;2025-06-25 12:58:42+00:00;1750856322;2025-06-25 12:58:42+00:00;1750856322;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;False;True;False;False;False;True;---;---;---;---
41;Portugal;2025-07-03 10:02:07+00:00;1751536927;2025-07-03 10:02:07+00:00;1751536927;---;4;4;Client_2;I;I_4;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
42;Burkina Faso;2025-07-08 01:13:10+00:00;1751937190;2025-07-08 01:13:10+00:00;1751937190;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;True;True;False;False;True;True;---;---;---;---
43;Japan;2025-07-10 18:46:45+00:00;1752173205;2025-07-10 18:46:45+00:00;1752173205;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
44;Cape Verde;2025-07-10 20:05:05+00:00;1752177905;2025-07-10 20:05:05+00:00;1752177905;---;2;2;Client_2;E;E_5;---;---;---;---;---;---;False;---;False;True;True;False;False;True;197.255.142.146;24735;199.38.196.60;56758
45;Republic of Ireland;2025-07-22 16:29:20+00:00;1753201760;2025-07-22 16:29:20+00:00;1753201760;---;2;2;Client_1;B;B_5;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
46;Bulgaria;2025-07-24 07:06:56+00:00;1753340816;2025-07-24 07:06:56+00:00;1753340816;---;4;4;Client_1;I;I_8;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
47;Sweden;2025-07-25 15:54:16+00:00;1753458856;2025-07-25 15:54:16+00:00;1753458856;---;4;4;Client_2;I;I_5;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
48;Palau;2025-07-30 06:30:55+00:00;1753857055;2025-07-30 06:30:55+00:00;1753857055;---;2;2;Client_2;K;K_1;---;---;---;---;---;---;False;---;False;True;True;True;True;False;64.86.194.37;267;195.190.138.97;49649
49;Papua New Guinea;2025-07-31 00:04:24+00:00;1753920264;2025-07-31 00:04:24+00:00;1753920264;---;3;3;Client_1;C;C_8;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
50;Cameroon;2025-07-31 07:07:16+00:00;1753945636;2025-07-31 07:07:16+00:00;1753945636;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;True;True;False;False;True;True;---;---;---;---
51;Botswana;2025-07-31 10:31:20+00:00;1753957880;2025-07-31 10:31:20+00:00;1753957880;---;4;4;Client_1;I;I_2;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
52;Austria;2025-07-31 18:51:49+00:00;1753987909;2025-07-31 18:51:49+00:00;1753987909;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
53;Burundi;2025-08-01 11:13:28+00:00;1754046808;2025-08-01 11:13:28+00:00;1754046808;---;4;4;Client_2;I;I_2;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
54;Iceland;2025-08-03 01:40:13+00:00;1754185213;2025-08-03 01:40:13+00:00;1754185213;---;1;1;Client_2;H;H_2;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
55;Guatemala;2025-08-11 19:42:40+00:00;1754941360;2025-08-11 19:42:40+00:00;1754941360;---;1;1;Client_1;J;J_2;---;---;---;---;---;---;False;---;True;True;False;False;True;True;---;---;---;---
56;Algeria;2025-08-21 01:50:29+00:00;1755741029;2025-08-21 01:50:29+00:00;1755741029;---;2;2;Client_1;E;E_3;---;---;---;---;---;---;False;---;False;True;True;False;False;True;80.88.14.248;22340;204.188.167.3;53169
57;Sri Lanka;2025-08-22 14:54:04+00:00;1755874444;2025-08-22 14:54:04+00:00;1755874444;---;4;4;Client_1;D;D_3;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
58;New Zealand;2025-08-27 02:22:45+00:00;1756261365;2025-08-27 02:22:45+00:00;1756261365;---;2;2;Client_2;K;K_1;---;---;---;---;---;---;False;---;False;True;True;True;True;False;202.74.224.14;47890;192.154.20.122;54460
59;Somalia;2025-08-27 08:45:38+00:00;1756284338;2025-08-27 08:45:38+00:00;1756284338;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;False;True;False;False;False;True;---;---;---;---
60;Venezuela;2025-08-28 23:08:46+00:00;1756422526;2025-08-28 23:08:46+00:00;1756422526;---;3;3;Client_2;C;C_8;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
61;Trinidad and Tobago;2025-08-29 07:37:49+00:00;1756453069;2025-08-29 07:37:49+00:00;1756453069;---;2;2;Client_1;F;F_3;---;---;---;---;---;---;False;---;False;True;True;True;True;True;190.83.174.160;128;57.79.235.116;50418
62;Hungary;2025-09-04 18:27:59+00:00;1757010479;2025-09-04 18:27:59+00:00;1757010479;---;3;3;Client_1;C;C_7;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
63;Kyrgyzstan;2025-09-07 10:50:10+00:00;1757242210;2025-09-07 10:50:10+00:00;1757242210;---;4;4;Client_1;I;I_8;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
64;Kuwait;2025-09-09 12:47:30+00:00;1757422050;2025-09-09 12:47:30+00:00;1757422050;---;2;2;Client_1;B;B_6;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
65;Nepal;2025-09-09 12:50:49+00:00;1757422249;2025-09-09 12:50:49+00:00;1757422249;---;2;2;Client_2;B;B_4;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
66;Canada;2025-09-11 07:50:07+00:00;1757577007;2025-09-11 07:50:07+00:00;1757577007;---;2;2;Client_1;E;E_4;---;---;---;---;---;---;False;---;False;True;True;False;False;True;100.46.243.212;33263;92.225.12.215;53650
67;Federated States of Micronesia;2025-09-12 09:23:30+00:00;1757669010;2025-09-12 09:23:30+00:00;1757669010;---;4;4;Client_2;I;I_2;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
68;Finland;2025-09-13 07:50:48+00:00;1757749848;2025-09-13 07:50:48+00:00;1757749848;---;2;2;Client_1;F;F_4;---;---;---;---;---;---;False;---;False;True;True;True;True;True;185.72.117.18;282;197.157.221.18;65356
69;Madagascar;2025-09-16 22:04:33+00:00;1758060273;2025-09-16 22:04:33+00:00;1758060273;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
70;Grenada;2025-09-17 07:20:31+00:00;1758093631;2025-09-17 07:20:31+00:00;1758093631;---;2;2;Client_1;K;K_1;---;---;---;---;---;---;False;---;False;True;True;True;True;False;69.73.243.144;453;202.63.255.135;52730
71;El Salvador;2025-09-17 11:50:34+00:00;1758109834;2025-09-17 11:50:34+00:00;1758109834;---;2;2;Client_2;B;B_1;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
72;Sierra Leone;2025-09-19 19:47:57+00:00;1758311277;2025-09-19 19:47:57+00:00;1758311277;---;3;3;Client_2;C;C_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
73;Gambia;2025-09-22 01:59:28+00:00;1758506368;2025-09-22 01:59:28+00:00;1758506368;---;1;1;Client_1;H;H_3;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
74;Uzbekistan;2025-09-22 10:42:58+00:00;1758537778;2025-09-22 10:42:58+00:00;1758537778;---;2;2;Client_2;L;L_1;---;---;---;---;---;---;False;---;True;False;True;True;False;True;---;---;---;---
75;Solomon Islands;2025-09-22 12:32:19+00:00;1758544339;2025-09-22 12:32:19+00:00;1758544339;---;2;2;Client_2;B;B_5;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
76;Jordan;2025-09-23 07:01:28+00:00;1758610888;2025-09-23 07:01:28+00:00;1758610888;---;2;2;Client_1;K;K_2;---;---;---;---;---;---;False;---;False;True;True;True;True;False;188.247.92.57;862;138.0.212.105;63038
77;Luxembourg;2025-09-23 08:40:27+00:00;1758616827;2025-09-23 08:40:27+00:00;1758616827;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;False;True;False;False;False;True;---;---;---;---
78;Burundi;2025-09-24 12:46:19+00:00;1758717979;2025-09-24 12:46:19+00:00;1758717979;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;True;False;False;False;True;---;---;---;---
79;Cape Verde;2025-09-30 16:21:16+00:00;1759249276;2025-09-30 16:21:16+00:00;1759249276;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
80;Andorra;2025-10-02 11:35:37+00:00;1759404937;2025-10-02 11:35:37+00:00;1759404937;---;2;2;Client_1;B;B_6;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
81;Brazil;2025-10-03 14:50:30+00:00;1759503030;2025-10-03 14:50:30+00:00;1759503030;---;3;3;Client_2;C;C_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
82;Haiti;2025-10-09 12:07:51+00:00;1760011671;2025-10-09 12:07:51+00:00;1760011671;---;4;4;Client_2;I;I_3;---;---;---;---;---;---;False;---;False;True;True;False;True;True;---;---;---;---
83;Belize;2025-10-13 10:17:44+00:00;1760350664;2025-10-13 10:17:44+00:00;1760350664;---;4;4;Client_1;D;D_2;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
84;Uzbekistan;2025-10-19 06:37:45+00:00;1760855865;2025-10-19 06:37:45+00:00;1760855865;---;1;1;Client_2;H;H_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
85;Switzerland;2025-10-25 00:37:33+00:00;1761352653;2025-10-25 00:37:33+00:00;1761352653;---;2;2;Client_1;E;E_1;---;---;---;---;---;---;False;---;False;True;True;False;False;True;91.220.100.150;15199;80.241.158.248;50139
86;Djibouti;2025-10-25 13:44:37+00:00;1761399877;2025-10-25 13:44:37+00:00;1761399877;---;4;4;Client_2;D;D_2;---;---;---;---;---;---;False;---;True;False;False;False;False;False;---;---;---;---
87;United Arab Emirates;2025-10-27 03:36:54+00:00;1761536214;2025-10-27 03:36:54+00:00;1761536214;---;2;2;Client_2;K;K_2;---;---;---;---;---;---;False;---;False;True;True;True;True;False;82.205.250.89;17775;207.117.22.222;53646
88;Uruguay;2025-10-29 14:05:38+00:00;1761746738;2025-10-29 14:05:38+00:00;1761746738;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;True;False;False;False;True;---;---;---;---
