id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Comoros;2025-04-01 15:33:38+00:00;1743521618;2025-04-01 15:33:38+00:00;1743521618;---;1;1;Client_1;G;G_2;---;---;---;---;---;---;False;---;False;True;False;False;True;True;---;---;---;---
1;Samoa;2025-04-02 05:58:01+00:00;1743573481;2025-04-02 05:58:01+00:00;1743573481;---;1;1;Client_1;H;H_1;---;---;---;---;---;---;False;---;True;False;True;True;True;False;---;---;---;---
2;Angola;2025-04-06 01:45:45+00:00;1743903945;2025-04-06 01:45:45+00:00;1743903945;---;1;1;Client_1;H;H_3;---;---;---;---;---;---;False;---;True;False;True;True;True;False;---;---;---;---
3;Guatemala;2025-04-06 16:01:51+00:00;1743955311;2025-04-06 16:01:51+00:00;1743955311;---;4;4;Client_1;D;D_5;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
4;Venezuela;2025-04-07 19:31:59+00:00;1744054319;2025-04-07 19:31:59+00:00;1744054319;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
5;Netherlands;2025-04-08 14:09:37+00:00;1744121377;2025-04-08 14:09:37+00:00;1744121377;---;2;2;Client_1;B;B_1;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
6;Iceland;2025-04-11 21:22:08+00:00;1744406528;2025-04-11 21:22:08+00:00;1744406528;---;3;3;Client_1;C;C_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;31.6.17.120;25718;203.217.169.226;57823
7;Latvia;2025-04-13 17:58:17+00:00;1744567097;2025-04-13 17:58:17+00:00;1744567097;---;4;4;Client_1;D;D_4;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
8;Vanuatu;2025-04-15 03:31:01+00:00;1744687861;2025-04-15 03:31:01+00:00;1744687861;---;2;2;Client_2;K;K_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
9;Paraguay;2025-04-20 22:25:07+00:00;1745187907;2025-04-20 22:25:07+00:00;1745187907;---;4;4;Client_1;D;D_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
10;Turkey;2025-04-24 12:17:00+00:00;1745497020;2025-04-24 12:17:00+00:00;1745497020;---;4;4;Client_1;D;D_4;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
11;Saint Vincent and the Grenadines;2025-04-25 20:58:14+00:00;1745614694;2025-04-25 20:58:14+00:00;1745614694;---;3;3;Client_1;C;C_7;---;---;---;---;---;---;False;---;False;False;False;False;False;False;72.51.123.7;397;80.80.210.51;65415
12;Namibia;2025-04-26 10:24:05+00:00;1745663045;2025-04-26 10:24:05+00:00;1745663045;---;4;4;Client_2;I;I_1;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
13;Honduras;2025-04-29 23:36:37+00:00;1745969797;2025-04-29 23:36:37+00:00;1745969797;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
14;Sudan;2025-04-30 10:40:47+00:00;1746009647;2025-04-30 10:40:47+00:00;1746009647;---;2;2;Client_1;B;B_1;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
15;Syria;2025-05-01 00:01:55+00:00;1746057715;2025-05-01 00:01:55+00:00;1746057715;---;3;3;Client_1;C;C_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;23.247.134.59;661;193.105.236.209;49393
16;Germany;2025-05-02 01:33:21+00:00;1746149601;2025-05-02 01:33:21+00:00;1746149601;---;2;2;Client_2;E;E_3;---;---;---;---;---;---;False;---;False;False;True;False;False;False;193.202.127.244;165;46.36.195.241;64423
17;Pakistan;2025-05-02 01:54:07+00:00;1746150847;2025-05-02 01:54:07+00:00;1746150847;---;2;2;Client_1;E;E_4;---;---;---;---;---;---;False;---;False;False;True;False;False;False;202.3.130.128;2990;198.50.253.252;49265
18;Ivory Coast;2025-05-05 15:03:45+00:00;1746457425;2025-05-05 15:03:45+00:00;1746457425;---;2;2;Client_1;B;B_6;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
19;Belize;2025-05-05 15:59:31+00:00;1746460771;2025-05-05 15:59:31+00:00;1746460771;---;2;2;Client_2;B;B_5;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
20;South Africa;2025-05-09 20:18:04+00:00;1746821884;2025-05-09 20:18:04+00:00;1746821884;---;3;3;Client_1;C;C_7;---;---;---;---;---;---;False;---;False;False;False;False;False;False;154.66.149.176;583;185.56.163.155;58904
21;Botswana;2025-05-10 00:16:31+00:00;1746836191;2025-05-10 00:16:31+00:00;1746836191;---;2;2;Client_1;E;E_4;---;---;---;---;---;---;False;---;False;False;True;False;False;False;196.43.216.46;14010;179.8.146.89;54252
22;Ivory Coast;2025-05-10 06:19:00+00:00;1746857940;2025-05-10 06:19:00+00:00;1746857940;---;2;2;Client_1;F;F_1;---;---;---;---;---;---;False;---;False;False;False;False;False;True;---;---;---;---
23;Albania;2025-05-18 19:04:22+00:00;1747595062;2025-05-18 19:04:22+00:00;1747595062;---;4;4;Client_1;D;D_2;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
24;Rwanda;2025-05-22 18:08:26+00:00;1747937306;2025-05-22 18:08:26+00:00;1747937306;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;True;True;False;False;False;True;196.12.147.221;2727;79.170.108.219;56456
25;Mexico;2025-05-25 20:59:29+00:00;1748206769;2025-05-25 20:59:29+00:00;1748206769;---;4;4;Client_1;D;D_6;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
26;Argentina;2025-05-27 21:49:22+00:00;1748382562;2025-05-27 21:49:22+00:00;1748382562;---;3;3;Client_2;C;C_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;190.108.194.225;41705;202.70.180.170;55644
27;Sierra Leone;2025-05-28 03:14:57+00:00;1748402097;2025-05-28 03:14:57+00:00;1748402097;---;2;2;Client_2;K;K_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
28;Republic of Ireland;2025-05-30 11:51:37+00:00;1748605897;2025-05-30 11:51:37+00:00;1748605897;---;2;2;Client_1;F;F_4;---;---;---;---;---;---;True;---;False;False;False;False;False;True;---;---;---;---
29;Vatican;2025-05-31 05:41:20+00:00;1748670080;2025-05-31 05:41:20+00:00;1748670080;---;4;4;Client_1;I;I_8;---;---;---;---;---;---;False;---;True;False;False;True;False;False;---;---;---;---
30;Georgia;2025-06-02 05:21:22+00:00;1748841682;2025-06-02 05:21:22+00:00;1748841682;---;2;2;Client_2;L;L_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;37.18.11.2;18219;217.78.71.61;65517
31;Gabon;2025-06-05 20:46:33+00:00;1749156393;2025-06-05 20:46:33+00:00;1749156393;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;True;True;False;False;False;True;41.223.171.19;17905;57.82.144.246;61295
