id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Turkey;2025-04-05 22:50:35+00:00;1743893435;2025-04-05 22:50:35+00:00;1743893435;---;2;2;Client_2;E;E_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;185.90.80.155;860;41.204.33.31;54161
1;New Zealand;2025-04-07 15:27:58+00:00;1744039678;2025-04-07 15:27:58+00:00;1744039678;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
2;Chad;2025-04-09 11:50:11+00:00;1744199411;2025-04-09 11:50:11+00:00;1744199411;---;2;2;Client_2;B;B_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
3;Hungary;2025-04-10 14:42:44+00:00;1744296164;2025-04-10 14:42:44+00:00;1744296164;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;True;False;False;False;True;True;---;---;---;---
4;Cameroon;2025-04-13 19:08:21+00:00;1744571301;2025-04-13 19:08:21+00:00;1744571301;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;True;True;True;False;True;True;---;---;---;---
5;Djibouti;2025-04-15 20:56:35+00:00;1744750595;2025-04-15 20:56:35+00:00;1744750595;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;True;True;True;False;True;True;---;---;---;---
6;Andorra;2025-04-17 05:17:15+00:00;1744867035;2025-04-17 05:17:15+00:00;1744867035;---;2;2;Client_1;E;E_5;---;---;---;---;---;---;False;---;False;False;False;False;False;False;155.254.250.141;41684;46.36.201.131;57453
7;Antigua and Barbuda;2025-04-17 20:10:21+00:00;1744920621;2025-04-17 20:10:21+00:00;1744920621;---;2;2;Client_2;E;E_3;---;---;---;---;---;---;False;---;False;False;False;False;False;False;204.16.113.103;96;46.36.203.62;51651
8;Gambia;2025-04-23 09:20:36+00:00;1745400036;2025-04-23 09:20:36+00:00;1745400036;---;2;2;Client_1;B;B_1;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
9;Malawi;2025-04-25 09:40:31+00:00;1745574031;2025-04-25 09:40:31+00:00;1745574031;---;4;4;Client_2;I;I_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
10;Ethiopia;2025-04-26 00:56:48+00:00;1745629008;2025-04-26 00:56:48+00:00;1745629008;---;2;2;Client_1;E;E_6;---;---;---;---;---;---;False;---;False;False;False;False;False;False;155.254.213.251;677;202.124.225.163;61269
11;Cape Verde;2025-05-06 09:17:49+00:00;1746523069;2025-05-06 09:17:49+00:00;1746523069;---;1;1;Client_2;G;G_2;---;---;---;---;---;---;False;---;True;False;False;False;True;True;---;---;---;---
12;Madagascar;2025-05-07 21:24:08+00:00;1746653048;2025-05-07 21:24:08+00:00;1746653048;---;3;3;Client_2;C;C_8;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
13;Iceland;2025-05-09 11:52:28+00:00;1746791548;2025-05-09 11:52:28+00:00;1746791548;---;2;2;Client_2;F;F_4;---;---;---;---;---;---;False;---;True;True;True;True;False;False;213.213.144.16;15154;80.78.17.121;60837
14;Canada;2025-05-13 12:55:26+00:00;1747140926;2025-05-13 12:55:26+00:00;1747140926;---;2;2;Client_1;B;B_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
15;Spain;2025-05-21 23:34:41+00:00;1747870481;2025-05-21 23:34:41+00:00;1747870481;---;1;1;Client_1;A;A_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
16;Cape Verde;2025-05-23 12:58:27+00:00;1748005107;2025-05-23 12:58:27+00:00;1748005107;---;3;3;Client_2;C;C_5;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
17;Vatican;2025-05-24 09:45:04+00:00;1748079904;2025-05-24 09:45:04+00:00;1748079904;---;2;2;Client_1;F;F_4;---;---;---;---;---;---;False;---;True;True;True;True;False;False;185.77.227.179;37006;103.51.223.26;59768
18;Egypt;2025-05-24 12:04:29+00:00;1748088269;2025-05-24 12:04:29+00:00;1748088269;---;4;4;Client_2;I;I_8;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
19;Somalia;2025-06-01 04:56:10+00:00;1748753770;2025-06-01 04:56:10+00:00;1748753770;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;False;---;True;True;True;True;False;False;217.20.243.13;850;104.143.28.226;64599
20;Brazil;2025-06-07 10:47:32+00:00;1749293252;2025-06-07 10:47:32+00:00;1749293252;---;2;2;Client_2;F;F_3;---;---;---;---;---;---;False;---;True;True;True;True;False;False;181.216.35.160;23698;193.0.252.146;60914
21;Jordan;2025-06-10 05:43:53+00:00;1749534233;2025-06-10 05:43:53+00:00;1749534233;---;1;1;Client_1;J;J_1;---;---;---;---;---;---;False;---;True;True;True;False;True;True;---;---;---;---
22;Grenada;2025-06-12 08:26:39+00:00;1749716799;2025-06-12 08:26:39+00:00;1749716799;---;4;4;Client_1;I;I_4;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
23;Samoa;2025-06-14 05:05:54+00:00;1749877554;2025-06-14 05:05:54+00:00;1749877554;---;4;4;Client_1;I;I_2;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
24;Madagascar;2025-06-15 02:15:28+00:00;1749953728;2025-06-15 02:15:28+00:00;1749953728;---;1;1;Client_1;H;H_1;---;---;---;---;---;---;False;---;False;True;True;False;False;True;---;---;---;---
25;Burkina Faso;2025-06-15 11:07:13+00:00;1749985633;2025-06-15 11:07:13+00:00;1749985633;---;2;2;Client_2;F;F_2;---;---;---;---;---;---;False;---;True;True;True;True;False;False;46.36.199.244;91;179.48.69.208;58720
26;Venezuela;2025-06-16 03:00:08+00:00;1750042808;2025-06-16 03:00:08+00:00;1750042808;---;1;1;Client_1;H;H_1;---;---;---;---;---;---;False;---;False;True;True;False;False;True;---;---;---;---
27;Saint Vincent and the Grenadines;2025-06-21 05:59:29+00:00;1750485569;2025-06-21 05:59:29+00:00;1750485569;---;2;2;Client_2;F;F_4;---;---;---;---;---;---;False;---;True;True;True;True;False;False;65.48.229.87;23905;195.43.153.234;64421
28;Kyrgyzstan;2025-06-23 15:39:46+00:00;1750693186;2025-06-23 15:39:46+00:00;1750693186;---;4;4;Client_1;D;D_1;---;---;---;---;---;---;False;---;False;False;True;False;True;True;---;---;---;---
29;Equatorial Guinea;2025-06-23 16:14:52+00:00;1750695292;2025-06-23 16:14:52+00:00;1750695292;---;2;2;Client_1;B;B_4;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
30;Uzbekistan;2025-06-26 01:58:48+00:00;1750903128;2025-06-26 01:58:48+00:00;1750903128;---;2;2;Client_2;E;E_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;89.236.239.243;10655;188.93.95.200;58125
31;Cambodia;2025-06-26 21:26:56+00:00;1750973216;2025-06-26 21:26:56+00:00;1750973216;---;1;1;Client_2;A;A_1;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
32;Bulgaria;2025-06-26 22:39:31+00:00;1750977571;2025-06-26 22:39:31+00:00;1750977571;---;2;2;Client_1;E;E_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;196.42.188.84;757;64.86.195.221;61545
33;Zimbabwe;2025-06-30 04:02:56+00:00;1751256176;2025-06-30 04:02:56+00:00;1751256176;---;1;1;Client_1;H;H_1;---;---;---;---;---;---;False;---;False;True;True;False;False;True;---;---;---;---
34;Haiti;2025-07-01 00:12:43+00:00;1751328763;2025-07-01 00:12:43+00:00;1751328763;---;1;1;Client_2;J;J_2;---;---;---;---;---;---;False;---;True;True;True;False;True;True;---;---;---;---
35;France;2025-07-02 01:59:44+00:00;1751421584;2025-07-02 01:59:44+00:00;1751421584;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;True;True;True;False;True;True;---;---;---;---
