id;country;raised;raised_tsp;allocated;allocated_tsp;fixed;init_priority;priority;client;family;subfamily;team;analyst;action;duration;duration_outlier;status;escalate;replicated;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Bahrain;2025-04-03 19:46:10+00:00;1743709570;2025-04-03 19:46:10+00:00;1743709570;---;3;3;Client_1;C;C_5;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
1;Republic of the Congo;2025-04-05 19:55:20+00:00;1743882920;2025-04-05 19:55:20+00:00;1743882920;---;4;4;Client_1;D;D_5;---;---;---;---;---;---;False;---;True;False;True;False;False;False;197.157.252.12;48988;91.189.173.160;55311
2;Nauru;2025-04-06 11:29:16+00:00;1743938956;2025-04-06 11:29:16+00:00;1743938956;---;2;2;Client_1;B;B_4;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
3;Sierra Leone;2025-04-07 04:29:40+00:00;1744000180;2025-04-07 04:29:40+00:00;1744000180;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
4;Bangladesh;2025-04-07 11:31:59+00:00;1744025519;2025-04-07 11:31:59+00:00;1744025519;---;2;2;Client_1;B;B_2;---;---;---;---;---;---;False;---;False;True;True;True;True;True;---;---;---;---
5;Fiji;2025-04-14 10:28:33+00:00;1744626513;2025-04-14 10:28:33+00:00;1744626513;---;1;1;Client_1;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;46.36.194.135;46338;197.154.40.135;59446
6;Thailand;2025-04-15 07:54:31+00:00;1744703671;2025-04-15 07:54:31+00:00;1744703671;---;2;2;Client_1;K;K_1;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
7;Antigua and Barbuda;2025-04-22 13:07:33+00:00;1745327253;2025-04-22 13:07:33+00:00;1745327253;---;2;2;Client_1;L;L_1;---;---;---;---;---;---;False;---;True;False;True;True;True;True;---;---;---;---
8;Liechtenstein;2025-04-24 15:53:59+00:00;1745510039;2025-04-24 15:53:59+00:00;1745510039;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;193.202.242.142;27620;41.76.138.19;63606
9;Nauru;2025-04-25 04:34:30+00:00;1745555670;2025-04-25 04:34:30+00:00;1745555670;---;2;2;Client_1;E;E_5;---;---;---;---;---;---;False;---;False;False;True;False;True;False;104.167.226.77;12;185.47.68.39;60534
10;Greece;2025-05-03 22:12:17+00:00;1746310337;2025-05-03 22:12:17+00:00;1746310337;---;3;3;Client_2;C;C_5;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
11;Nepal;2025-05-03 22:38:06+00:00;1746311886;2025-05-03 22:38:06+00:00;1746311886;---;2;2;Client_2;E;E_4;---;---;---;---;---;---;False;---;False;False;True;False;True;False;27.34.72.205;14960;41.223.87.105;65432
12;Central African Republic;2025-05-04 09:59:40+00:00;1746352780;2025-05-04 09:59:40+00:00;1746352780;---;2;2;Client_2;L;L_1;---;---;---;---;---;---;False;---;True;False;True;True;True;True;---;---;---;---
13;Georgia;2025-05-09 12:08:47+00:00;1746792527;2025-05-09 12:08:47+00:00;1746792527;---;1;1;Client_2;G;G_1;---;---;---;---;---;---;False;---;False;False;False;False;True;False;212.58.119.38;186;179.51.179.201;52299
14;Barbados;2025-05-15 11:33:49+00:00;1747308829;2025-05-15 11:33:49+00:00;1747308829;---;2;2;Client_2;F;F_1;---;---;---;---;---;---;False;---;True;False;False;False;False;False;69.73.224.88;330;46.36.194.135;60394
15;Pakistan;2025-05-26 19:59:59+00:00;1748289599;2025-05-26 19:59:59+00:00;1748289599;---;1;1;Client_2;J;J_1;---;---;---;---;---;---;False;---;False;False;False;False;False;False;---;---;---;---
16;Belgium;2025-05-26 23:44:51+00:00;1748303091;2025-05-26 23:44:51+00:00;1748303091;---;1;1;Client_1;H;H_1;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
17;Lebanon;2025-05-31 10:12:48+00:00;1748686368;2025-05-31 10:12:48+00:00;1748686368;---;2;2;Client_1;F;F_3;---;---;---;---;---;---;False;---;True;False;False;False;False;False;91.240.69.101;529;210.5.208.77;57462
18;Iran;2025-05-31 19:27:02+00:00;1748719622;2025-05-31 19:27:02+00:00;1748719622;---;4;4;Client_2;D;D_5;---;---;---;---;---;---;False;---;True;False;True;False;False;False;185.66.230.43;24141;31.220.29.187;60289
19;South Africa;2025-06-03 12:25:23+00:00;1748953523;2025-06-03 12:25:23+00:00;1748953523;---;1;1;Client_2;H;H_3;---;---;---;---;---;---;False;---;False;True;False;False;False;False;---;---;---;---
20;Denmark;2025-06-07 09:33:14+00:00;1749288794;2025-06-07 09:33:14+00:00;1749288794;---;3;3;Client_2;C;C_8;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
21;Ghana;2025-06-07 16:51:08+00:00;1749315068;2025-06-07 16:51:08+00:00;1749315068;---;3;3;Client_2;C;C_3;---;---;---;---;---;---;False;---;True;True;True;True;True;True;---;---;---;---
