id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Panama;2020-04-03 14:49:45+00:00;1585925385;2020-04-03 14:49:45+00:00;1585925385.0;[1585925385, 1585925516.4, 1585925687.4, 1585925923.8000002];2020-04-03 14:58:43.800000+00:00;0.0;4;4;Client_1;D;fz1;D_4;'p''72''L';L1;Analyst_2;['p', '72', 'L'];Distance LESS 3;8.98;8.98;---;--;Closed;False;False;False;True;True;True;False;False;---;---;---;---
1;Haiti;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980572.4, 1585981078.8000002, 1585981235.4, 1585981276.8000002, 1585981328.4];2020-04-04 06:22:08.400000+00:00;0.0;4;4;Client_1;I;fx70I;I_7;'p''69''ef''74''v';L1;Analyst_9;['p', '69', 'ef', '74', 'v'];Distance LESS 3;15.39;15.39;---;--;Closed;False;False;True;True;False;False;True;True;---;---;---;---
2;Puerto Rico;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040896.2, 1586041114.0, 1586041160.2];2020-04-04 22:59:20.200000+00:00;0.0;2;2;Client_2;K;4HI;K_2;'K''3e''v';L1;Analyst_4;['K', '3e', 'v'];Distance LESS 3;5.22;5.22;---;--;Closed;False;False;True;True;True;True;False;True;199.102.196.70;228;205.217.229.51;62811
3;Mauritania;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267316.4, 1586267586.4, 1586267773.6000001, 1586268064.0000002];2020-04-07 14:01:04+00:00;0.0;1;1;Client_1;A;4rU1;A_1;'K''65''84''L';L1;Analyst_8;['K', '65', '84', 'L'];Distance LESS 3;13.9;13.9;---;--;Closed;False;False;True;False;True;False;False;False;---;---;---;---
4;Colombia;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529526.2, 1586529853.8, 1586529994.8, 1586530206.6];2020-04-10 14:50:06.600000+00:00;0.0;1;1;Client_1;G;fbQ1;G_1;'p''85''ae''L';L1;Analyst_8;['p', '85', 'ae', 'L'];Distance LESS 3;13.31;13.31;---;--;Closed;False;False;True;False;False;True;False;False;---;---;---;---
5;Estonia;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061916.2, 1587062137.6000001, 1587062261.2, 1587062375.8];2020-04-16 18:39:35.800000+00:00;0.0;1;1;Client_1;A;4rU1;A_1;'K''65''84''L';L1;Analyst_4;['K', '65', '84', 'L'];Distance LESS 3;8.38;8.38;---;--;Closed;False;False;True;False;True;False;False;False;---;---;---;---
6;Ethiopia;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261810.0, 1587262000.2, 1587262178.4];2020-04-19 02:09:38.400000+00:00;0.0;2;2;Client_2;L;4V1;L_1;'K''47''L';L1;Analyst_9;['K', '47', 'L'];Distance LESS 3;7.69;7.69;---;--;Closed;False;False;False;True;True;False;True;False;---;---;---;---
7;Hungary;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510896.8, 1587511017.3999999, 1587511144.6, 1587511421.1999998];2020-04-21 23:23:41.200000+00:00;0.0;1;1;Client_1;A;4rU1;A_1;'K''65''84''L';L1;Analyst_7;['K', '65', '84', 'L'];Distance LESS 3;9.97;9.97;---;--;Closed;False;False;True;False;True;False;False;False;---;---;---;---
8;Hong Kong;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666170.6, 1587666353.0, 1587666463.4];2020-04-23 18:27:43.400000+00:00;0.0;4;4;Client_1;D;fz1;D_3;'p''6f''L';L1;Analyst_7;['p', '6f', 'L'];Distance LESS 3;7.79;7.79;---;--;Closed;False;False;False;True;True;True;False;False;---;---;---;---
9;Czech Republic;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850881.2, 1587851035.4, 1587851117.0];2020-04-25 21:45:17+00:00;0.0;3;3;Client_2;C;49I;C_5;'K''36''v';L1;Analyst_5;['K', '36', 'v'];Distance LESS 3;5.5;5.5;---;--;Closed;False;False;False;False;False;False;True;False;---;---;---;---
