id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Guatemala;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980536.4, 1585980796.2, 1585981132.8, 1585981334.3999999];2020-04-04 06:22:14.400000+00:00;0.0;4;4;Client_1;I;fBA1;I_2;'p''78''5e''L';L1;Analyst_3;['p', '78', '5e', 'L'];Distance LESS 3;15.49;15.49;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
1;Azerbaijan;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040995.8, 1586041379.8, 1586041546.0];2020-04-04 23:05:46+00:00;0.0;2;2;Client_2;E;fO1;E_1;'p''22''L';L1;Analyst_1;['p', '22', 'L'];Distance LESS 3;11.65;11.65;---;--;Closed;False;False;True;True;True;True;True;True;46.36.199.161;506;179.26.148.99;62918
2;Sweden;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267401.6, 1586267500.0, 1586268012.4, 1586268093.4];2020-04-07 14:01:33.400000+00:00;0.0;2;2;Client_2;B;fQVI;B_3;'p''b9''99''v';L1;Analyst_6;['p', 'b9', '99', 'v'];Distance LESS 3;14.39;14.39;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
3;Costa Rica;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362316.6, 1586362504.3999999, 1586362586.6];2020-04-08 16:16:26.600000+00:00;0.0;1;1;Client_2;A;fbI;A_1;'p''4b''v';L1;Analyst_7;['p', '4b', 'v'];Distance LESS 3;6.91;6.91;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
4;Estonia;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529480.0, 1586529715.2, 1586529833.4, 1586529983.4, 1586530059.6000001];2020-04-10 14:47:39.600000+00:00;0.0;3;3;Client_1;C;4MHRI;C_6;'K''d9''b''50''v';L1;Analyst_4;['K', 'd9', 'b', '50', 'v'];Distance LESS 3;10.86;10.86;---;--;Closed;False;False;False;True;False;False;False;False;---;---;---;---
5;Guinea;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587062035.6, 1587062381.8, 1587062613.3999999];2020-04-16 18:43:33.400000+00:00;0.0;2;2;Client_2;E;fO1;E_1;'p''22''L';L1;Analyst_7;['p', '22', 'L'];Distance LESS 3;12.34;12.34;---;--;Closed;False;False;True;True;True;True;True;True;80.78.16.251;2636;41.78.111.146;53960
6;Tuvalu;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222189.6, 1587222353.3999999, 1587222511.1999998, 1587222575.9999998];2020-04-18 15:09:36+00:00;0.0;4;4;Client_1;D;4yVI;D_6;'K''3b''2a''v';L1;Analyst_6;['K', '3b', '2a', 'v'];Distance LESS 3;8.05;8.05;---;--;Closed;False;False;False;False;True;False;False;False;---;---;---;---
7;Mongolia;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261805.2, 1587262091.4, 1587262476.0, 1587262516.2];2020-04-19 02:15:16.200000+00:00;0.0;1;1;Client_1;J;faPI;J_1;'p''3e''b2''v';L1;Analyst_2;['p', '3e', 'b2', 'v'];Distance LESS 3;13.32;13.32;---;--;Closed;False;False;True;True;True;False;True;True;---;---;---;---
8;Turkey;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510965.2, 1587511202.8, 1587511337.8, 1587511795.6, 1587511937.1999998];2020-04-21 23:32:17.200000+00:00;0.0;1;1;Client_1;H;fCJ1;H_2;'p''5b''df''L';L1;Analyst_5;['p', 'af', '5b', 'df', 'L'];Distance LESS 3;18.57;18.57;---;--;Closed;False;False;True;True;True;True;True;False;---;---;---;---
9;Togo;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666039.2, 1587666246.2, 1587666305.6000001, 1587666395.6000001, 1587666450.8000002];2020-04-23 18:27:30.800000+00:00;0.0;3;3;Client_2;C;4MHRI;C_1;'K''c6''bb''29''v';L1;Analyst_1;['K', 'c6', 'bb', '29', 'v'];Distance LESS 3;7.58;7.58;---;--;Closed;False;False;False;True;False;False;False;False;---;---;---;---
