id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Thailand;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980469.8, 1585980806.3999999, 1585980961.8, 1585981027.8];2020-04-04 06:17:07.800000+00:00;0.0;2;2;Client_1;F;d8rS;F_1;'s''bd''cc''5';L1;Analyst_6;['s', 'bd', 'cc', '5'];Distance LESS 3;10.38;10.38;---;--;Closed;False;False;False;True;False;False;False;False;202.58.244.142;262;209.54.79.224;60917
1;Serbia;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586041067.8, 1586041121.8, 1586041281.3999999, 1586041513.6, 1586041767.3999999, 1586042042.1999998, 1586042180.7999997];2020-04-04 23:16:20.800000+00:00;0.0;2;2;Client_1;E;WenfBvP;E_1;'x''a0''c5''66''6c''30''9';L1;Analyst_8;['x', 'a0', 'c5', '66', '6c', '30', '9'];Distance LESS 3;22.23;22.23;---;--;Closed;False;False;True;False;False;True;False;True;94.100.59.246;14567;209.88.3.80;64098
2;Republic of Ireland;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267275.6, 1586267504.1999998, 1586267758.6, 1586268253.0, 1586268300.4, 1586268365.8000002];2020-04-07 14:06:05.800000+00:00;0.0;2;2;Client_1;L;dwe7bS;L_1;'s''ef''6a''8e''a8''5';L1;Analyst_3;['s', 'ef', '6a', '8e', 'a8', '5'];Distance LESS 3;18.93;18.93;---;--;Closed;False;False;False;False;True;False;True;False;---;---;---;---
3;Sao Tome and Principe;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362255.4, 1586362584.8000002, 1586362896.2000003, 1586363244.2000003, 1586363317.4000003];2020-04-08 16:28:37.400000+00:00;0.0;2;2;Client_1;B;d6RpS;B_6;'s''33''fc''7d''5';L1;Analyst_5;['s', '33', 'fc', '7d', '5'];Distance LESS 3;19.09;19.09;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
4;Monaco;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529554.4, 1586529642.0, 1586529910.2, 1586530641.0, 1586530752.0, 1586531188.8, 1586531484.0];2020-04-10 15:11:24+00:00;0.0;3;3;Client_2;C;W1YOumP;C_2;'x''58''9e''5b''91''fa''9';L1;Analyst_7;['x', '58', '9e', '5b', '91', 'fa', '9'];Distance LESS 3;34.6;34.6;---;--;Closed;False;False;False;False;False;True;True;False;---;---;---;---
5;Liechtenstein;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061982.8, 1587062152.6, 1587062413.6, 1587062686.6];2020-04-16 18:44:46.600000+00:00;0.0;1;1;Client_2;A;WB8P;A_1;'x''c6''92''9';L1;Analyst_1;['x', 'c6', '92', '9'];Distance LESS 3;13.56;13.56;---;--;Closed;False;False;False;False;False;True;True;False;---;---;---;---
6;Uruguay;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222400.8, 1587222570.6, 1587223026.6, 1587223080.0];2020-04-18 15:18:00+00:00;0.0;4;4;Client_2;D;WMAS;D_6;'x''cf''bb''5';L1;Analyst_7;['x', 'cf', 'bb', '5'];Distance LESS 3;16.45;16.45;---;--;Closed;False;False;False;False;False;False;False;True;---;---;---;---
7;Republic of Ireland;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261763.8, 1587262149.0, 1587262597.8, 1587262931.3999999, 1587262998.6];2020-04-19 02:23:18.600000+00:00;0.0;2;2;Client_1;F;d8rS;F_2;'s''fb''8c''5';L1;Analyst_6;['s', '8c', 'fb', '8c', '5'];Distance LESS 3;21.36;21.36;---;--;Closed;False;False;False;True;False;False;False;False;62.221.1.81;5188;123.176.78.106;59437
8;Malawi;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587511007.2, 1587511082.2, 1587511297.0];2020-04-21 23:21:37+00:00;0.0;1;1;Client_1;J;W3P;J_3;'x''5a''9';L1;Analyst_1;['x', '5a', '9'];Distance LESS 3;7.9;7.9;---;--;Closed;False;False;False;False;True;False;False;False;---;---;---;---
9;Singapore;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666128.6, 1587666292.3999999, 1587666481.9999998, 1587666732.7999997, 1587666923.5999997, 1587667273.9999998, 1587667419.1999998];2020-04-23 18:43:39.200000+00:00;0.0;2;2;Client_2;E;WenfBvP;E_5;'x''81''2b''56''1f''dd''9';L1;Analyst_8;['x', '81', '2b', '56', '1f', 'dd', '9'];Distance LESS 3;23.72;23.72;---;--;Closed;False;False;True;False;False;True;False;True;119.81.237.195;29704;27.123.190.41;65157
