id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Thailand;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980532.8, 1585980777.6, 1585980898.8, 1585981029.6];2020-04-04 06:17:09.600000+00:00;0.0;2;2;Client_1;F;Myvj;F_1;'2''16''d3''f';L1;Analyst_7;['2', '16', 'd3', 'f'];Distance LESS 3;10.41;10.41;---;--;Closed;False;False;True;True;False;False;False;True;103.23.246.142;262;199.246.253.252;60917
1;Serbia;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586041000.6, 1586041129.6, 1586041441.6, 1586041532.8];2020-04-04 23:05:32.800000+00:00;0.0;2;2;Client_1;E;MIGl;E_1;'2''59''27''u';L1;Analyst_6;['2', '59', '27', 'u'];Distance LESS 3;11.43;11.43;---;--;Closed;False;False;False;True;False;False;False;False;185.50.187.219;14567;179.61.186.168;64098
2;Ghana;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267369.26, 1586267556.04, 1586267745.46, 1586267932.24];2020-04-07 13:58:52.240000+00:00;0.0;2;2;Client_2;L;sWSl;L_1;'L''35''f9''u';L1;Analyst_2;['L', '35', 'f9', 'u'];Distance LESS 3;10.64;11.704;---;--;Closed;False;True;True;True;True;True;True;True;---;---;---;---
3;Sao Tome and Principe;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362359.8, 1586362558.3999999, 1586362690.9999998];2020-04-08 16:18:11+00:00;0.0;2;2;Client_1;B;s9j;B_6;'L''4c''f';L1;Analyst_6;['L', '4c', 'f'];Distance LESS 3;8.65;8.65;---;--;Closed;False;False;False;False;False;False;True;True;---;---;---;---
4;Norway;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529579.0, 1586529762.6, 1586529943.8, 1586530125.0, 1586530213.8];2020-04-10 14:50:13.800000+00:00;0.0;3;3;Client_2;C;sgyij;C_2;'L''d0''ff''4d''f';L1;Analyst_2;['L', 'd0', 'ff', '4d', 'f'];Distance LESS 3;13.43;13.43;---;--;Closed;False;False;True;True;False;True;False;True;---;---;---;---
5;Liechtenstein;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587062096.8, 1587062233.0, 1587062509.6, 1587062635.0];2020-04-16 18:43:55+00:00;0.0;1;1;Client_2;A;sXbj;A_1;'L''42''fc''f';L1;Analyst_5;['L', '42', 'fc', 'f'];Distance LESS 3;12.7;12.7;---;--;Closed;False;False;True;False;True;True;True;True;---;---;---;---
6;Uruguay;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222251.4, 1587222712.8000002, 1587223045.2000003, 1587223150.2000003];2020-04-18 15:19:10.200000+00:00;0.0;4;4;Client_2;D;sygl;D_6;'L''f6''7d''u';L1;Analyst_8;['L', 'f6', '7d', 'u'];Distance LESS 3;17.62;17.62;---;--;Closed;False;False;False;False;False;False;False;True;---;---;---;---
7;Mauritania;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261826.56, 1587262032.48, 1587262245.0, 1587262482.6, 1587262635.06];2020-04-19 02:17:15.060000+00:00;0.0;2;2;Client_1;F;Myvj;F_2;'2''7b''d3''f';L1;Analyst_7;['2', 'ed', '7b', 'd3', 'f'];Distance LESS 3;13.91;15.301;---;--;Closed;False;True;True;True;False;False;False;True;209.88.121.69;5188;208.136.102.205;59437
8;Malawi;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587511003.6, 1587511106.1999998, 1587511269.9999998];2020-04-21 23:21:10+00:00;0.0;1;1;Client_1;J;M5j;J_3;'2''b8''f';L1;Analyst_6;['2', 'b8', 'f'];Distance LESS 3;7.45;7.45;---;--;Closed;False;False;False;False;False;True;True;True;---;---;---;---
9;Singapore;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666153.8, 1587666374.6, 1587666747.8, 1587666870.2];2020-04-23 18:34:30.200000+00:00;0.0;2;2;Client_2;E;MIGl;E_5;'2''59''1''u';L1;Analyst_6;['2', '59', '1', 'u'];Distance LESS 3;14.57;14.57;---;--;Closed;False;False;False;True;False;False;False;False;203.166.135.212;29704;103.1.183.138;65157
