id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Thailand;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980533.4, 1585980865.2, 1585981102.8, 1585981300.2];2020-04-04 06:21:40.200000+00:00;0.0;2;2;Client_1;F;fMs1;F_1;'p''62''24''L';L1;Analyst_7;['p', '62', '24', 'L'];Distance LESS 3;14.92;14.92;---;--;Closed;False;False;False;False;False;False;False;False;27.100.44.116;262;142.70.203.254;60917
1;Serbia;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040997.0, 1586041129.0, 1586041205.2, 1586041345.0];2020-04-04 23:02:25+00:00;0.0;2;2;Client_1;E;fWo1;E_1;'p''39''c4''L';L1;Analyst_6;['p', '39', 'c4', 'L'];Distance LESS 3;8.3;8.3;---;--;Closed;False;False;True;False;True;False;False;False;178.239.226.31;14567;191.96.181.21;64098
2;Guatemala;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267277.52, 1586267524.36, 1586267587.06, 1586267856.34];2020-04-07 13:57:36.340000+00:00;0.0;2;2;Client_2;L;4oi1;L_1;'K''7f''89''L';L1;Analyst_8;['K', '7f', '89', 'L'];Distance LESS 3;9.49;10.439;---;--;Closed;False;True;False;False;False;False;False;False;---;---;---;---
3;Sao Tome and Principe;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362227.2, 1586362644.2, 1586362811.0, 1586362916.0];2020-04-08 16:21:56+00:00;0.0;2;2;Client_1;B;4q6I;B_6;'K''c4''f6''v';L1;Analyst_2;['K', 'c4', 'f6', 'v'];Distance LESS 3;12.4;12.4;---;--;Closed;False;False;True;False;True;True;False;False;---;---;---;---
4;Spain;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529476.4, 1586529742.2, 1586529942.0];2020-04-10 14:45:42+00:00;0.0;3;3;Client_2;C;4U1;C_2;'K''d1''L';L1;Analyst_3;['K', 'd1', 'L'];Distance LESS 3;8.9;8.9;---;--;Closed;False;False;True;False;False;True;True;False;---;---;---;---
5;Liechtenstein;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061984.6, 1587062246.1999998, 1587062732.7999997, 1587063160.5999997, 1587063245.1999996];2020-04-16 18:54:05.200000+00:00;0.0;1;1;Client_2;A;ftAqI;A_1;'p''b1''3b''d4''v';L1;Analyst_9;['p', 'b1', '3b', 'd4', 'v'];Distance LESS 3;22.87;22.87;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
6;Uruguay;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222275.4, 1587222386.4, 1587222564.6000001];2020-04-18 15:09:24.600000+00:00;0.0;4;4;Client_2;D;f51;D_6;'p''2c''L';L1;Analyst_3;['p', '2c', 'L'];Distance LESS 3;7.86;7.86;---;--;Closed;False;False;False;False;True;False;False;False;---;---;---;---
7;Eritrea;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261823.2, 1587261868.2, 1587262363.2, 1587262802.4, 1587263025.6000001];2020-04-19 02:23:45.600000+00:00;0.0;2;2;Client_1;F;fMs1;F_2;'p''13''24''L';L1;Analyst_7;['p', '13', '24', 'c8', 'L'];Distance LESS 3;21.81;21.81;---;--;Closed;False;False;False;False;False;False;False;False;104.167.253.69;5188;110.5.115.53;59437
8;Malawi;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587511000.0, 1587511345.0, 1587511393.0];2020-04-21 23:23:13+00:00;0.0;1;1;Client_1;J;fHI;J_3;'p''3c''v';L1;Analyst_2;['p', '3c', 'v'];Distance LESS 3;9.5;9.5;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
9;Singapore;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666069.8, 1587666218.0, 1587666344.6, 1587666454.3999999];2020-04-23 18:27:34.400000+00:00;0.0;2;2;Client_2;E;fWo1;E_5;'p''ff''c8''L';L1;Analyst_2;['p', 'ff', 'c8', 'L'];Distance LESS 3;7.64;7.64;---;--;Closed;False;False;True;False;True;False;False;False;119.81.244.31;29704;202.137.183.20;65157
