id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Mauritania;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980536.4, 1585980936.0, 1585981015.2];2020-04-04 06:16:55.200000+00:00;0.0;1;1;Client_1;H;W0r;H_2;'c''50''4';L1;Analyst_2;['c', '50', '4'];Distance LESS 3;10.17;10.17;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
1;Sweden;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040939.4, 1586041162.0, 1586041517.2, 1586041615.6000001];2020-04-04 23:06:55.600000+00:00;0.0;2;2;Client_2;E;AD5w;E_4;'i''ba''ab''Y';L1;Analyst_7;['i', 'ba', 'ab', 'Y'];Distance LESS 3;12.81;12.81;---;--;Closed;False;False;True;True;False;True;True;True;213.132.115.188;12952;81.16.233.232;55120
2;Pakistan;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267320.6, 1586267616.3999999, 1586267906.8, 1586267992.0, 1586268080.2, 1586268356.8, 1586268686.8, 1586268781.6];2020-04-07 14:13:01.600000+00:00;0.0;2;2;Client_2;B;Aem8ULlw;B_1;'i''29''9f''b0''b8''e9''91''Y';L1;Analyst_3;['i', '29', '9f', 'b0', 'b8', 'e9', '91', 'Y'];Distance LESS 3;25.86;25.86;---;--;Closed;False;False;True;True;False;False;False;False;---;---;---;---
3;Djibouti;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529621.6, 1586529792.6, 1586530034.3999999, 1586530396.1999998, 1586530462.7999997];2020-04-10 14:54:22.800000+00:00;0.0;1;1;Client_2;G;AnaXr;G_2;'i''9d''34''73''4';L1;Analyst_5;['i', '9d', '34', '73', '4'];Distance LESS 3;17.58;17.58;---;--;Closed;False;False;False;True;False;False;False;False;---;---;---;---
4;Honduras;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061994.8, 1587062104.0, 1587062368.6, 1587062437.0, 1587062516.8];2020-04-16 18:41:56.800000+00:00;0.0;1;1;Client_1;A;ATntr;A_1;'i''a8''2e''49''4';L1;Analyst_7;['i', 'a8', '2e', '49', '4'];Distance LESS 3;10.73;10.73;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
5;Costa Rica;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261805.2, 1587262020.0, 1587262362.0, 1587262442.4];2020-04-19 02:14:02.400000+00:00;0.0;2;2;Client_2;E;AD5w;E_4;'i''ba''ab''Y';L1;Analyst_9;['i', 'ba', 'ab', 'Y'];Distance LESS 3;12.09;12.09;---;--;Closed;False;False;True;True;False;True;True;True;190.113.43.169;8423;89.203.81.1;50253
6;Tunisia;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510946.0, 1587511407.4, 1587511449.4];2020-04-21 23:24:09.400000+00:00;0.0;1;1;Client_2;H;W0r;H_1;'c''50''4';L1;Analyst_7;['c', '50', '4'];Distance LESS 3;10.44;10.44;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
7;Iran;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666127.4, 1587666196.4, 1587666347.0, 1587666407.6, 1587666479.0];2020-04-23 18:27:59+00:00;0.0;1;1;Client_2;A;ATntr;A_1;'i''a8''2e''49''4';L1;Analyst_4;['i', 'a8', '2e', '49', '4'];Distance LESS 3;8.05;8.05;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
8;Taiwan;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850946.6, 1587851258.0, 1587851505.8, 1587851554.3999999, 1587851821.3999999, 1587852144.8, 1587852281.6];2020-04-25 22:04:41.600000+00:00;0.0;4;4;Client_1;D;WlIfoDw;D_2;'c''a9''ce''1b''6d''8''Y';L1;Analyst_4;['c', 'a9', 'ce', '1b', '6d', '8', 'Y'];Distance LESS 3;24.91;24.91;---;--;Closed;False;False;True;True;False;True;True;False;---;---;---;---
9;Kenya;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587968908.4, 1587969280.4, 1587969329.6000001];2020-04-27 06:35:29.600000+00:00;0.0;1;1;Client_1;H;W0r;H_1;'c''50''4';L1;Analyst_9;['c', '50', '4'];Distance LESS 3;9.11;9.11;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
10;Puerto Rico;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588064098.6, 1588064429.1999998, 1588064504.1999998];2020-04-28 09:01:44.200000+00:00;0.0;1;1;Client_2;H;W0r;H_3;'c''50''4';L1;Analyst_3;['c', '50', '4'];Distance LESS 3;9.37;9.37;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
11;Bhutan;2020-04-29 06:11:00+00:00;1588140660;2020-04-29 06:11:00+00:00;1588140660.0;[1588140660, 1588140783.42, 1588141218.3600001, 1588141422.3000002, 1588141587.3000002, 1588141776.0600002];2020-04-29 06:29:36.060000+00:00;0.0;1;1;Client_2;J;ApxTw;J_3;'i''79''c0''f3''Y';L1;Analyst_6;['i', '79', 'c0', 'f3', 'Y'];Distance LESS 3;16.91;18.601;---;--;Closed;False;True;False;False;False;False;False;False;---;---;---;---
12;Tuvalu;2020-05-03 00:21:32+00:00;1588465292;2020-05-03 00:21:32+00:00;1588465292.0;[1588465292, 1588465398.2, 1588465511.0, 1588465622.0, 1588466186.6, 1588466260.3999999];2020-05-03 00:37:40.400000+00:00;0.0;1;1;Client_2;J;ApxTw;J_1;'i''18''c0''41''Y';L1;Analyst_2;['i', '18', 'c0', '41', 'Y'];Distance LESS 3;16.14;16.14;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
