id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Thailand;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980468.6, 1585980713.3999999, 1585980834.6, 1585980965.3999999];2020-04-04 06:16:05.400000+00:00;0.0;2;2;Client_1;F;gtqG;F_1;'T''16''d3''E';L1;Analyst_5;['T', '16', 'd3', 'E'];Distance LESS 3;9.34;9.34;---;--;Closed;False;False;False;False;False;False;False;False;202.58.244.142;262;209.54.79.224;60917
1;Serbia;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040926.8, 1586041052.2, 1586041374.4, 1586041463.2];2020-04-04 23:04:23.200000+00:00;0.0;2;2;Client_1;E;gHCD;E_1;'T''59''27''u';L1;Analyst_4;['T', '59', '27', 'u'];Distance LESS 3;10.27;10.27;---;--;Closed;False;False;True;False;False;False;False;False;94.100.59.246;14567;209.88.3.80;64098
2;Republic of Ireland;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267358.4, 1586267527.0, 1586267698.6, 1586267864.1999998];2020-04-07 13:57:44.200000+00:00;0.0;2;2;Client_1;L;9UPD;L_1;'V''35''f9''u';L1;Analyst_7;['V', '35', 'f9', 'u'];Distance LESS 3;10.57;10.57;---;--;Closed;False;False;True;True;False;True;True;False;---;---;---;---
3;Sao Tome and Principe;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362363.4, 1586362566.8000002, 1586362701.8000002];2020-04-08 16:18:21.800000+00:00;0.0;2;2;Client_1;B;98G;B_6;'V''4c''E';L1;Analyst_4;['V', '4c', 'E'];Distance LESS 3;8.83;8.83;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
4;Monaco;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529577.8, 1586529760.2, 1586529940.2, 1586530116.0, 1586530205.4];2020-04-10 14:50:05.400000+00:00;0.0;3;3;Client_2;C;9ftiG;C_2;'V''d0''ff''4d''E';L1;Analyst_7;['V', 'd0', 'ff', '4d', 'E'];Distance LESS 3;13.29;13.29;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
5;Liechtenstein;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587062096.8, 1587062233.0, 1587062509.6, 1587062635.0];2020-04-16 18:43:55+00:00;0.0;1;1;Client_2;A;9WbG;A_1;'V''42''fc''E';L1;Analyst_2;['V', '42', 'fc', 'E'];Distance LESS 3;12.7;12.7;---;--;Closed;False;False;False;False;False;True;False;True;---;---;---;---
6;Uruguay;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222251.4, 1587222717.0, 1587223049.4, 1587223154.4];2020-04-18 15:19:14.400000+00:00;0.0;4;4;Client_2;D;9tfD;D_6;'V''f6''7d''u';L1;Analyst_8;['V', 'f6', '7d', 'u'];Distance LESS 3;17.69;17.69;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
7;Republic of Ireland;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261766.8, 1587261954.0, 1587262147.2, 1587262363.2, 1587262501.8];2020-04-19 02:15:01.800000+00:00;0.0;2;2;Client_1;F;gtqG;F_2;'T''7b''d3''E';L1;Analyst_5;['T', 'ed', '7b', 'd3', 'E'];Distance LESS 3;13.08;13.08;---;--;Closed;False;False;False;False;False;False;False;False;62.221.1.81;5188;123.176.78.106;59437
8;Malawi;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510917.8, 1587511019.2, 1587511191.4];2020-04-21 23:19:51.400000+00:00;0.0;1;1;Client_1;J;g4G;J_3;'T''b8''E';L1;Analyst_4;['T', 'b8', 'E'];Distance LESS 3;6.14;6.14;---;--;Closed;False;False;True;False;False;True;True;True;---;---;---;---
9;Singapore;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666078.8, 1587666306.8, 1587666926.0, 1587667050.2];2020-04-23 18:37:30.200000+00:00;0.0;2;2;Client_2;E;gHCD;E_5;'T''59''58''u';L1;Analyst_4;['T', '59', '58', 'u'];Distance LESS 3;17.57;17.57;---;--;Closed;False;False;True;False;False;False;False;False;119.81.237.195;29704;27.123.190.41;65157
