id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Lithuania;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980470.4, 1585980897.0, 1585981011.0, 1585981144.8];2020-04-04 06:19:04.800000+00:00;0.0;2;2;Client_1;L;qJea;L_1;'B''2''32''Q';L1;Analyst_4;['B', '2', '32', 'Q'];Distance LESS 3;12.33;12.33;---;--;Closed;False;False;True;True;False;True;True;True;---;---;---;---
1;Sri Lanka;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040922.6, 1586041226.1999998, 1586041688.1999998, 1586041827.3999999];2020-04-04 23:10:27.400000+00:00;0.0;2;2;Client_1;E;qzlw;E_4;'B''37''6''I';L1;Analyst_8;['B', '37', '6', 'I'];Distance LESS 3;16.34;16.34;---;--;Closed;False;False;True;True;False;True;False;True;203.34.116.98;134;217.74.238.177;54825
2;Haiti;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267273.2, 1586267554.0, 1586267725.6, 1586267890.6];2020-04-07 13:58:10.600000+00:00;0.0;2;2;Client_1;L;qJea;L_1;'B''2''32''Q';L1;Analyst_5;['B', '2', '32', 'Q'];Distance LESS 3;11.01;11.01;---;--;Closed;False;False;True;True;False;True;True;True;---;---;---;---
3;Honduras;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362251.8, 1586362384.3999999, 1586362684.3999999, 1586363195.6, 1586363374.3999999];2020-04-08 16:29:34.400000+00:00;0.0;1;1;Client_2;A;qATUw;A_1;'B''7c''b7''c8''I';L1;Analyst_8;['B', '7c', 'b7', 'c8', 'I'];Distance LESS 3;20.04;20.04;---;--;Closed;False;False;False;False;False;False;True;False;---;---;---;---
4;Cape Verde;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529481.8, 1586529999.6, 1586530067.3999999, 1586530175.3999999];2020-04-10 14:49:35.400000+00:00;0.0;1;1;Client_1;G;qeWa;G_2;'B''97''cd''Q';L1;Analyst_5;['B', '97', 'cd', 'Q'];Distance LESS 3;12.79;12.79;---;--;Closed;False;False;True;False;False;False;False;False;---;---;---;---
5;Guyana;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061951.6, 1587062287.6, 1587062349.3999999, 1587062476.6];2020-04-16 18:41:16.600000+00:00;0.0;1;1;Client_1;G;qeWa;G_2;'B''97''cd''Q';L1;Analyst_3;['B', '97', 'cd', 'Q'];Distance LESS 3;10.06;10.06;---;--;Closed;False;False;True;False;False;False;False;False;---;---;---;---
6;Republic of Ireland;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222133.8, 1587222290.3999999, 1587223036.1999998, 1587223391.9999998, 1587223551.5999997];2020-04-18 15:25:51.600000+00:00;0.0;4;4;Client_1;I;qXYdw;I_3;'B''f8''7a''d3''I';L1;Analyst_7;['B', 'f8', '7a', 'd3', 'I'];Distance LESS 3;24.31;24.31;---;--;Closed;False;False;True;True;True;True;True;False;---;---;---;---
7;Lesotho;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510890.2, 1587511025.8, 1587511618.6, 1587512059.0, 1587512238.4];2020-04-21 23:37:18.400000+00:00;0.0;1;1;Client_1;A;qATUw;A_1;'B''7c''b7''c8''I';L1;Analyst_8;['B', '7c', 'b7', 'c8', 'I'];Distance LESS 3;23.59;23.59;---;--;Closed;False;False;False;False;False;False;True;False;---;---;---;---
8;Sierra Leone;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666136.4, 1587666574.4, 1587666841.4];2020-04-23 18:34:01.400000+00:00;0.0;3;3;Client_2;C;C2w;C_7;'s''6d''I';L1;Analyst_3;['s', '6d', 'I'];Distance LESS 3;14.09;14.09;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
9;Peru;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850929.2, 1587851309.0, 1587851426.0, 1587851633.0];2020-04-25 21:53:53+00:00;0.0;4;4;Client_1;D;CEdw;D_4;'s''12''b9''I';L1;Analyst_3;['s', '12', 'b9', 'I'];Distance LESS 3;14.1;14.1;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
10;Lesotho;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587968943.8, 1587969240.2, 1587969895.4, 1587970047.2];2020-04-27 06:47:27.200000+00:00;0.0;2;2;Client_2;K;CJva;K_1;'s''b0''83''Q';L1;Analyst_9;['s', 'b0', '83', 'Q'];Distance LESS 3;21.07;21.07;---;--;Closed;False;False;False;False;True;False;True;False;80.78.26.105;16850;62.220.193.65;61847
11;Russia;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588063988.8, 1588064228.2, 1588064494.0, 1588064614.6];2020-04-28 09:03:34.600000+00:00;0.0;2;2;Client_1;L;qJea;L_1;'B''2''32''Q';L1;Analyst_6;['B', '2', '32', 'Q'];Distance LESS 3;11.21;11.21;---;--;Closed;False;False;True;True;False;True;True;True;---;---;---;---
