id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Sri Lanka;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980542.4, 1585980756.6000001, 1585981351.8000002, 1585981407.0000002, 1585982084.4000003, 1585982167.8000004];2020-04-04 06:36:07.800000+00:00;0.0;2;2;Client_1;F;WYGp0S;F_4;'x''37''7a''49''10''5';L1;Analyst_2;['x', '37', '7a', '49', '10', '5'];Distance LESS 3;29.38;29.38;---;--;Closed;False;False;True;True;True;True;True;True;218.100.61.130;467;213.215.38.42;62270
1;Ethiopia;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040892.0, 1586041179.4, 1586041222.0, 1586041441.6, 1586041493.8];2020-04-04 23:04:53.800000+00:00;0.0;3;3;Client_2;C;dgIES;C_4;'s''28''4c''f7''5';L1;Analyst_1;['s', '28', '4c', 'f7', '5'];Distance LESS 3;10.78;10.78;---;--;Closed;False;False;True;True;True;False;True;True;---;---;---;---
2;Brunei;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362342.4, 1586362443.2, 1586362731.8, 1586362995.8, 1586363522.0, 1586363579.6, 1586364080.6, 1586364293.0];2020-04-08 16:44:53+00:00;0.0;1;1;Client_2;G;W7YbaylP;G_2;'x''4d''30''87''81''ba''5d''9';L1;Analyst_1;['x', '4d', '30', '87', '81', 'ba', '5d', '9'];Distance LESS 3;35.35;35.35;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
3;Macedonia;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529510.6, 1586529675.0, 1586530043.4, 1586530357.8000002, 1586530402.8000002];2020-04-10 14:53:22.800000+00:00;0.0;3;3;Client_1;C;dgIES;C_7;'s''90''4e''bd''5';L1;Analyst_4;['s', '90', '4e', 'bd', '5'];Distance LESS 3;16.58;16.58;---;--;Closed;False;False;True;True;True;False;True;True;---;---;---;---
4;Ecuador;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587062085.4, 1587062239.0, 1587062726.2, 1587062912.8];2020-04-16 18:48:32.800000+00:00;0.0;2;2;Client_1;E;WNXP;E_4;'x''77''b0''9';L1;Analyst_8;['x', '77', 'b0', '9'];Distance LESS 3;17.33;17.33;---;--;Closed;False;False;False;False;False;False;False;False;200.12.169.142;45525;46.36.194.133;57083
5;Malawi;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222212.4, 1587222548.4, 1587222706.2, 1587223086.6000001, 1587223167.6000001];2020-04-18 15:19:27.600000+00:00;0.0;4;4;Client_1;D;W0RVS;D_6;'x''25''8a''3e''5';L1;Analyst_6;['x', '25', '8a', '3e', '5'];Distance LESS 3;17.91;17.91;---;--;Closed;False;False;False;False;False;False;True;False;---;---;---;---
6;Botswana;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261974.4, 1587262168.8000002, 1587262235.4, 1587262348.2, 1587263130.6000001, 1587263490.6000001, 1587263865.6000001, 1587263913.0000002];2020-04-19 02:38:33+00:00;0.0;1;1;Client_2;J;WegMzjJS;J_1;'x''f4''29''4a''a9''6''78''5';L1;Analyst_7;['x', 'f4', '29', '4a', 'a9', '6', '78', '5'];Distance LESS 3;36.6;36.6;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
7;Sri Lanka;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587511060.6, 1587511252.0, 1587511322.8, 1587511532.8, 1587511987.6, 1587512331.3999999, 1587512935.6, 1587512989.0];2020-04-21 23:49:49+00:00;0.0;1;1;Client_1;J;WegMzjJS;J_1;'x''f4''29''4a''a9''6''78''5';L1;Analyst_1;['x', 'f4', '29', '4a', 'a9', '6', '78', '5'];Distance LESS 3;36.1;36.1;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
8;Moldova;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666068.6, 1587666442.3999999, 1587666508.9999998];2020-04-23 18:28:29+00:00;0.0;1;1;Client_2;A;d3S;A_1;'s''e5''5';L1;Analyst_1;['s', 'e5', '5'];Distance LESS 3;8.55;8.55;---;--;Closed;False;False;False;False;False;True;False;False;---;---;---;---
9;Kyrgyzstan;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587851019.8, 1587851200.3999999, 1587851319.8, 1587851756.0, 1587851820.8];2020-04-25 21:57:00.800000+00:00;0.0;4;4;Client_1;D;W0RVS;D_5;'x''b1''a5''3e''5';L1;Analyst_1;['x', 'b1', 'a5', '3e', '5'];Distance LESS 3;17.23;17.23;---;--;Closed;False;False;False;False;False;False;True;False;---;---;---;---
