id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Thailand;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980660.6, 1585980792.0, 1585981022.4, 1585981107.6000001, 1585981261.8000002];2020-04-04 06:21:01.800000+00:00;0.0;2;2;Client_1;F;W0ZOz;F_1;'p''83''54''cf''o';L1;Analyst_8;['p', '83', '54', 'cf', 'o'];Distance LESS 3;14.28;14.28;---;--;Closed;False;False;False;False;False;False;False;True;103.48.206.58;262;205.207.170.127;60917
1;Hungary;2020-04-04 10:03:17+00:00;1585994597;2020-04-04 10:03:17+00:00;1585994597.0;[1585994597, 1585994849.78, 1585994999.6, 1585995227.9599998, 1585995362.6, 1585995501.1999998];2020-04-04 10:18:21.200000+00:00;0.0;2;2;Client_1;F;W0ZOz;F_1;'p''83''54''cf''o';L1;Analyst_1;['p', '83', '54', 'cf', 'o'];Distance LESS 3;13.7;15.07;---;--;Closed;False;True;False;False;False;False;False;True;81.94.255.108;14567;160.157.64.63;64098
2;Serbia;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040971.2, 1586041238.2, 1586041304.8];2020-04-04 23:01:44.800000+00:00;0.0;1;1;Client_1;J;SKP;J_1;'d''33''J';L1;Analyst_9;['d', '33', 'J'];Distance LESS 3;7.63;7.63;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
3;United Arab Emirates;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267390.2, 1586267599.6000001, 1586267742.4, 1586267939.2];2020-04-07 13:58:59.200000+00:00;0.0;1;1;Client_2;G;SBiz;G_1;'d''16''d3''o';L1;Analyst_2;['d', '16', 'd3', 'o'];Distance LESS 3;11.82;11.82;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
4;Sao Tome and Principe;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362322.6, 1586362708.3999999, 1586363145.8, 1586363237.0];2020-04-08 16:27:17+00:00;0.0;1;1;Client_1;A;WELP;A_1;'p''1''6a''J';L1;Analyst_4;['p', '1', '6a', 'J'];Distance LESS 3;17.75;17.75;---;--;Closed;False;False;False;False;False;False;False;True;---;---;---;---
5;Latvia;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529677.28, 1586529759.78, 1586529842.94, 1586530339.26, 1586530460.7, 1586531018.4, 1586531290.98, 1586531352.3600001];2020-04-10 15:09:12.360000+00:00;0.0;3;3;Client_1;C;WRljHeMP;C_1;'p''f8''97''a5''f8''22''b4''J';L1;Analyst_3;['p', 'f8', '97', 'a5', 'f8', '22', 'b4', 'J'];Distance LESS 3;29.46;32.406;---;--;Closed;False;True;False;False;False;False;False;False;---;---;---;---
6;Liechtenstein;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587062072.8, 1587062497.6, 1587062825.8, 1587062920.0];2020-04-16 18:48:40+00:00;0.0;1;1;Client_2;A;WELP;A_1;'p''1''6a''J';L1;Analyst_4;['p', '1', '6a', 'J'];Distance LESS 3;17.45;17.45;---;--;Closed;False;False;False;False;False;False;False;True;---;---;---;---
7;Uruguay;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222359.4, 1587222559.8000002, 1587222790.2000003, 1587223143.0000002, 1587223310.4000003];2020-04-18 15:21:50.400000+00:00;0.0;2;2;Client_2;F;W0ZOz;F_2;'p''b9''23''c0''o';L1;Analyst_2;['p', 'b9', '23', 'c0', 'o'];Distance LESS 3;20.29;20.29;---;--;Closed;False;False;False;False;False;False;False;True;104.143.214.69;5188;202.87.211.53;59437
8;Republic of Ireland;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261840.6, 1587262768.1999998, 1587263043.6, 1587263184.0, 1587263360.4];2020-04-19 02:29:20.400000+00:00;0.0;1;1;Client_1;H;SgN8z;H_3;'d''20''9f''df''o';L1;Analyst_8;['d', '20', '9f', 'df', 'o'];Distance LESS 3;27.39;27.39;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
9;Malawi;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510944.2, 1587511575.4, 1587511799.8000002, 1587511968.4, 1587512097.4];2020-04-21 23:34:57.400000+00:00;0.0;1;1;Client_1;H;SgN8z;H_3;'d''20''9f''df''o';L1;Analyst_4;['d', '20', '9f', 'df', 'o'];Distance LESS 3;21.24;21.24;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
