id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Myanmar;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980597.0, 1585981007.4, 1585981087.8000002, 1585981218.6000001];2020-04-04 06:20:18.600000+00:00;0.0;2;2;Client_2;F;Pcdz;F_4;'a''41''a5''l';L1;Analyst_4;['a', '41', 'a5', 'l'];Distance LESS 3;13.56;13.56;---;--;Closed;False;False;True;True;True;True;True;True;104.207.95.195;26701;144.120.133.104;52287
1;Sierra Leone;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586041068.4, 1586041285.0, 1586041444.6, 1586041831.0, 1586041881.4, 1586042046.4, 1586042138.8000002];2020-04-04 23:15:38.800000+00:00;0.0;1;1;Client_1;J;P3gs4Sb;J_2;'a''ff''1a''1c''44''c8''6';L1;Analyst_1;['a', 'ff', '1a', '1c', '44', 'c8', '6'];Distance LESS 3;21.53;21.53;---;--;Closed;False;False;True;True;True;False;True;False;---;---;---;---
2;Senegal;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362356.2, 1586362812.2, 1586362997.0, 1586363514.2, 1586363998.4, 1586364135.8000002, 1586364287.6000001];2020-04-08 16:44:47.600000+00:00;0.0;2;2;Client_2;B;eCZHBWz;B_1;'2''c9''97''46''74''a8''l';L1;Analyst_9;['2', 'c9', '97', '46', '74', 'a8', 'l'];Distance LESS 3;35.26;35.26;---;--;Closed;False;False;True;True;True;False;True;True;---;---;---;---
3;Uzbekistan;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529612.6, 1586529978.6, 1586530093.8];2020-04-10 14:48:13.800000+00:00;0.0;3;3;Client_2;C;euz;C_2;'2''81''l';L1;Analyst_2;['2', '81', 'l'];Distance LESS 3;11.43;11.43;---;--;Closed;False;False;False;True;True;True;True;False;---;---;---;---
4;Puerto Rico;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587062156.2, 1587062210.8, 1587062315.8];2020-04-16 18:38:35.800000+00:00;0.0;3;3;Client_2;C;euz;C_6;'2''65''l';L1;Analyst_7;['2', '65', 'l'];Distance LESS 3;7.38;7.38;---;--;Closed;False;False;False;True;True;True;True;False;---;---;---;---
5;Chile;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222217.8, 1587222292.8, 1587222503.3999999, 1587222649.8];2020-04-18 15:10:49.800000+00:00;0.0;4;4;Client_1;D;e8vb;D_1;'2''c6''6c''6';L1;Analyst_2;['2', 'c6', '6c', '6'];Distance LESS 3;9.28;9.28;---;--;Closed;False;False;False;True;True;True;True;True;---;---;---;---
6;Swaziland;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261910.2, 1587261984.0, 1587262170.0, 1587262328.4];2020-04-19 02:12:08.400000+00:00;0.0;4;4;Client_1;D;e8vb;D_3;'2''c6''6c''6';L1;Analyst_3;['2', 'c6', '6c', '6'];Distance LESS 3;10.19;10.19;---;--;Closed;False;False;False;True;True;True;True;True;---;---;---;---
7;Peru;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510978.4, 1587511316.2, 1587511558.0, 1587511910.8, 1587511969.0, 1587512183.8, 1587512363.8];2020-04-21 23:39:23.800000+00:00;0.0;1;1;Client_1;J;P3gs4Sb;J_2;'a''ff''1a''1c''44''c8''6';L1;Analyst_1;['a', 'ff', '1a', '1c', '44', 'c8', '6'];Distance LESS 3;25.68;25.68;---;--;Closed;False;False;True;True;True;False;True;False;---;---;---;---
8;Afghanistan;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666256.4, 1587666662.6000001, 1587667018.4, 1587667071.8000002, 1587667239.8000002];2020-04-23 18:40:39.800000+00:00;0.0;4;4;Client_1;D;e8vb;D_5;'2''ce''6c''6';L1;Analyst_9;['2', 'ce', '6c', 'c6', '6'];Distance LESS 3;20.73;20.73;---;--;Closed;False;False;False;True;True;True;True;True;---;---;---;---
9;Rwanda;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587851057.0, 1587851118.8, 1587851609.6, 1587851781.1999998];2020-04-25 21:56:21.200000+00:00;0.0;2;2;Client_1;E;ewBz;E_2;'2''28''5f''l';L1;Analyst_7;['2', '28', '5f', 'l'];Distance LESS 3;16.57;16.57;---;--;Closed;False;False;False;True;True;True;True;True;41.216.116.24;4765;146.3.36.12;55030
10;Japan;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587969029.0, 1587969193.4, 1587969401.0, 1587969548.0, 1587969830.6, 1587969987.8];2020-04-27 06:46:27.800000+00:00;0.0;1;1;Client_1;H;PxS19b;H_2;'a''70''8c''60''ba''6';L1;Analyst_4;['a', '70', '8c', '60', 'ba', '6'];Distance LESS 3;20.08;20.08;---;--;Closed;False;False;False;True;False;False;True;False;---;---;---;---
11;Lithuania;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588064129.8, 1588064770.0, 1588064996.2, 1588065409.0, 1588065725.8, 1588065856.6, 1588065951.3999999];2020-04-28 09:25:51.400000+00:00;0.0;2;2;Client_1;B;eCZHBWz;B_1;'2''c9''97''46''74''a8''l';L1;Analyst_2;['2', 'c9', '97', '46', '74', 'a8', 'l'];Distance LESS 3;33.49;33.49;---;--;Closed;False;False;True;True;True;False;True;True;---;---;---;---
12;Nepal;2020-04-29 06:11:00+00:00;1588140660;2020-04-29 06:11:00+00:00;1588140660.0;[1588140660, 1588140868.2, 1588140960.0, 1588141131.6, 1588141507.8, 1588141595.3999999, 1588141836.6, 1588141980.6];2020-04-29 06:33:00.600000+00:00;0.0;4;4;Client_2;I;eTRms7z;I_7;'2''35''b9''cc''c4''9b''l';L1;Analyst_5;['2', '35', 'b9', 'cc', 'c4', '9b', 'l'];Distance LESS 3;22.01;22.01;---;--;Closed;False;False;True;True;False;True;True;False;---;---;---;---
13;Netherlands;2020-05-04 03:27:57+00:00;1588562877;2020-05-04 03:27:57+00:00;1588562877.0;[1588562877, 1588563101.4, 1588563319.8000002, 1588563408.0000002, 1588563697.8000002, 1588563864.6000001, 1588564308.0000002, 1588564428.0000002];2020-05-04 03:53:48+00:00;0.0;1;1;Client_2;H;PxS19b;H_2;'a''70''8c''60''ba''6';L1;Analyst_4;['a', '70', 'be', '8c', '60', 'ba', '6'];Distance LESS 3;25.85;25.85;---;--;Closed;False;False;False;True;False;False;True;False;---;---;---;---
14;Netherlands;2020-05-05 20:45:12+00:00;1588711512;2020-05-05 20:45:12+00:00;1588711512.0;[1588711512, 1588711654.2, 1588711984.8, 1588712105.3999999, 1588712399.3999999, 1588712480.9999998, 1588712712.5999997, 1588712821.7999997];2020-05-05 21:07:01.800000+00:00;0.0;1;1;Client_2;J;P3gs4Sb;J_2;'a''ff''1a''1c''44''c8''6';L1;Analyst_7;['a', 'ff', '1a', '1c', '44', 'c8', '6'];Distance LESS 3;21.83;21.83;---;--;Closed;False;False;True;True;True;False;True;False;---;---;---;---
15;Niger;2020-05-08 20:45:19+00:00;1588970719;2020-05-08 20:45:19+00:00;1588970719.0;[1588970719, 1588970909.8, 1588971007.0, 1588971189.4, 1588971331.0, 1588971491.2];2020-05-08 20:58:11.200000+00:00;0.0;1;1;Client_1;A;Pshxz;A_1;'a''ae''90''fa''l';L1;Analyst_7;['a', 'ae', '90', 'fa', 'l'];Distance LESS 3;12.87;12.87;---;--;Closed;False;False;True;False;False;True;True;True;---;---;---;---
16;Nigeria;2020-05-12 22:55:08+00:00;1589324108;2020-05-12 22:55:08+00:00;1589324108.0;[1589324108, 1589324335.4, 1589324502.2, 1589324646.8, 1589325249.2, 1589325452.6000001, 1589325624.8000002, 1589325729.2000003];2020-05-12 23:22:09.200000+00:00;0.0;1;1;Client_2;J;P3gs4Sb;J_3;'a''a0''1a''d6''5e''21''6';L1;Analyst_9;['a', 'a0', '1a', 'd6', '5e', '21', '6'];Distance LESS 3;27.02;27.02;---;--;Closed;False;False;True;True;True;False;True;False;---;---;---;---
17;Seychelles;2020-05-15 23:51:20+00:00;1589586680;2020-05-16 00:00:00+00:00;1589587200.0;[1589587200.0, 1589587456.2, 1589587502.4, 1589588167.2, 1589588274.6000001];2020-05-16 00:17:54.600000+00:00;8.666666666666666;2;2;Client_1;E;ewBz;E_2;'2''28''5f''l';L1;Analyst_5;['2', '28', '5f', 'l'];Distance LESS 3;17.91;17.91;---;--;Closed;False;False;False;True;True;True;True;True;196.196.48.50;11512;196.216.163.61;57115
18;Mauritania;2020-05-20 20:12:19+00:00;1590005539;2020-05-20 20:12:19+00:00;1590005539.0;[1590005539, 1590005700.4, 1590005842.0, 1590006286.6, 1590006532.0, 1590006608.2];2020-05-20 20:30:08.200000+00:00;0.0;1;1;Client_1;G;PcVmb;G_2;'a''4d''cc''7d''6';L1;Analyst_9;['a', '4d', 'cc', '7d', '6'];Distance LESS 3;17.82;17.82;---;--;Closed;False;False;False;True;False;True;True;False;---;---;---;---
19;Algeria;2020-05-21 04:59:39+00:00;1590037179;2020-05-21 04:59:39+00:00;1590037179.0;[1590037179, 1590037428.6, 1590037763.3999999, 1590037998.6, 1590038253.6, 1590038327.3999999, 1590038638.8, 1590038770.8];2020-05-21 05:26:10.800000+00:00;0.0;1;1;Client_1;J;P3gs4Sb;J_2;'a''ff''1a''1c''44''c8''6';L1;Analyst_5;['a', 'ff', '1a', '1c', '44', 'c8', '6'];Distance LESS 3;26.53;26.53;---;--;Closed;False;False;True;True;True;False;True;False;---;---;---;---
20;Equatorial Guinea;2020-05-22 06:31:26+00:00;1590129086;2020-05-22 06:31:26+00:00;1590129086.0;[1590129086, 1590129349.4, 1590129452.6000001, 1590129534.8000002, 1590129739.4];2020-05-22 06:42:19.400000+00:00;0.0;2;2;Client_1;F;Pcdz;F_1;'a''7e''a5''l';L1;Analyst_3;['a', '7e', 'a5', 'l'];Distance LESS 3;10.89;10.89;---;--;Closed;False;False;True;True;True;True;True;True;197.214.66.244;21125;169.255.137.170;60011
21;Cameroon;2020-05-26 11:19:59+00:00;1590491999;2020-05-26 11:19:59+00:00;1590491999.0;[1590491999, 1590492137.6, 1590492278.6, 1590492720.1999998, 1590493083.7999997, 1590493255.3999996];2020-05-26 11:40:55.400000+00:00;0.0;1;1;Client_2;G;PcVmb;G_1;'a''9d''97''d1''6';L1;Analyst_8;['a', '9d', '97', 'd1', '6'];Distance LESS 3;20.94;20.94;---;--;Closed;False;False;False;True;False;True;True;False;---;---;---;---
22;Mongolia;2020-05-31 08:48:36+00:00;1590914916;2020-05-31 08:48:36+00:00;1590914916.0;[1590914916, 1590915184.8, 1590915469.2, 1590915624.0, 1590915889.8, 1590916287.6, 1590916566.0, 1590916734.6];2020-05-31 09:18:54.600000+00:00;0.0;4;4;Client_1;I;eTRms7z;I_5;'2''20''b9''5e''8b''4e''l';L1;Analyst_8;['2', '20', 'b9', '5e', '8b', '4e', 'l'];Distance LESS 3;30.31;30.31;---;--;Closed;False;False;True;True;False;True;True;False;---;---;---;---
23;Tanzania;2020-06-01 14:36:59+00:00;1591022219;2020-06-01 14:36:59+00:00;1591022219.0;[1591022219, 1591022420.0, 1591022737.4, 1591022971.4, 1591023097.4, 1591023343.4, 1591023456.8000002, 1591023574.4];2020-06-01 14:59:34.400000+00:00;0.0;2;2;Client_2;B;eCZHBWz;B_4;'2''b2''97''ed''ea''a8''l';L1;Analyst_2;['2', 'b2', '97', 'ed', 'ea', 'a8', 'l'];Distance LESS 3;22.59;22.59;---;--;Closed;False;False;True;True;True;False;True;True;---;---;---;---
24;Dominican Republic;2020-06-02 11:15:15+00:00;1591096515;2020-06-02 11:15:15+00:00;1591096515.0;[1591096515, 1591096733.4, 1591096867.2, 1591097162.4, 1591097650.8000002, 1591097754.0000002];2020-06-02 11:35:54+00:00;0.0;1;1;Client_1;G;PcVmb;G_1;'a''9d''97''d1''6';L1;Analyst_8;['a', '9d', '97', 'd1', '6'];Distance LESS 3;20.65;20.65;---;--;Closed;False;False;False;True;False;True;True;False;---;---;---;---
25;Dominican Republic;2020-06-02 19:09:34+00:00;1591124974;2020-06-02 19:09:34+00:00;1591124974.0;[1591124974, 1591125217.0, 1591125438.4, 1591125661.6000001, 1591126078.6000001, 1591126354.6000001, 1591126513.0000002, 1591126683.4000003, 1591126848.4000003];2020-06-02 19:40:48.400000+00:00;0.0;1;1;Client_2;J;P3gs4Sb;J_3;'a''a0''1a''d6''5e''21''6';L1;Analyst_9;['a', 'a0', '1a', 'd6', '5e', '35', '21', '6'];Distance LESS 3;31.24;31.24;---;--;Closed;False;False;True;True;True;False;True;False;---;---;---;---
26;India;2020-06-04 07:37:27+00:00;1591256247;2020-06-04 07:37:27+00:00;1591256247.0;[1591256247, 1591256362.8, 1591256477.3999999, 1591256696.9999998, 1591257081.5999997, 1591257245.9999998, 1591257396.5999997, 1591257488.3999996];2020-06-04 07:58:08.400000+00:00;0.0;4;4;Client_2;I;eTRms7z;I_7;'2''35''b9''cc''c4''9b''l';L1;Analyst_4;['2', '35', 'b9', 'cc', 'c4', '9b', 'l'];Distance LESS 3;20.69;20.69;---;--;Closed;False;False;True;True;False;True;True;False;---;---;---;---
