id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Guatemala;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980535.2, 1585980991.8, 1585981147.2];2020-04-04 06:19:07.200000+00:00;0.0;4;4;Client_1;I;vZA;I_4;'D''2d''4';L1;Analyst_2;['D', '2d', '4'];Distance LESS 3;12.37;12.37;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
1;Canada;2020-04-04 16:23:46+00:00;1586017426;2020-04-04 16:23:46+00:00;1586017426.0;[1586017426, 1586017518.4, 1586018155.3000002, 1586018586.9400003, 1586018632.4800003, 1586018802.1000001];2020-04-04 16:46:42.100000+00:00;0.0;3;3;Client_2;C;e1mdQ;C_4;'K''ec''96''4b''i';L1;Analyst_3;['K', 'ec', '96', '4b', 'i'];Distance LESS 3;20.85;22.935;---;--;Closed;False;True;True;False;False;False;False;False;---;---;---;---
2;Azerbaijan;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040925.6, 1586041171.6, 1586041251.3999999, 1586041435.6, 1586041649.8];2020-04-04 23:07:29.800000+00:00;0.0;2;2;Client_2;E;e0tCQ;E_1;'K''32''f9''38''i';L1;Analyst_5;['K', '32', 'f9', '38', 'i'];Distance LESS 3;13.38;13.38;---;--;Closed;False;False;True;True;True;True;True;True;185.83.126.223;681;46.36.194.122;55772
3;Zimbabwe;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267397.4, 1586267558.2, 1586267724.4, 1586267971.6000001, 1586268138.4];2020-04-07 14:02:18.400000+00:00;0.0;1;1;Client_1;G;vFCTQ;G_1;'D''71''4d''57''i';L1;Analyst_1;['D', '71', '4d', '57', 'i'];Distance LESS 3;15.14;15.14;---;--;Closed;False;False;False;False;True;True;False;True;---;---;---;---
4;Costa Rica;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362326.44, 1586362672.28, 1586362865.0];2020-04-08 16:21:05+00:00;0.0;1;1;Client_2;A;v1Q;A_1;'D''34''i';L1;Analyst_3;['D', '34', 'i'];Distance LESS 3;10.5;11.55;---;--;Closed;False;True;False;False;False;False;False;False;---;---;---;---
5;Guatemala;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529469.38, 1586529609.3000002, 1586530165.0200002, 1586530529.3400002, 1586530819.7400002];2020-04-10 15:00:19.740000+00:00;0.0;3;3;Client_1;C;e1mdQ;C_7;'K''d4''96''d9''i';L1;Analyst_8;['K', 'd4', '96', 'd9', 'i'];Distance LESS 3;21.39;23.529;---;--;Closed;False;True;True;False;False;False;False;False;---;---;---;---
6;Guinea;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061976.2, 1587062243.2, 1587062480.8];2020-04-16 18:41:20.800000+00:00;0.0;1;1;Client_2;A;v1Q;A_1;'D''34''i';L1;Analyst_9;['D', '34', 'i'];Distance LESS 3;10.13;10.13;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
7;Tuvalu;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222139.8, 1587222272.3999999, 1587222504.6, 1587222890.3999999, 1587223057.1999998, 1587223288.7999997];2020-04-18 15:21:28.800000+00:00;0.0;3;3;Client_1;C;e1mdQ;C_7;'K''d4''96''d9''i';L1;Analyst_1;['K', 'd4', '96', 'a6', 'd9', 'i'];Distance LESS 3;19.93;19.93;---;--;Closed;False;False;True;False;False;False;False;False;---;---;---;---
8;Mongolia;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261895.8, 1587262095.6, 1587262481.3999999, 1587262747.1999998, 1587262858.7999997];2020-04-19 02:20:58.800000+00:00;0.0;1;1;Client_1;H;vR3tA;H_3;'D''15''89''7''4';L1;Analyst_2;['D', '15', '89', '7', '4'];Distance LESS 3;19.03;19.03;---;--;Closed;False;False;False;False;False;True;True;False;---;---;---;---
9;Turkey;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510957.4, 1587511217.2, 1587511424.8];2020-04-21 23:23:44.800000+00:00;0.0;1;1;Client_1;J;vtQ;J_3;'D''67''i';L1;Analyst_5;['D', '67', 'i'];Distance LESS 3;10.03;10.03;---;--;Closed;False;False;False;True;False;False;False;False;---;---;---;---
10;Togo;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666082.4, 1587666597.2, 1587666846.2, 1587667133.6000001, 1587667271.6000001];2020-04-23 18:41:11.600000+00:00;0.0;3;3;Client_2;C;e1mdQ;C_5;'K''ec''99''d9''i';L1;Analyst_3;['K', 'ec', '99', 'd9', 'i'];Distance LESS 3;21.26;21.26;---;--;Closed;False;False;True;False;False;False;False;False;---;---;---;---
11;Hong Kong;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850846.4, 1587851249.6000001, 1587851378.6000001, 1587851718.8000002, 1587851952.2000003];2020-04-25 21:59:12.200000+00:00;0.0;2;2;Client_2;E;e0tCQ;E_1;'K''32''f9''38''i';L1;Analyst_9;['K', '32', 'f9', '38', 'i'];Distance LESS 3;19.42;19.42;---;--;Closed;False;False;True;True;True;True;True;True;203.88.88.7;735;31.6.64.131;53024
12;Djibouti;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587968885.0, 1587969170.6, 1587969368.0, 1587969591.8, 1587969765.2];2020-04-27 06:42:45.200000+00:00;0.0;1;1;Client_2;H;vR3tA;H_2;'D''52''89''7''4';L1;Analyst_4;['D', '52', '89', '7', '4'];Distance LESS 3;16.37;16.37;---;--;Closed;False;False;False;False;False;True;True;False;---;---;---;---
13;Kazakhstan;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588064032.0, 1588064188.0, 1588064431.6, 1588064634.3999999, 1588064839.6];2020-04-28 09:07:19.600000+00:00;0.0;1;1;Client_1;G;vFCTQ;G_1;'D''71''4d''57''i';L1;Analyst_8;['D', '71', '4d', '57', 'i'];Distance LESS 3;14.96;14.96;---;--;Closed;False;False;False;False;True;True;False;True;---;---;---;---
14;Republic of the Congo;2020-04-29 06:11:00+00:00;1588140660;2020-04-29 06:11:00+00:00;1588140660.0;[1588140660, 1588140753.0, 1588140986.4, 1588141428.0, 1588141533.0];2020-04-29 06:25:33+00:00;0.0;1;1;Client_1;J;vtQ;J_2;'D''67''i';L1;Analyst_2;['D', '67', '1f', 'i'];Distance LESS 3;14.55;14.55;---;--;Closed;False;False;False;True;False;False;False;False;---;---;---;---
15;France;2020-05-03 00:21:32+00:00;1588465292;2020-05-03 00:21:32+00:00;1588465292.0;[1588465292, 1588465478.6, 1588465829.6, 1588466136.1999998, 1588466280.1999998, 1588466413.9999998];2020-05-03 00:40:14+00:00;0.0;1;1;Client_2;H;vR3tA;H_3;'D''15''89''7''4';L1;Analyst_7;['D', '15', '89', '7', '4'];Distance LESS 3;18.7;18.7;---;--;Closed;False;False;False;False;False;True;True;False;---;---;---;---
