id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Mauritania;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980471.0, 1585980820.2, 1585981152.6000001, 1585981355.4];2020-04-04 06:22:35.400000+00:00;0.0;2;2;Client_2;F;Hln3;F_1;'I''a0''71''u';L1;Analyst_7;['I', 'a0', '71', 'u'];Distance LESS 3;15.84;15.84;---;--;Closed;False;False;True;True;True;True;True;False;193.251.145.157;413;193.43.129.205;55020
1;United States;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040926.8, 1586041094.2, 1586041495.6000001, 1586041629.4];2020-04-04 23:07:09.400000+00:00;0.0;2;2;Client_1;E;Hd6A;E_1;'I''85''65''T';L1;Analyst_6;['I', '85', '65', 'T'];Distance LESS 3;13.04;13.04;---;--;Closed;False;False;True;False;False;True;False;False;198.144.105.113;24955;80.78.17.78;51613
2;Philippines;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362256.0, 1586362370.6, 1586362482.1999998, 1586362527.1999998, 1586362753.9999998];2020-04-08 16:19:14+00:00;0.0;1;1;Client_1;G;kJ2N3;G_1;'Y''4a''9a''0''u';L1;Analyst_8;['Y', '4a', '9a', '0', 'u'];Distance LESS 3;9.7;9.7;---;--;Closed;False;False;False;False;True;True;True;True;---;---;---;---
3;Zimbabwe;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529492.0, 1586529733.2, 1586529899.4, 1586529981.6000001, 1586530148.4];2020-04-10 14:49:08.400000+00:00;0.0;1;1;Client_2;G;kJ2N3;G_1;'Y''4a''9a''0''u';L1;Analyst_5;['Y', '4a', '9a', '0', 'u'];Distance LESS 3;12.34;12.34;---;--;Closed;False;False;False;False;True;True;True;True;---;---;---;---
4;Iraq;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061931.2, 1587062041.6000001, 1587062897.8000002, 1587063116.2000003];2020-04-16 18:51:56.200000+00:00;0.0;1;1;Client_1;A;HoOA;A_1;'I''bf''3c''T';L1;Analyst_6;['I', 'bf', '3c', 'T'];Distance LESS 3;20.72;20.72;---;--;Closed;False;False;True;False;False;False;True;True;---;---;---;---
5;Mozambique;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222150.42, 1587222247.44, 1587222562.92];2020-04-18 15:09:22.920000+00:00;0.0;3;3;Client_2;C;kvOA;C_3;'Y''1''51''T';L1;Analyst_9;['Y', '1', 'y'];Last step removed due to ESCALATION Status;7.12;7.832;---;--;Transfer;True;True;True;False;True;True;True;True;---;---;---;---
6;Peru;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261782.4, 1587261993.0, 1587262129.2, 1587262351.2];2020-04-19 02:12:31.200000+00:00;0.0;1;1;Client_2;H;k5K3;H_1;'Y''32''b9''u';L1;Analyst_7;['Y', '32', 'b9', 'u'];Distance LESS 3;10.57;10.57;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
7;Greece;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510877.0, 1587511020.4, 1587511106.2, 1587511232.2];2020-04-21 23:20:32.200000+00:00;0.0;1;1;Client_1;J;kKA;J_3;'Y''b''T';L1;Analyst_6;['Y', 'b', 'b', 'T'];Distance LESS 3;6.82;6.82;---;--;Closed;False;False;False;True;False;True;False;True;---;---;---;---
8;North Korea;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666038.6, 1587666217.3999999, 1587667080.8, 1587667295.6];2020-04-23 18:41:35.600000+00:00;0.0;1;1;Client_1;A;HoOA;A_1;'I''bf''3c''T';L1;Analyst_8;['I', 'bf', '3c', 'T'];Distance LESS 3;21.66;21.66;---;--;Closed;False;False;True;False;False;False;True;True;---;---;---;---
9;Nepal;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850863.8, 1587850999.3999999, 1587851722.9999998, 1587851976.7999997, 1587852188.5999997];2020-04-25 22:03:08.600000+00:00;0.0;4;4;Client_2;D;Hc0E3;D_5;'I''16''9f''b7''u';L1;Analyst_3;['I', '16', '9f', 'b7', 'u'];Distance LESS 3;23.36;23.36;---;--;Closed;False;False;True;False;False;False;True;True;---;---;---;---
10;Belize;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587968885.0, 1587968994.8, 1587969147.8, 1587969472.3999999, 1587969612.8];2020-04-27 06:40:12.800000+00:00;0.0;2;2;Client_1;L;kzL9A;L_1;'Y''8e''de''93''T';L1;Analyst_1;['Y', '8e', 'de', '93', 'T'];Distance LESS 3;13.83;13.83;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
11;France;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588064026.6, 1588064497.0, 1588064669.2, 1588064819.8];2020-04-28 09:06:59.800000+00:00;0.0;2;2;Client_1;K;kv7A;K_1;'Y''dc''6c''T';L1;Analyst_9;['Y', 'dc', '6c', 'T'];Distance LESS 3;14.63;14.63;---;--;Closed;False;False;False;False;True;False;False;True;5.39.127.247;30038;198.144.105.100;52089
12;Kazakhstan;2020-04-29 06:11:00+00:00;1588140660;2020-04-29 06:11:00+00:00;1588140660.0;[1588140660, 1588140714.6, 1588140961.1999998, 1588141095.6, 1588141360.8];2020-04-29 06:22:40.800000+00:00;0.0;2;2;Client_2;K;kv7A;K_1;'Y''dc''6c''T';L1;Analyst_2;['Y', 'dc', '6c', 'T'];Distance LESS 3;11.68;11.68;---;--;Closed;False;False;False;False;True;False;False;True;217.76.74.98;3979;197.157.113.102;51610
13;Togo;2020-05-03 00:21:32+00:00;1588465292;2020-05-03 00:21:32+00:00;1588465292.0;[1588465292, 1588465365.8, 1588465529.6, 1588465787.0];2020-05-03 00:29:47+00:00;0.0;1;1;Client_2;J;kKA;J_1;'Y''b''T';L1;Analyst_1;['Y', 'b', 'T'];Distance LESS 3;8.25;8.25;---;--;Closed;False;False;False;True;False;True;False;True;---;---;---;---
14;Trinidad and Tobago;2020-05-04 03:27:57+00:00;1588562877;2020-05-04 03:27:57+00:00;1588562877.0;[1588562877, 1588562956.8, 1588563131.3999999, 1588563454.8, 1588563637.2, 1588563864.0];2020-05-04 03:44:24+00:00;0.0;2;2;Client_1;L;kzL9A;L_1;'Y''8e''de''93''T';L1;Analyst_2;['Y', '8e', 'de', '93', 'T'];Distance LESS 3;16.45;16.45;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
15;Zambia;2020-05-05 20:45:12+00:00;1588711512;2020-05-05 20:45:12+00:00;1588711512.0;[1588711512, 1588711596.6, 1588711741.8, 1588711912.2];2020-05-05 20:51:52.200000+00:00;0.0;1;1;Client_1;J;kKA;J_3;'Y''b''T';L1;Analyst_8;['Y', 'b', 'T'];Distance LESS 3;6.67;6.67;---;--;Closed;False;False;False;True;False;True;False;True;---;---;---;---
16;Dominica;2020-05-08 20:45:19+00:00;1588970719;2020-05-08 20:45:19+00:00;1588970719.0;[1588970719, 1588970797.6, 1588970947.0, 1588971484.6, 1588971747.3999999, 1588971905.1999998];2020-05-08 21:05:05.200000+00:00;0.0;3;3;Client_1;C;kvOA;C_3;'Y''1''51''T';L1;Analyst_3;['Y', '1', '51', 'af', 'T'];Distance LESS 3;19.77;19.77;---;--;Closed;False;False;True;False;True;True;True;True;---;---;---;---
17;Hungary;2020-05-12 22:55:08+00:00;1589324108;2020-05-12 22:55:08+00:00;1589324108.0;[1589324108, 1589324175.2, 1589324312.0, 1589324979.8, 1589325179.6];2020-05-12 23:12:59.600000+00:00;0.0;1;1;Client_1;A;HoOA;A_1;'I''bf''3c''T';L1;Analyst_3;['I', 'bf', '3c', 'T'];Distance LESS 3;17.86;17.86;---;--;Closed;False;False;True;False;False;False;True;True;---;---;---;---
18;Mexico;2020-05-15 23:51:20+00:00;1589586680;2020-05-15 23:51:20+00:00;1589586680.0;[1589586680, 1589586740.0, 1589586863.6, 1589586984.8, 1589587127.0];2020-05-15 23:58:47+00:00;0.0;2;2;Client_1;E;Hd6A;E_5;'I''41''fc''T';L1;Analyst_3;['I', '41', 'fc', 'T'];Distance LESS 3;7.45;7.45;---;--;Closed;False;False;True;False;False;True;False;False;200.23.21.214;385;91.232.234.15;55105
19;Kenya;2020-05-20 20:12:19+00:00;1590005539;2020-05-20 20:12:19+00:00;1590005539.0;[1590005539, 1590005596.0, 1590005665.0, 1590005944.0, 1590006151.0, 1590006384.4, 1590006635.2];2020-05-20 20:30:35.200000+00:00;0.0;4;4;Client_2;D;Hc0E3;D_6;'I''dc''9f''b7''u';L1;Analyst_3;['I', 'dc', '9f', '4e', 'b7', 'u'];Distance LESS 3;18.27;18.27;---;--;Closed;False;False;True;False;False;False;True;True;---;---;---;---
20;Spain;2020-05-21 04:59:39+00:00;1590037179;2020-05-21 04:59:39+00:00;1590037179.0;[1590037179, 1590037251.0, 1590037426.8, 1590037827.0, 1590038115.0];2020-05-21 05:15:15+00:00;0.0;2;2;Client_2;E;Hd6A;E_3;'I''85''65''T';L1;Analyst_7;['I', '85', '65', 'T'];Distance LESS 3;15.6;15.6;---;--;Closed;False;False;True;False;False;True;False;False;178.33.196.231;935;195.60.87.235;63815
21;Sao Tome and Principe;2020-05-22 06:31:26+00:00;1590129086;2020-05-22 06:31:26+00:00;1590129086.0;[1590129086, 1590129139.4, 1590129288.2, 1590129767.0, 1590130080.2];2020-05-22 06:48:00.200000+00:00;0.0;2;2;Client_2;F;Hln3;F_2;'I''a0''8a''u';L1;Analyst_2;['I', 'a0', '8a', 'u'];Distance LESS 3;16.57;16.57;---;--;Closed;False;False;True;True;True;True;True;False;46.36.203.73;33610;91.240.217.118;56832
22;Luxembourg;2020-05-26 11:19:59+00:00;1590491999;2020-05-26 11:19:59+00:00;1590491999.0;[1590491999, 1590492066.2, 1590492134.6000001, 1590492462.8000002, 1590492635.0000002, 1590492871.4000003];2020-05-26 11:34:31.400000+00:00;0.0;2;2;Client_1;L;kzL9A;L_1;'Y''8e''de''93''T';L1;Analyst_9;['Y', '8e', 'de', '93', 'T'];Distance LESS 3;14.54;14.54;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
23;Singapore;2020-05-31 08:48:36+00:00;1590914916;2020-05-31 08:48:36+00:00;1590914916.0;[1590914916, 1590914972.4, 1590915057.0, 1590915588.6, 1590915837.6];2020-05-31 09:03:57.600000+00:00;0.0;2;2;Client_1;F;Hln3;F_3;'I''2e''85''u';L1;Analyst_4;['I', '2e', '85', 'u'];Distance LESS 3;15.36;15.36;---;--;Closed;False;False;True;True;True;True;True;False;202.21.205.152;42779;80.78.17.138;56087
24;Argentina;2020-06-01 14:36:59+00:00;1591022219;2020-06-01 14:36:59+00:00;1591022219.0;[1591022219, 1591022262.8, 1591022676.8, 1591022810.6];2020-06-01 14:46:50.600000+00:00;0.0;2;2;Client_1;B;kmA;B_5;'Y''d5''T';L1;Analyst_9;['Y', 'd5', 'T'];Distance LESS 3;9.86;9.86;---;--;Closed;False;False;True;True;False;True;False;True;---;---;---;---
25;Turkmenistan;2020-06-02 11:15:15+00:00;1591096515;2020-06-02 11:15:15+00:00;1591096515.0;[1591096515, 1591096600.2, 1591097085.0, 1591097352.0];2020-06-02 11:29:12+00:00;0.0;2;2;Client_1;B;kmA;B_1;'Y''d5''T';L1;Analyst_5;['Y', 'd5', 'T'];Distance LESS 3;13.95;13.95;---;--;Closed;False;False;True;True;False;True;False;True;---;---;---;---
26;Afghanistan;2020-06-02 19:09:34+00:00;1591124974;2020-06-02 19:09:34+00:00;1591124974.0;[1591124974, 1591125020.2, 1591125139.6000001, 1591125258.4, 1591125406.6000001];2020-06-02 19:16:46.600000+00:00;0.0;1;1;Client_2;J;kKA;J_3;'Y''b''T';L1;Analyst_6;['Y', 'b', 'b', 'T'];Distance LESS 3;7.21;7.21;---;--;Closed;False;False;False;True;False;True;False;True;---;---;---;---
27;Colombia;2020-06-04 07:37:27+00:00;1591256247;2020-06-04 07:37:27+00:00;1591256247.0;[1591256247, 1591256290.8, 1591256541.6, 1591257023.3999999, 1591257203.9999998, 1591257475.1999998];2020-06-04 07:57:55.200000+00:00;0.0;4;4;Client_1;I;HR1D3;I_3;'I''bd''8d''1a''u';L1;Analyst_1;['I', 'bd', '8d', '1a', 'u'];Distance LESS 3;20.47;20.47;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
28;Lesotho;2020-06-07 11:55:03+00:00;1591530903;2020-06-07 11:55:03+00:00;1591530903.0;[1591530903, 1591530945.6, 1591531056.0, 1591531389.0, 1591531713.0];2020-06-07 12:08:33+00:00;0.0;2;2;Client_2;L;kzL9A;L_1;'Y''8e''de''93''T';L1;Analyst_4;['Y', '8e', 'de', 'y'];Last step removed due to ESCALATION Status;13.5;13.5;---;--;Transfer;True;False;True;True;True;True;True;True;---;---;---;---
29;Brazil;2020-06-07 14:35:58+00:00;1591540558;2020-06-07 14:35:58+00:00;1591540558.0;[1591540558, 1591540625.8, 1591540696.6, 1591541287.6, 1591541424.3999999];2020-06-07 14:50:24.400000+00:00;0.0;2;2;Client_2;F;Hln3;F_3;'I''2e''85''u';L1;Analyst_5;['I', '2e', '85', 'u'];Distance LESS 3;14.44;14.44;---;--;Closed;False;False;True;True;True;True;True;False;200.97.174.123;20285;41.218.118.15;59004
30;Saudi Arabia;2020-06-07 16:40:32+00:00;1591548032;2020-06-07 16:40:32+00:00;1591548032.0;[1591548032, 1591548089.0, 1591548207.8, 1591548805.3999999, 1591549050.1999998, 1591549256.6];2020-06-07 17:00:56.600000+00:00;0.0;4;4;Client_1;D;Hc0E3;D_5;'I''16''9f''b7''u';L1;Analyst_6;['I', '16', '9f', 'b7', 'u'];Distance LESS 3;20.41;20.41;---;--;Closed;False;False;True;False;False;False;True;True;---;---;---;---
