id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Haiti;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980599.4, 1585980768.6000001, 1585981000.2, 1585981132.8];2020-04-04 06:18:52.800000+00:00;0.0;2;2;Client_1;F;cQ0I;F_4;'C''9''10''W';L1;Analyst_7;['C', '9', '10', 'W'];Distance LESS 3;12.13;12.13;---;--;Closed;False;False;False;False;True;False;True;False;208.168.215.55;968;5.135.208.143;56678
1;Puerto Rico;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040923.2, 1586041053.4, 1586041285.0, 1586041377.4];2020-04-04 23:02:57.400000+00:00;0.0;2;2;Client_2;E;E0wI;E_2;'B''38''ad''W';L1;Analyst_2;['B', '38', 'ad', 'W'];Distance LESS 3;8.84;8.84;---;--;Closed;False;False;True;True;True;True;True;False;67.230.89.17;8335;104.224.8.76;62811
2;Turkey;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267359.0, 1586267696.2, 1586267867.8, 1586268113.8];2020-04-07 14:01:53.800000+00:00;0.0;1;1;Client_2;A;cMqN;A_1;'C''8f''b6''8';L1;Analyst_5;['C', '8f', 'b6', '8'];Distance LESS 3;14.73;14.73;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
3;Colombia;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529463.2, 1586530290.0, 1586530512.0, 1586530720.2];2020-04-10 14:58:40.200000+00:00;0.0;1;1;Client_1;G;EUjI;G_1;'B''23''b2''W';L1;Analyst_3;['B', '23', 'b2', 'W'];Distance LESS 3;21.87;21.87;---;--;Closed;False;False;False;True;False;False;False;False;---;---;---;---
4;Estonia;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587062139.4, 1587062481.4, 1587062636.2, 1587062876.2];2020-04-16 18:47:56.200000+00:00;0.0;1;1;Client_1;A;cMqN;A_1;'C''8f''b6''8';L1;Analyst_2;['C', '8f', 'b6', '8'];Distance LESS 3;16.72;16.72;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
5;Ethiopia;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261948.0, 1587262128.0, 1587262509.6, 1587262701.0];2020-04-19 02:18:21+00:00;0.0;2;2;Client_2;L;cjeN;L_1;'C''73''e4''8';L1;Analyst_6;['C', '73', 'e4', '8'];Distance LESS 3;16.4;16.4;---;--;Closed;False;False;False;False;True;True;True;True;---;---;---;---
6;Hungary;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510940.6, 1587511276.0, 1587511479.4, 1587511676.2];2020-04-21 23:27:56.200000+00:00;0.0;1;1;Client_1;A;cMqN;A_1;'C''8f''b6''8';L1;Analyst_2;['C', '8f', 'b6', '8'];Distance LESS 3;14.22;14.22;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
7;Hong Kong;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666082.4, 1587666197.0, 1587666402.8, 1587666543.2];2020-04-23 18:29:03.200000+00:00;0.0;4;4;Client_1;D;EVhI;D_3;'B''9d''24''W';L1;Analyst_4;['B', '9d', '24', 'W'];Distance LESS 3;9.12;9.12;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
8;Czech Republic;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850871.0, 1587851015.6, 1587851306.6, 1587851500.3999999];2020-04-25 21:51:40.400000+00:00;0.0;3;3;Client_2;C;EdpN;C_5;'B''dd''65''8';L1;Analyst_4;['B', 'dd', '65', '8'];Distance LESS 3;11.89;11.89;---;--;Closed;False;False;False;False;True;False;False;False;---;---;---;---
9;Poland;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587969031.4, 1587969239.0, 1587969497.0];2020-04-27 06:38:17+00:00;0.0;2;2;Client_1;K;cHN;K_2;'C''73''8';L1;Analyst_9;['C', '73', '8'];Distance LESS 3;11.9;11.9;---;--;Closed;False;False;True;True;True;False;True;True;193.143.77.134;27058;104.224.24.103;55117
10;Haiti;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588064026.6, 1588064356.0, 1588064674.6, 1588064823.3999999];2020-04-28 09:07:03.400000+00:00;0.0;1;1;Client_2;G;EUjI;G_1;'B''23''b2''W';L1;Analyst_3;['B', '23', 'b2', 'W'];Distance LESS 3;14.69;14.69;---;--;Closed;False;False;False;True;False;False;False;False;---;---;---;---
11;Sierra Leone;2020-04-29 06:11:00+00:00;1588140660;2020-04-29 06:11:00+00:00;1588140660.0;[1588140660, 1588140721.2, 1588141293.0, 1588141583.4, 1588141747.2];2020-04-29 06:29:07.200000+00:00;0.0;1;1;Client_2;G;EUjI;G_1;'B''23''b2''W';L1;Analyst_9;['B', '23', 'b2', 'W'];Distance LESS 3;18.12;18.12;---;--;Closed;False;False;False;True;False;False;False;False;---;---;---;---
12;Serbia;2020-05-03 00:21:32+00:00;1588465292;2020-05-03 00:21:32+00:00;1588465292.0;[1588465292, 1588465438.4, 1588465515.8000002, 1588465865.0000002, 1588465926.8000002, 1588466093.0000002];2020-05-03 00:34:53+00:00;0.0;2;2;Client_2;K;cHN;K_1;'C''aa''8';L1;Analyst_9;['C', '84', 'aa', '84', '8'];Distance LESS 3;13.35;13.35;---;--;Closed;False;False;True;True;True;False;True;True;185.1.27.140;11072;185.75.81.188;63885
13;Comoros;2020-05-04 04:50:57+00:00;1588567857;2020-05-04 04:50:57+00:00;1588567857.0;[1588567857, 1588568010.0, 1588568242.2, 1588568522.4];2020-05-04 05:02:02.400000+00:00;0.0;2;2;Client_2;K;cHN;K_1;'C''aa''8';L1;Analyst_6;['C', 'aa', '8'];Distance LESS 3;11.09;11.09;---;--;Closed;False;False;True;True;True;False;True;True;41.194.33.27;711;89.33.2.164;52963
14;Ethiopia;2020-05-05 20:45:12+00:00;1588711512;2020-05-05 20:45:12+00:00;1588711512.0;[1588711512, 1588711664.4, 1588711970.4, 1588712156.4, 1588712419.8000002];2020-05-05 21:00:19.800000+00:00;0.0;1;1;Client_2;A;cMqN;A_1;'C''8f''b6''8';L1;Analyst_4;['C', '8f', 'b6', '8'];Distance LESS 3;15.13;15.13;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
15;Tajikistan;2020-05-08 20:45:19+00:00;1588970719;2020-05-08 20:45:19+00:00;1588970719.0;[1588970719, 1588970762.2, 1588970919.4, 1588971195.4, 1588971265.0];2020-05-08 20:54:25+00:00;0.0;4;4;Client_1;D;EVhI;D_5;'B''9d''24''W';L1;Analyst_8;['B', '9d', '24', 'W'];Distance LESS 3;9.1;9.1;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
16;Turkmenistan;2020-05-12 22:55:08+00:00;1589324108;2020-05-12 22:55:08+00:00;1589324108.0;[1589324108, 1589324237.6, 1589324339.0, 1589324464.4];2020-05-12 23:01:04.400000+00:00;0.0;1;1;Client_1;J;czI;J_1;'C''b0''W';L1;Analyst_8;['C', 'b0', 'W'];Distance LESS 3;5.94;5.94;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
17;Slovakia;2020-05-15 23:51:20+00:00;1589586680;2020-05-15 23:51:20+00:00;1589586680.0;[1589586680, 1589586720.8, 1589586854.6, 1589587022.6, 1589587185.8];2020-05-15 23:59:45.800000+00:00;0.0;2;2;Client_2;E;E0wI;E_5;'B''a5''a5''W';L1;Analyst_4;['B', 'a5', 'a5', 'W'];Distance LESS 3;8.43;8.43;---;--;Closed;False;False;True;True;True;True;True;False;195.20.161.138;271;209.8.243.240;62969
18;Cameroon;2020-05-20 15:28:39+00:00;1589988519;2020-05-20 15:28:39+00:00;1589988519.0;[1589988519, 1589988725.58, 1589989081.32, 1589989295.1599998, 1589989491.1799998];2020-05-20 15:44:51.180000+00:00;0.0;1;1;Client_2;A;cMqN;A_1;'C''8f''b6''8';L1;Analyst_1;['C', '8f', 'b6', '8'];Distance LESS 3;14.73;16.203;---;--;Closed;False;True;False;False;True;False;True;True;---;---;---;---
19;Zimbabwe;2020-05-21 04:59:39+00:00;1590037179;2020-05-21 04:59:39+00:00;1590037179.0;[1590037179, 1590037264.2, 1590037551.6000001, 1590037834.2, 1590037912.8];2020-05-21 05:11:52.800000+00:00;0.0;4;4;Client_1;I;EQyI;I_6;'B''be''f5''W';L1;Analyst_6;['B', 'be', 'f5', 'W'];Distance LESS 3;12.23;12.23;---;--;Closed;False;False;False;False;False;True;False;True;---;---;---;---
20;Haiti;2020-05-24 17:17:50+00:00;1590340670;2020-05-24 17:17:50+00:00;1590340670.0;[1590340670, 1590340724.6, 1590340848.1999998, 1590341011.3999999, 1590341294.6, 1590341453.6];2020-05-24 17:30:53.600000+00:00;0.0;4;4;Client_1;D;EVhI;D_6;'B''e1''24''W';L1;Analyst_8;['B', 'e1', '6d', '24', 'W'];Distance LESS 3;13.06;13.06;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
21;Armenia;2020-05-28 13:51:10+00:00;1590673870;2020-05-28 13:51:10+00:00;1590673870.0;[1590673870, 1590673936.0, 1590674570.2, 1590674827.6000001, 1590674985.4];2020-05-28 14:09:45.400000+00:00;0.0;1;1;Client_1;G;EUjI;G_2;'B''23''6e''W';L1;Analyst_1;['B', '23', '6e', 'W'];Distance LESS 3;18.59;18.59;---;--;Closed;False;False;False;True;False;False;False;False;---;---;---;---
22;Hong Kong;2020-05-31 08:48:36+00:00;1590914916;2020-05-31 08:48:36+00:00;1590914916.0;[1590914916, 1590915063.6, 1590915124.1999998, 1590915254.3999999];2020-05-31 08:54:14.400000+00:00;0.0;1;1;Client_2;H;cwI;H_1;'C''4a''W';L1;Analyst_3;['C', '4a', 'W'];Distance LESS 3;5.64;5.64;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
23;India;2020-06-02 19:09:34+00:00;1591124974;2020-06-02 19:09:34+00:00;1591124974.0;[1591124974, 1591125194.8, 1591125486.3999999, 1591125793.6, 1591125946.6, 1591126165.6];2020-06-02 19:29:25.600000+00:00;0.0;1;1;Client_2;A;cMqN;A_1;'C''8f''b6''8';L1;Analyst_2;['C', 'd', '8f', 'b6', '8'];Distance LESS 3;19.86;19.86;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
24;Bangladesh;2020-06-04 07:37:27+00:00;1591256247;2020-06-04 07:37:27+00:00;1591256247.0;[1591256247, 1591256287.8, 1591256818.8, 1591256952.6, 1591257093.6];2020-06-04 07:51:33.600000+00:00;0.0;4;4;Client_2;I;EQyI;I_6;'B''be''f5''W';L1;Analyst_6;['B', 'be', 'f5', 'W'];Distance LESS 3;14.11;14.11;---;--;Closed;False;False;False;False;False;True;False;True;---;---;---;---
25;Vanuatu;2020-06-07 11:55:03+00:00;1591530903;2020-06-07 11:55:03+00:00;1591530903.0;[1591530903, 1591531086.0, 1591531436.4, 1591531767.6000001, 1591532029.8000002];2020-06-07 12:13:49.800000+00:00;0.0;2;2;Client_2;L;cjeN;L_1;'C''73''e4''8';L1;Analyst_1;['C', '73', 'e4', '8'];Distance LESS 3;18.78;18.78;---;--;Closed;False;False;False;False;True;True;True;True;---;---;---;---
26;Grenada;2020-06-07 14:35:58+00:00;1591540558;2020-06-07 14:35:58+00:00;1591540558.0;[1591540558, 1591540812.4, 1591540951.6000001, 1591541041.0000002, 1591541465.2000003, 1591541729.2000003];2020-06-07 14:55:29.200000+00:00;0.0;2;2;Client_2;B;cPeSN;B_6;'C''d5''78''5''8';L1;Analyst_5;['C', 'd5', '78', '5', '8'];Distance LESS 3;19.52;19.52;---;--;Closed;False;False;True;False;True;False;True;True;---;---;---;---
27;San Marino;2020-06-07 16:40:32+00:00;1591548032;2020-06-07 16:40:32+00:00;1591548032.0;[1591548032, 1591548119.6, 1591548245.0, 1591548674.0, 1591548813.2, 1591548966.2];2020-06-07 16:56:06.200000+00:00;0.0;4;4;Client_2;D;EVhI;D_5;'B''9d''24''W';L1;Analyst_4;['B', '9d', '24', '6d', 'W'];Distance LESS 3;15.57;15.57;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
28;Republic of Ireland;2020-06-09 04:41:39+00:00;1591677699;2020-06-09 04:41:39+00:00;1591677699.0;[1591677699, 1591677883.8, 1591677943.8, 1591678036.8];2020-06-09 04:47:16.800000+00:00;0.0;1;1;Client_2;H;cwI;H_1;'C''4a''W';L1;Analyst_7;['C', '4a', 'W'];Distance LESS 3;5.63;5.63;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
29;Morocco;2020-06-10 12:34:58+00:00;1591792498;2020-06-10 12:34:58+00:00;1591792498.0;[1591792498, 1591792794.4, 1591793075.8000002, 1591793282.8000002, 1591793482.6000001];2020-06-10 12:51:22.600000+00:00;0.0;1;1;Client_1;A;cMqN;A_1;'C''8f''b6''8';L1;Analyst_5;['C', '8f', 'b6', '8'];Distance LESS 3;16.41;16.41;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
30;Mauritania;2020-06-14 04:42:50+00:00;1592109770;2020-06-14 04:42:50+00:00;1592109770.0;[1592109770, 1592110007.6, 1592110072.9399998, 1592110226.7199998];2020-06-14 04:50:26.720000+00:00;0.0;1;1;Client_1;H;cwI;H_2;'C''4a''W';L1;Analyst_7;['C', '4a', 'W'];Distance LESS 3;6.92;7.612;---;--;Closed;False;True;False;False;False;False;False;False;---;---;---;---
31;Barbados;2020-06-14 18:25:35+00:00;1592159135;2020-06-14 18:25:35+00:00;1592159135.0;[1592159135, 1592159407.4, 1592159559.2, 1592159709.2];2020-06-14 18:35:09.200000+00:00;0.0;1;1;Client_1;J;czI;J_1;'C''b0''W';L1;Analyst_2;['C', 'b0', 'W'];Distance LESS 3;9.57;9.57;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
32;Burundi;2020-06-16 20:01:30+00:00;1592337690;2020-06-16 20:01:30+00:00;1592337690.0;[1592337690, 1592337903.0, 1592337993.6, 1592338096.1999998];2020-06-16 20:08:16.200000+00:00;0.0;1;1;Client_1;J;czI;J_2;'C''b0''W';L1;Analyst_8;['C', 'b0', 'W'];Distance LESS 3;6.77;6.77;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
33;Japan;2020-06-17 19:51:49+00:00;1592423509;2020-06-17 19:51:49+00:00;1592423509.0;[1592423509, 1592423736.4, 1592424134.2, 1592424271.0, 1592424497.2];2020-06-17 20:08:17.200000+00:00;0.0;1;1;Client_2;A;cMqN;A_1;'C''8f''b6''8';L1;Analyst_8;['C', '8f', 'b6', '8'];Distance LESS 3;16.47;16.47;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
34;Azerbaijan;2020-06-24 13:21:14+00:00;1593004874;2020-06-24 13:21:14+00:00;1593004874.0;[1593004874, 1593005017.4, 1593005152.4, 1593005292.8000002, 1593005591.6000001, 1593005855.0000002];2020-06-24 13:37:35+00:00;0.0;2;2;Client_2;B;cPeSN;B_6;'C''d5''78''5''8';L1;Analyst_5;['C', 'd5', '78', '5', '8'];Distance LESS 3;16.35;16.35;---;--;Closed;False;False;True;False;True;False;True;True;---;---;---;---
35;Sao Tome and Principe;2020-06-25 20:34:17+00:00;1593117257;2020-06-25 20:34:17+00:00;1593117257.0;[1593117257, 1593117296.6, 1593117578.0, 1593117793.4, 1593117951.2];2020-06-25 20:45:51.200000+00:00;0.0;3;3;Client_2;C;EdpN;C_2;'B''ba''65''8';L1;Analyst_4;['B', 'ba', '65', '8'];Distance LESS 3;11.57;11.57;---;--;Closed;False;False;False;False;True;False;False;False;---;---;---;---
36;Trinidad and Tobago;2020-06-27 14:50:04+00:00;1593269404;2020-06-27 14:50:04+00:00;1593269404.0;[1593269404, 1593269479.0, 1593269726.8, 1593269833.6, 1593269995.6];2020-06-27 14:59:55.600000+00:00;0.0;4;4;Client_1;I;EQyI;I_7;'B''65''5d''W';L1;Analyst_5;['B', '65', '5d', 'W'];Distance LESS 3;9.86;9.86;---;--;Closed;False;False;False;False;False;True;False;True;---;---;---;---
37;Djibouti;2020-07-04 15:43:23+00:00;1593877403;2020-07-04 15:43:23+00:00;1593877403.0;[1593877403, 1593877448.0, 1593877617.2, 1593877808.6000001, 1593877899.8000002];2020-07-04 15:51:39.800000+00:00;0.0;4;4;Client_2;D;EVhI;D_3;'B''9d''24''W';L1;Analyst_1;['B', '9d', '24', 'W'];Distance LESS 3;8.28;8.28;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
38;Sri Lanka;2020-07-06 04:28:50+00:00;1594009730;2020-07-06 04:28:50+00:00;1594009730.0;[1594009730, 1594009899.8, 1594009974.2, 1594010057.0, 1594010155.4];2020-07-06 04:35:55.400000+00:00;0.0;2;2;Client_2;F;cQ0I;F_3;'C''9''f9''W';L1;Analyst_9;['C', '9', 'f9', 'W'];Distance LESS 3;7.09;7.09;---;--;Closed;False;False;False;False;True;False;True;False;142.91.66.107;24442;79.142.6.94;60327
39;Kazakhstan;2020-07-09 11:06:57+00:00;1594292817;2020-07-09 11:06:57+00:00;1594292817.0;[1594292817, 1594292946.0, 1594293040.8, 1594293191.3999999, 1594293589.1999998, 1594293891.6];2020-07-09 11:24:51.600000+00:00;0.0;2;2;Client_2;B;cPeSN;B_1;'C''d5''cf''23''8';L1;Analyst_1;['C', 'd5', 'cf', '23', '8'];Distance LESS 3;17.91;17.91;---;--;Closed;False;False;True;False;True;False;True;True;---;---;---;---
40;Spain;2020-07-11 06:30:34+00:00;1594449034;2020-07-11 06:30:34+00:00;1594449034.0;[1594449034, 1594449098.8, 1594449392.8, 1594449503.2, 1594449613.6000001];2020-07-11 06:40:13.600000+00:00;0.0;4;4;Client_1;I;EQyI;I_5;'B''65''6f''W';L1;Analyst_7;['B', '65', '6f', 'W'];Distance LESS 3;9.66;9.66;---;--;Closed;False;False;False;False;False;True;False;True;---;---;---;---
41;Montenegro;2020-07-13 04:17:30+00:00;1594613850;2020-07-13 04:17:30+00:00;1594613850.0;[1594613850, 1594614069.6, 1594614500.3999999, 1594614696.6, 1594614852.0];2020-07-13 04:34:12+00:00;0.0;2;2;Client_1;L;cjeN;L_1;'C''73''e4''8';L1;Analyst_6;['C', '73', 'e4', '8'];Distance LESS 3;16.7;16.7;---;--;Closed;False;False;False;False;True;True;True;True;---;---;---;---
42;Tajikistan;2020-07-18 11:45:33+00:00;1595072733;2020-07-18 11:45:33+00:00;1595072733.0;[1595072733, 1595072809.56, 1595073071.58, 1595073284.76, 1595073394.98];2020-07-18 11:56:34.980000+00:00;0.0;4;4;Client_1;I;EQyI;I_7;'B''65''5d''W';L1;Analyst_1;['B', '65', '5d', 'W'];Distance LESS 3;10.03;11.033;---;--;Closed;False;True;False;False;False;True;False;True;---;---;---;---
43;Benin;2020-07-20 21:10:40+00:00;1595279440;2020-07-20 21:10:40+00:00;1595279440.0;[1595279440, 1595279650.0, 1595279848.6, 1595280350.8, 1595280503.2, 1595280769.0];2020-07-20 21:32:49+00:00;0.0;1;1;Client_2;A;cMqN;A_1;'C''8f''b6''8';L1;Analyst_2;['C', 'd', '8f', 'b6', '8'];Distance LESS 3;22.15;22.15;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
44;Singapore;2020-07-21 11:50:41+00:00;1595332241;2020-07-21 11:50:41+00:00;1595332241.0;[1595332241, 1595332324.82, 1595333171.6, 1595333431.6399999, 1595333630.3];2020-07-21 12:13:50.300000+00:00;0.0;1;1;Client_2;G;EUjI;G_2;'B''23''6e''W';L1;Analyst_3;['B', '23', '6e', 'W'];Distance LESS 3;21.05;23.155;---;--;Closed;False;True;False;True;False;False;False;False;---;---;---;---
45;Ivory Coast;2020-07-23 03:23:40+00:00;1595474620;2020-07-23 03:23:40+00:00;1595474620.0;[1595474620, 1595474674.6, 1595474815.0, 1595474946.4, 1595475130.0, 1595475295.0];2020-07-23 03:34:55+00:00;0.0;2;2;Client_2;E;E0wI;E_2;'B''38''ad''W';L1;Analyst_7;['B', '10', '38', 'ad', 'W'];Distance LESS 3;11.25;11.25;---;--;Closed;False;False;True;True;True;True;True;False;196.49.0.82;4936;105.21.101.193;59569
46;Malta;2020-07-27 11:17:44+00:00;1595848664;2020-07-27 11:17:44+00:00;1595848664.0;[1595848664, 1595848806.2, 1595848967.6000001, 1595849224.4];2020-07-27 11:27:04.400000+00:00;0.0;2;2;Client_2;K;cHN;K_1;'C''aa''8';L1;Analyst_5;['C', 'aa', '8'];Distance LESS 3;9.34;9.34;---;--;Closed;False;False;True;True;True;False;True;True;91.200.199.71;18402;200.30.153.102;62500
47;Mongolia;2020-07-31 01:34:50+00:00;1596159290;2020-07-31 01:34:50+00:00;1596159290.0;[1596159290, 1596159446.6, 1596159626.6, 1596159749.6, 1596159950.0];2020-07-31 01:45:50+00:00;0.0;2;2;Client_2;F;cQ0I;F_3;'C''9''f9''W';L1;Analyst_9;['C', '9', 'f9', 'W'];Distance LESS 3;11.0;11.0;---;--;Closed;False;False;False;False;True;False;True;False;46.36.196.83;11269;182.152.177.33;65350
48;El Salvador;2020-08-02 03:28:22+00:00;1596338902;2020-08-02 03:28:22+00:00;1596338902.0;[1596338902, 1596339164.68, 1596339309.22, 1596339412.18];2020-08-02 03:36:52.180000+00:00;0.0;1;1;Client_1;J;czI;J_3;'C''b0''W';L1;Analyst_7;['C', 'b0', 'W'];Distance LESS 3;7.73;8.503;---;--;Closed;False;True;False;False;False;False;False;False;---;---;---;---
49;Cape Verde;2020-08-03 06:24:34+00:00;1596435874;2020-08-03 06:24:34+00:00;1596435874.0;[1596435874, 1596436063.6, 1596436279.6, 1596436533.3999999];2020-08-03 06:35:33.400000+00:00;0.0;2;2;Client_1;K;cHN;K_2;'C''73''8';L1;Analyst_9;['C', '73', '8'];Distance LESS 3;10.99;10.99;---;--;Closed;False;False;True;True;True;False;True;True;41.215.209.26;34885;209.88.121.250;65475
