id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Thailand;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980489.0, 1585980619.8, 1585980924.6, 1585981315.8, 1585981419.0];2020-04-04 06:23:39+00:00;0.0;2;2;Client_1;F;IroTG;F_1;'i''db''43''a5''F';L1;Analyst_5;['i', 'db', '43', 'a5', 'F'];Distance LESS 3;16.9;16.9;---;--;Closed;False;False;False;False;False;False;False;False;203.153.136.232;262;46.36.200.167;60917
1;Serbia;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040943.0, 1586041097.2, 1586041214.8, 1586041315.6, 1586041766.8, 1586041903.6];2020-04-04 23:11:43.600000+00:00;0.0;2;2;Client_1;E;38cHMG;E_1;'h''66''1f''ec''f8''F';L1;Analyst_2;['h', '66', '1f', 'ec', 'f8', 'F'];Distance LESS 3;17.61;17.61;---;--;Closed;False;False;False;False;True;True;False;False;185.62.115.219;14567;179.61.158.42;64098
2;United Arab Emirates;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267319.4, 1586267387.8000002, 1586267510.2000003];2020-04-07 13:51:50.200000+00:00;0.0;2;2;Client_2;L;Izw;L_1;'i''3c''6';L1;Analyst_6;['i', '3c', '6'];Distance LESS 3;4.67;4.67;---;--;Closed;False;False;False;True;False;True;True;True;---;---;---;---
3;Sao Tome and Principe;2020-04-08 16:09:32+00:00;1586362172;2020-04-08 16:09:32+00:00;1586362172.0;[1586362172, 1586362276.4, 1586362719.8000002, 1586363047.4, 1586363247.2, 1586363570.6000001, 1586363820.2, 1586364040.4, 1586364179.6000001];2020-04-08 16:42:59.600000+00:00;0.0;2;2;Client_1;B;3dS0nvLG;B_6;'h''3b''2b''a1''be''d7''77''F';L1;Analyst_4;['h', '3b', '2b', 'a1', 'be', 'd7', '77', 'F'];Distance LESS 3;33.46;33.46;---;--;Closed;False;False;False;True;False;True;False;False;---;---;---;---
4;Latvia;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529577.62, 1586529669.36, 1586529755.1599998];2020-04-10 14:42:35.160000+00:00;0.0;3;3;Client_1;C;3eG;C_2;'h''11''F';L1;Analyst_6;['h', '11', 'F'];Distance LESS 3;5.26;5.786;---;--;Closed;False;True;False;False;False;False;False;False;---;---;---;---
5;Liechtenstein;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061969.6, 1587062468.1999998, 1587062526.3999999, 1587062931.9999998, 1587063075.3999999, 1587063302.1999998];2020-04-16 18:55:02.200000+00:00;0.0;1;1;Client_2;A;IrD78w;A_1;'i''b4''7e''24''67''6';L1;Analyst_2;['i', 'b4', '7e', '24', '67', '6'];Distance LESS 3;23.82;23.82;---;--;Closed;False;False;True;True;False;False;False;True;---;---;---;---
6;Uruguay;2020-04-18 15:01:33+00:00;1587222093;2020-04-18 15:01:33+00:00;1587222093.0;[1587222093, 1587222204.0, 1587222750.0, 1587222826.8, 1587223001.3999999];2020-04-18 15:16:41.400000+00:00;0.0;4;4;Client_2;D;32yw;D_6;'h''1''89''6';L1;Analyst_1;['h', '1', '89', '6'];Distance LESS 3;15.14;15.14;---;--;Closed;False;False;False;False;True;False;False;False;---;---;---;---
7;Republic of Ireland;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261760.8, 1587261930.0, 1587262162.2, 1587262449.0, 1587262846.8, 1587263005.8];2020-04-19 02:23:25.800000+00:00;0.0;2;2;Client_1;F;IroTG;F_2;'i''db''e7''2a''F';L1;Analyst_7;['i', 'db', 'e7', '2a', '88', 'F'];Distance LESS 3;21.48;21.48;---;--;Closed;False;False;False;False;False;False;False;False;54.247.209.76;5188;208.136.102.205;59437
8;Malawi;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510970.6, 1587511031.1999998, 1587511338.3999999, 1587511487.8, 1587511637.2, 1587511736.8];2020-04-21 23:28:56.800000+00:00;0.0;1;1;Client_1;J;3xqjdG;J_3;'h''de''39''99''72''F';L1;Analyst_2;['h', 'de', '39', '99', '72', 'F'];Distance LESS 3;15.23;15.23;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
9;Singapore;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666065.0, 1587666282.2, 1587666540.8, 1587666971.0, 1587667304.0, 1587667447.4];2020-04-23 18:44:07.400000+00:00;0.0;2;2;Client_2;E;38cHMG;E_5;'h''66''f9''dd''52''F';L1;Analyst_3;['h', '66', 'f9', 'dd', '52', 'F'];Distance LESS 3;24.19;24.19;---;--;Closed;False;False;False;False;True;True;False;False;119.81.239.62;29704;43.245.59.138;65157
