id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Panama;2020-04-03 14:49:45+00:00;1585925385;2020-04-03 14:49:45+00:00;1585925385.0;[1585925385, 1585925580.0, 1585925751.0, 1585925906.4];2020-04-03 14:58:26.400000+00:00;0.0;4;4;Client_1;D;szI;D_4;'3''72''x';L1;Analyst_6;['3', '72', 'x'];Distance LESS 3;8.69;8.69;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
1;Haiti;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980642.0, 1585981133.4, 1585981284.6000001, 1585981328.4, 1585981380.0];2020-04-04 06:23:00+00:00;0.0;4;4;Client_1;I;sw6Z4;I_7;'3''69''ef''74''c';L1;Analyst_5;['3', '69', 'ef', '74', 'c'];Distance LESS 3;16.25;16.25;---;--;Closed;False;False;False;True;True;True;True;True;---;---;---;---
2;Puerto Rico;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040945.4, 1586041163.8000002, 1586041210.0000002];2020-04-04 23:00:10+00:00;0.0;2;2;Client_2;K;7J4;K_2;'E''3e''c';L1;Analyst_7;['E', '3e', 'c'];Distance LESS 3;6.05;6.05;---;--;Closed;False;False;True;True;False;True;True;False;199.102.196.70;228;205.217.229.51;62811
3;Mauritania;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267401.6, 1586267668.0, 1586267854.6, 1586268046.0];2020-04-07 14:00:46+00:00;0.0;1;1;Client_1;A;7qTI;A_1;'E''65''84''x';L1;Analyst_8;['E', '65', '84', 'x'];Distance LESS 3;13.6;13.6;---;--;Closed;False;False;False;True;False;True;True;True;---;---;---;---
4;Colombia;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529585.0, 1586529912.0, 1586530054.8, 1586530195.2];2020-04-10 14:49:55.200000+00:00;0.0;1;1;Client_1;G;sbPI;G_1;'3''85''ae''x';L1;Analyst_8;['3', '85', 'ae', 'x'];Distance LESS 3;13.12;13.12;---;--;Closed;False;False;False;True;True;True;True;True;---;---;---;---
5;Estonia;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061960.0, 1587062179.0, 1587062305.0, 1587062382.4];2020-04-16 18:39:42.400000+00:00;0.0;1;1;Client_1;A;7qTI;A_1;'E''65''84''x';L1;Analyst_7;['E', '65', '84', 'x'];Distance LESS 3;8.49;8.49;---;--;Closed;False;False;False;True;False;True;True;True;---;---;---;---
6;Ethiopia;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261894.6, 1587262081.1999998, 1587262198.1999998];2020-04-19 02:09:58.200000+00:00;0.0;2;2;Client_2;L;7UI;L_1;'E''47''x';L1;Analyst_5;['E', '47', 'x'];Distance LESS 3;8.02;8.02;---;--;Closed;False;False;False;False;False;False;True;False;---;---;---;---
7;Hungary;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510970.0, 1587511090.6, 1587511217.8, 1587511402.0];2020-04-21 23:23:22+00:00;0.0;1;1;Client_1;A;7qTI;A_1;'E''65''84''x';L1;Analyst_1;['E', '65', '84', 'x'];Distance LESS 3;9.65;9.65;---;--;Closed;False;False;False;True;False;True;True;True;---;---;---;---
8;Hong Kong;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666257.6, 1587666440.0, 1587666513.2];2020-04-23 18:28:33.200000+00:00;0.0;4;4;Client_1;D;szI;D_3;'3''6f''x';L1;Analyst_1;['3', '6f', 'x'];Distance LESS 3;8.62;8.62;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
9;Czech Republic;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850980.2, 1587851133.2, 1587851216.6000001];2020-04-25 21:46:56.600000+00:00;0.0;3;3;Client_2;C;794;C_5;'E''36''c';L1;Analyst_2;['E', '36', 'c'];Distance LESS 3;7.16;7.16;---;--;Closed;False;False;True;False;False;True;False;True;---;---;---;---
10;Colombia;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587968932.4, 1587969086.0, 1587969135.8];2020-04-27 06:32:15.800000+00:00;0.0;2;2;Client_2;K;7J4;K_2;'E''3e''c';L1;Analyst_3;['E', '3e', 'c'];Distance LESS 3;5.88;5.88;---;--;Closed;False;False;True;True;False;True;True;False;200.14.206.103;12955;185.24.129.113;60229
11;Haiti;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588064100.4, 1588064455.6000001, 1588064495.8000002];2020-04-28 09:01:35.800000+00:00;0.0;2;2;Client_2;K;7J4;K_2;'E''3e''c';L1;Analyst_4;['E', '3e', 'c'];Distance LESS 3;9.23;9.23;---;--;Closed;False;False;True;True;False;True;True;False;192.255.95.33;11306;206.49.89.10;51077
12;Sierra Leone;2020-04-29 06:11:00+00:00;1588140660;2020-04-29 06:11:00+00:00;1588140660.0;[1588140660, 1588140807.0, 1588140931.8, 1588141010.3999999];2020-04-29 06:16:50.400000+00:00;0.0;2;2;Client_2;L;7UI;L_1;'E''47''x';L1;Analyst_9;['E', '47', 'x'];Distance LESS 3;5.84;5.84;---;--;Closed;False;False;False;False;False;False;True;False;---;---;---;---
13;Equatorial Guinea;2020-05-03 00:21:32+00:00;1588465292;2020-05-03 00:21:32+00:00;1588465292.0;[1588465292, 1588465548.8, 1588465844.6, 1588466223.1999998, 1588466329.9999998];2020-05-03 00:38:50+00:00;0.0;1;1;Client_2;H;sXDI;H_3;'3''8c''74''x';L1;Analyst_3;['3', '8c', '74', 'x'];Distance LESS 3;17.3;17.3;---;--;Closed;False;False;False;False;True;False;False;False;---;---;---;---
14;North Korea;2020-05-04 04:50:57+00:00;1588567857;2020-05-04 04:50:57+00:00;1588567857.0;[1588567857, 1588568037.6, 1588568220.6, 1588568556.6, 1588568679.6];2020-05-04 05:04:39.600000+00:00;0.0;2;2;Client_2;L;7UI;L_1;'E''47''x';L1;Analyst_5;['E', '47', '5e', 'x'];Distance LESS 3;13.71;13.71;---;--;Closed;False;False;False;False;False;False;True;False;---;---;---;---
