id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Finland;2020-04-03 14:49:45+00:00;1585925385;2020-04-03 14:49:45+00:00;1585925385.0;[1585925385, 1585925449.8, 1585925703.6, 1585925742.0, 1585925940.6];2020-04-03 14:59:00.600000+00:00;0.0;4;4;Client_1;I;Hh2A;I_1;'I''d7''1c''T';L1;Analyst_4;['I', 'd7', '1c', 'T'];Distance LESS 3;9.26;9.26;---;--;Closed;False;False;False;False;False;False;True;True;---;---;---;---
1;Guinea-Bissau;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980471.0, 1585980655.8, 1585980828.06, 1585981356.72, 1585981624.68];2020-04-04 06:27:04.680000+00:00;0.0;2;2;Client_1;L;kOBJ3;L_1;'Y''96''49''94''u';L1;Analyst_2;['Y', '96', '49', '94', 'u'];Distance LESS 3;18.48;20.328;---;--;Closed;False;True;True;True;False;False;False;True;---;---;---;---
2;Hong Kong;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040934.0, 1586041366.6, 1586041795.6, 1586042077.0];2020-04-04 23:14:37+00:00;0.0;4;4;Client_1;D;HnwA;D_1;'I''81''97''T';L1;Analyst_8;['I', '81', '97', 'T'];Distance LESS 3;20.5;20.5;---;--;Closed;False;False;False;False;True;False;False;False;---;---;---;---
3;Malta;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267313.4, 1586267671.6000001, 1586267857.0000002, 1586268058.0000002];2020-04-07 14:00:58+00:00;0.0;1;1;Client_2;G;H9n3;G_1;'I''e3''18''u';L1;Analyst_6;['I', 'e3', '18', 'u'];Distance LESS 3;13.8;13.8;---;--;Closed;False;False;False;False;True;True;False;False;---;---;---;---
4;Honduras;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529457.8, 1586530093.8, 1586530242.6, 1586530524.0];2020-04-10 14:55:24+00:00;0.0;4;4;Client_2;I;Hh2A;I_3;'I''12''94''T';L1;Analyst_4;['I', '12', '94', 'T'];Distance LESS 3;18.6;18.6;---;--;Closed;False;False;False;False;False;False;True;True;---;---;---;---
5;Bangladesh;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061914.4, 1587062108.8000002, 1587062258.8000002, 1587062557.6000001, 1587062795.2];2020-04-16 18:46:35.200000+00:00;0.0;3;3;Client_2;C;HDZE3;C_8;'I''fc''a''df''u';L1;Analyst_7;['I', 'fc', 'a', 'df', 'u'];Distance LESS 3;15.37;15.37;---;--;Closed;False;False;True;True;False;False;False;False;---;---;---;---
6;Morocco;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261756.6, 1587261904.1999998, 1587262021.7999997, 1587262454.9999998, 1587262685.3999999];2020-04-19 02:18:05.400000+00:00;0.0;2;2;Client_1;L;kOBJ3;L_1;'Y''96''49''94''u';L1;Analyst_3;['Y', '96', '49', '94', 'u'];Distance LESS 3;16.14;16.14;---;--;Closed;False;False;True;True;False;False;False;True;---;---;---;---
7;Australia;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510901.6, 1587511249.6, 1587511484.8, 1587511769.8, 1587512039.8];2020-04-21 23:33:59.800000+00:00;0.0;1;1;Client_1;J;kMVU3;J_2;'Y''3b''f6''ff''u';L1;Analyst_8;['Y', '3b', 'f6', 'ff', 'u'];Distance LESS 3;20.28;20.28;---;--;Closed;False;False;False;False;False;False;True;False;---;---;---;---
8;Haiti;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666067.4, 1587666282.8000002, 1587666465.8000002, 1587666728.6000001, 1587667149.8000002, 1587667287.2000003];2020-04-23 18:41:27.200000+00:00;0.0;1;1;Client_2;A;krFA;A_1;'Y''3d''70''T';L1;Analyst_8;['Y', '3d', 'fe', '3d', '70', 'T'];Distance LESS 3;21.52;21.52;---;--;Closed;False;False;True;True;False;True;True;True;---;---;---;---
9;Mongolia;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850850.6, 1587851082.1999998, 1587851228.6, 1587851513.6, 1587851718.1999998];2020-04-25 21:55:18.200000+00:00;0.0;3;3;Client_1;C;HDZE3;C_5;'I''a1''10''df''u';L1;Analyst_1;['I', 'a1', '10', 'df', 'u'];Distance LESS 3;15.52;15.52;---;--;Closed;False;False;True;True;False;False;False;False;---;---;---;---
10;Uganda;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587968830.4, 1587969429.2, 1587969993.8, 1587970304.6, 1587970471.3999999];2020-04-27 06:54:31.400000+00:00;0.0;2;2;Client_1;K;kn0SA;K_2;'Y''3b''4d''35''T';L1;Analyst_3;['Y', '3b', '4d', '35', 'T'];Distance LESS 3;28.14;28.14;---;--;Closed;False;False;True;True;False;False;False;True;80.78.20.81;39;64.76.81.176;59139
11;United States;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588064031.4, 1588064238.4, 1588064375.8000002, 1588064789.8000002, 1588065034.0000002];2020-04-28 09:10:34+00:00;0.0;2;2;Client_1;L;kOBJ3;L_1;'Y''96''49''94''u';L1;Analyst_4;['Y', '96', '49', '94', 'u'];Distance LESS 3;18.2;18.2;---;--;Closed;False;False;True;True;False;False;False;True;---;---;---;---
