id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Cape Verde;2020-04-02 19:41:59+00:00;1585856519;2020-04-02 19:41:59+00:00;1585856519.0;[1585856519, 1585856711.6, 1585856958.8, 1585857038.6, 1585857170.0];2020-04-02 19:52:50+00:00;0.0;3;3;Client_2;C;j7sw;C_1;'P''77''dc''0';L1;Analyst_1;['P', '77', 'dc', '0'];Distance LESS 3;10.85;10.85;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
1;Vanuatu;2020-04-03 12:37:49+00:00;1585917469;2020-04-03 12:37:49+00:00;1585917469.0;[1585917469, 1585917548.2, 1585917590.2, 1585917749.2, 1585917839.2];2020-04-03 12:43:59.200000+00:00;0.0;4;4;Client_2;I;zvnw;I_8;'G''fc''88''0';L1;Analyst_2;['G', 'fc', '88', '0'];Distance LESS 3;6.17;6.17;---;--;Closed;False;False;True;True;True;True;True;True;113.11.240.3;20916;217.113.81.77;63086
2;Ghana;2020-04-06 10:30:59+00:00;1586169059;2020-04-06 10:30:59+00:00;1586169059.0;[1586169059, 1586169101.6, 1586169440.0, 1586169669.2, 1586169837.2];2020-04-06 10:43:57.200000+00:00;0.0;2;2;Client_1;L;zmAw;L_1;'G''6b''6f''0';L1;Analyst_5;['G', '6b', '6f', '0'];Distance LESS 3;12.97;12.97;---;--;Closed;False;False;True;True;True;False;False;True;---;---;---;---
3;Kuwait;2020-04-11 06:29:41+00:00;1586586581;2020-04-11 06:29:41+00:00;1586586581.0;[1586586581, 1586586641.72, 1586587074.68, 1586587502.3600001, 1586587718.8400002];2020-04-11 06:48:38.840000+00:00;0.0;2;2;Client_1;F;zrxw;F_1;'G''a0''96''0';L1;Analyst_3;['G', 'a0', '96', '0'];Distance LESS 3;17.24;18.964;---;--;Closed;False;True;False;False;True;False;False;True;213.132.245.54;786;82.113.22.78;52290
4;Tajikistan;2020-04-15 01:15:53+00:00;1586913353;2020-04-15 01:15:53+00:00;1586913353.0;[1586913353, 1586913552.8, 1586913804.8, 1586913869.6];2020-04-15 01:24:29.600000+00:00;0.0;1;1;Client_2;J;jIt;J_2;'P''f3''y';L1;Analyst_3;['P', 'f3', 'y'];Distance LESS 3;8.61;8.61;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
5;Slovenia;2020-04-15 17:18:41+00:00;1586971121;2020-04-15 17:18:41+00:00;1586971121.0;[1586971121, 1586971253.6, 1586971538.0, 1586971755.2, 1586971795.4];2020-04-15 17:29:55.400000+00:00;0.0;1;1;Client_1;G;j8Ct;G_1;'P''19''aa''y';L1;Analyst_7;['P', '19', 'aa', 'y'];Distance LESS 3;11.24;11.24;---;--;Closed;False;False;False;True;True;True;True;False;---;---;---;---
6;Norway;2020-04-16 01:00:27+00:00;1586998827;2020-04-16 01:00:27+00:00;1586998827.0;[1586998827, 1586998975.2, 1586999212.2, 1586999258.4, 1586999453.4, 1586999509.8000002];2020-04-16 01:11:49.800000+00:00;0.0;2;2;Client_2;E;jAiDt;E_5;'P''2a''bd''18''y';L1;Analyst_4;['P', '2a', 'bd', '18', 'y'];Distance LESS 3;11.38;11.38;---;--;Closed;False;False;False;False;False;False;False;False;146.224.76.98;469;163.47.220.106;55458
7;Antigua and Barbuda;2020-04-19 14:40:51+00:00;1587307251;2020-04-19 14:40:51+00:00;1587307251.0;[1587307251, 1587307504.8, 1587307650.6, 1587307767.0, 1587307896.6];2020-04-19 14:51:36.600000+00:00;0.0;4;4;Client_2;D;j8vw;D_6;'P''f5''73''0';L1;Analyst_5;['P', 'f5', '73', '0'];Distance LESS 3;10.76;10.76;---;--;Closed;False;False;True;True;True;True;True;False;205.217.235.49;44958;186.2.229.81;49810
8;Marshall Islands;2020-04-20 09:17:56+00:00;1587374276;2020-04-20 09:17:56+00:00;1587374276.0;[1587374276, 1587374433.8, 1587374872.3999999, 1587374950.3999999, 1587375187.9999998, 1587375249.7999997];2020-04-20 09:34:09.800000+00:00;0.0;1;1;Client_2;H;jWudt;H_2;'P''32''5e''62''y';L1;Analyst_5;['P', '32', '5e', '62', 'y'];Distance LESS 3;16.23;16.23;---;--;Closed;False;False;True;False;True;True;False;True;---;---;---;---
9;Ghana;2020-04-21 09:37:10+00:00;1587461830;2020-04-21 09:37:10+00:00;1587461830.0;[1587461830, 1587462009.4, 1587462205.0, 1587462379.6, 1587462764.1999998, 1587462834.3999999];2020-04-21 09:53:54.400000+00:00;0.0;2;2;Client_2;B;jWUxt;B_5;'P''5''82''22''y';L1;Analyst_6;['P', '5', '82', '22', 'y'];Distance LESS 3;16.74;16.74;---;--;Closed;False;False;True;True;True;False;False;True;---;---;---;---
10;North Korea;2020-04-25 21:16:52+00:00;1587849412;2020-04-25 21:16:52+00:00;1587849412.0;[1587849412, 1587849585.4, 1587849808.0, 1587849986.8, 1587850153.6];2020-04-25 21:29:13.600000+00:00;0.0;3;3;Client_2;C;j7sw;C_1;'P''77''dc''0';L1;Analyst_1;['P', '77', 'dc', '0'];Distance LESS 3;12.36;12.36;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
11;Indonesia;2020-05-02 14:25:58+00:00;1588429558;2020-05-02 14:25:58+00:00;1588429558.0;[1588429558, 1588429610.8, 1588429685.3799999, 1588429744.12, 1588429836.52, 1588429990.96];2020-05-02 14:33:10.960000+00:00;0.0;4;4;Client_1;I;zvnw;I_8;'G''fc''88''0';L1;Analyst_2;['G', 'fc', 'bf', '88', '0'];Distance LESS 3;6.56;7.216;---;--;Closed;False;True;True;True;True;True;True;True;103.44.149.24;983;206.49.137.7;65076
12;Grenada;2020-05-07 00:32:34+00:00;1588811554;2020-05-07 00:32:34+00:00;1588811554.0;[1588811554, 1588811804.8, 1588812080.68, 1588812464.14, 1588812573.0400002, 1588812675.3400002];2020-05-07 00:51:15.340000+00:00;0.0;2;2;Client_1;E;jAiDt;E_3;'P''2a''f7''18''y';L1;Analyst_3;['P', '2a', 'f7', '18', 'y'];Distance LESS 3;16.99;18.689;---;--;Closed;False;True;False;False;False;False;False;False;196.3.73.123;961;5.32.176.206;49610
13;Suriname;2020-05-10 03:42:38+00:00;1589082158;2020-05-10 03:42:38+00:00;1589082158.0;[1589082158, 1589082459.2, 1589082539.6000001, 1589083062.8000002, 1589083482.2000003, 1589083538.6000004];2020-05-10 04:05:38.600000+00:00;0.0;1;1;Client_1;H;jWudt;H_3;'P''1a''80''62''y';L1;Analyst_9;['P', '1a', '80', '62', 'y'];Distance LESS 3;23.01;23.01;---;--;Closed;False;False;True;False;True;True;False;True;---;---;---;---
