id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Guatemala;2020-04-03 14:49:45+00:00;1585925385;2020-04-03 14:49:45+00:00;1585925385.0;[1585925385, 1585925527.56, 1585925713.6799998, 1585925925.5399997, 1585926071.3999996];2020-04-03 15:01:11.400000+00:00;0.0;4;4;Client_2;I;RhZG;I_1;'Q''ec''73''9';L1;Analyst_9;['Q', 'ec', '73', '9'];Distance LESS 3;10.4;11.44;---;--;Closed;False;True;False;True;True;False;True;True;---;---;---;---
1;Guinea-Bissau;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980570.66, 1585980711.9, 1585980834.0];2020-04-04 06:13:54+00:00;0.0;2;2;Client_1;L;RdG;L_1;'Q''94''9';L1;Analyst_7;['Q', '94', '9'];Distance LESS 3;6.5;7.15;---;--;Closed;False;True;True;False;True;True;False;True;---;---;---;---
2;Hong Kong;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586041109.2, 1586041709.8, 1586042403.3999999, 1586042568.3999999];2020-04-04 23:22:48.400000+00:00;0.0;4;4;Client_1;D;n0uG;D_1;'5''6a''ae''9';L1;Analyst_4;['5', '6a', 'ae', '9'];Distance LESS 3;28.69;28.69;---;--;Closed;False;False;True;False;False;False;False;False;---;---;---;---
3;New Zealand;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267363.8, 1586267465.2, 1586267584.0, 1586267665.0, 1586267749.6];2020-04-07 13:55:49.600000+00:00;0.0;1;1;Client_1;G;nHtTG;G_1;'5''68''45''bb''9';L1;Analyst_3;['5', '68', '45', 'bb', '9'];Distance LESS 3;8.66;8.66;---;--;Closed;False;False;False;True;False;False;False;True;---;---;---;---
4;United States;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529575.64, 1586529889.8000002, 1586530002.66, 1586530161.0600002];2020-04-10 14:49:21.060000+00:00;0.0;4;4;Client_2;I;RhZG;I_3;'Q''53''d5''9';L1;Analyst_9;['Q', '53', 'd5', '9'];Distance LESS 3;11.41;12.551;---;--;Closed;False;True;False;True;True;False;True;True;---;---;---;---
5;Bangladesh;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587061969.0, 1587062165.2, 1587062309.8];2020-04-16 18:38:29.800000+00:00;0.0;3;3;Client_2;C;RYG;C_8;'Q''73''9';L1;Analyst_4;['Q', '73', '9'];Distance LESS 3;7.28;7.28;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
6;Morocco;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261840.6, 1587261952.1999998, 1587262031.9999998];2020-04-19 02:07:12+00:00;0.0;2;2;Client_1;L;RdG;L_1;'Q''94''9';L1;Analyst_6;['Q', '94', '9'];Distance LESS 3;5.25;5.25;---;--;Closed;False;False;True;False;True;True;False;True;---;---;---;---
7;Australia;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587510947.8, 1587511175.2, 1587511384.6000001, 1587511604.8000002];2020-04-21 23:26:44.800000+00:00;0.0;1;1;Client_1;J;ny0c;J_2;'5''e3''d4''x';L1;Analyst_5;['5', 'e3', 'd4', 'x'];Distance LESS 3;13.03;13.03;---;--;Closed;False;False;True;True;False;False;True;True;---;---;---;---
8;Haiti;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666212.6, 1587666467.0, 1587666574.4, 1587666724.4, 1587666808.4];2020-04-23 18:33:28.400000+00:00;0.0;1;1;Client_2;A;RjYBG;A_1;'Q''84''80''eb''9';L1;Analyst_4;['Q', '84', '80', 'eb', '9'];Distance LESS 3;13.54;13.54;---;--;Closed;False;False;True;False;False;False;False;False;---;---;---;---
9;Mongolia;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850958.0, 1587851127.2, 1587851249.0];2020-04-25 21:47:29+00:00;0.0;3;3;Client_1;C;RYG;C_5;'Q''73''9';L1;Analyst_4;['Q', '73', '9'];Distance LESS 3;7.7;7.7;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
