id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Serbia;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980602.4, 1585981116.0, 1585981274.4];2020-04-04 06:21:14.400000+00:00;0.0;2;2;Client_1;F;epz;F_4;'2''8e''l';L1;Analyst_1;['2', '8e', 'l'];Distance LESS 3;14.49;14.49;---;--;Closed;False;False;True;True;False;True;True;True;160.99.116.22;11230;81.21.121.142;61124
1;Mauritius;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586040986.8, 1586041282.0, 1586041416.4, 1586041515.4];2020-04-04 23:05:15.400000+00:00;0.0;4;4;Client_1;D;eMXz;D_1;'2''3c''e1''l';L1;Analyst_2;['2', '3c', 'e1', 'l'];Distance LESS 3;11.14;11.14;---;--;Closed;False;False;False;True;True;True;True;True;---;---;---;---
2;East Timor;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267417.2, 1586267543.2, 1586267640.4, 1586267685.4, 1586267864.8000002];2020-04-07 13:57:44.800000+00:00;0.0;1;1;Client_2;G;eFQ1z;G_2;'2''74''91''4e''l';L1;Analyst_8;['2', '74', '91', '4e', 'l'];Distance LESS 3;10.58;10.58;---;--;Closed;False;False;False;True;False;False;False;True;---;---;---;---
3;Afghanistan;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529589.8, 1586529850.8, 1586529976.2, 1586530158.0];2020-04-10 14:49:18+00:00;0.0;4;4;Client_1;D;eMXz;D_3;'2''7b''e1''l';L1;Analyst_3;['2', '7b', 'e1', 'l'];Distance LESS 3;12.5;12.5;---;--;Closed;False;False;False;True;True;True;True;True;---;---;---;---
4;Tuvalu;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587062020.0, 1587062412.4, 1587062613.4, 1587062709.4, 1587062894.2, 1587063065.8];2020-04-16 18:51:05.800000+00:00;0.0;1;1;Client_1;A;PWwHNz;A_1;'a''16''c0''71''ba''l';L1;Analyst_6;['a', '16', 'c0', '71', 'ba', 'l'];Distance LESS 3;19.88;19.88;---;--;Closed;False;False;False;False;False;True;True;False;---;---;---;---
5;Belize;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261890.58, 1587262071.4199998, 1587262475.34, 1587262939.98, 1587263770.26, 1587263988.06, 1587264114.78];2020-04-19 02:41:54.780000+00:00;0.0;2;2;Client_1;E;e1TfCrz;E_5;'2''e0''1''a8''9d''eb''l';L1;Analyst_9;['2', 'e0', '1', 'a8', '9d', 'eb', 'l'];Distance LESS 3;36.33;39.963;---;--;Closed;False;True;True;True;False;False;True;True;32.59.18.229;43080;165.51.17.149;53486
6;Nicaragua;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587511086.4, 1587511181.8000002, 1587511447.0000002, 1587511682.2000003, 1587511821.4000003, 1587511969.6000004];2020-04-21 23:32:49.600000+00:00;0.0;1;1;Client_2;J;eKHQMb;J_2;'2''41''a9''8e''db''6';L1;Analyst_7;['2', '41', 'a9', '8e', 'db', '6'];Distance LESS 3;19.11;19.11;---;--;Closed;False;False;False;False;False;False;False;False;---;---;---;---
7;Benin;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666129.2, 1587666281.6000001, 1587666558.8000002, 1587666833.0000002, 1587667296.2000003, 1587667566.8000002, 1587667696.4];2020-04-23 18:48:16.400000+00:00;0.0;3;3;Client_2;C;PdVGqb;C_6;'a''c''0''49''f7''6';L1;Analyst_7;['a', 'c', '0', '49', '9c', 'f7', '6'];Distance LESS 3;28.34;28.34;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
8;Taiwan;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850959.8, 1587851719.3999999, 1587851806.3999999, 1587851938.3999999, 1587852115.3999999, 1587852280.9999998];2020-04-25 22:04:41+00:00;0.0;3;3;Client_1;C;PdVGqb;C_5;'a''9c''5b''e8''66''6';L1;Analyst_2;['a', '9c', '5b', 'e8', '66', '6'];Distance LESS 3;24.9;24.9;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
9;Austria;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587969042.8, 1587969312.8, 1587969929.0, 1587970014.8, 1587970179.2];2020-04-27 06:49:39.200000+00:00;0.0;1;1;Client_2;H;eysgz;H_3;'2''2f''5''10''l';L1;Analyst_4;['2', '2f', '5', '10', 'l'];Distance LESS 3;23.27;23.27;---;--;Closed;False;False;False;False;False;False;False;True;---;---;---;---
10;Equatorial Guinea;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588064189.8, 1588064717.2, 1588065073.6000001, 1588065256.6000001, 1588065332.8000002];2020-04-28 09:15:32.800000+00:00;0.0;1;1;Client_1;H;eysgz;H_3;'2''2f''5''10''l';L1;Analyst_5;['2', '2f', '5', '10', 'l'];Distance LESS 3;23.18;23.18;---;--;Closed;False;False;False;False;False;False;False;True;---;---;---;---
