id;country;raised;raised_tsp;allocated;allocated_tsp;stages;fixed;wait time;init_priority;priority;client;family;family action;subfamily;subfamily action;team;analyst;action;action status;duration;duration_outlier;similar;inheritance elapsed time;status;escalate;outlier;_feature_0;_feature_1;_feature_2;_feature_3;_feature_4;_feature_5;destination_ip;destination_port;source_ip;source_port
0;Hungary;2020-04-04 06:06:45+00:00;1585980405;2020-04-04 06:06:45+00:00;1585980405.0;[1585980405, 1585980602.4, 1585980864.6000001, 1585981012.2, 1585981214.4];2020-04-04 06:20:14.400000+00:00;0.0;2;2;Client_1;F;Vm04;F_3;'w''df''f3''k';L1;Analyst_8;['w', 'df', 'f3', 'k'];Distance LESS 3;13.49;13.49;---;--;Closed;False;False;True;True;True;True;False;False;87.242.50.213;561;49.156.167.158;65374
1;Hong Kong;2020-04-04 22:54:07+00:00;1586040847;2020-04-04 22:54:07+00:00;1586040847.0;[1586040847, 1586041025.2, 1586041682.8, 1586041942.6, 1586042332.0, 1586042875.0, 1586043012.4];2020-04-04 23:30:12.400000+00:00;0.0;4;4;Client_2;D;eNPys4;D_3;'W''cc''90''7d''91''k';L1;Analyst_3;['W', 'cc', '90', '7d', '91', 'k'];Distance LESS 3;36.09;36.09;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
2;Estonia;2020-04-07 13:47:10+00:00;1586267230;2020-04-07 13:47:10+00:00;1586267230.0;[1586267230, 1586267466.4, 1586267972.8000002, 1586268177.4, 1586269106.8000002, 1586269189.0000002];2020-04-07 14:19:49+00:00;0.0;1;1;Client_1;G;VKUlv;G_1;'w''fb''cd''c5''T';L1;Analyst_5;['w', 'fb', 'cd', 'c5', 'T'];Distance LESS 3;32.65;32.65;---;--;Closed;False;False;True;False;False;False;True;True;---;---;---;---
3;Armenia;2020-04-10 14:36:48+00:00;1586529408;2020-04-10 14:36:48+00:00;1586529408.0;[1586529408, 1586529526.2, 1586529675.0, 1586529905.4, 1586530267.8000002, 1586530848.0000002, 1586531020.2000003];2020-04-10 15:03:40.200000+00:00;0.0;4;4;Client_1;D;eNPys4;D_4;'W''a1''28''7d''fb''k';L1;Analyst_4;['W', 'a1', '28', '7d', 'fb', 'k'];Distance LESS 3;26.87;26.87;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
4;Samoa;2020-04-16 18:31:13+00:00;1587061873;2020-04-16 18:31:13+00:00;1587061873.0;[1587061873, 1587062083.0, 1587062165.2, 1587062246.8, 1587062803.0, 1587063257.8, 1587063652.6, 1587063731.8];2020-04-16 19:02:11.800000+00:00;0.0;2;2;Client_1;E;ejdBoPv;E_3;'W''a''23''5e''b9''eb''T';L1;Analyst_1;['W', 'a', '23', '5e', 'b9', 'eb', 'T'];Distance LESS 3;30.98;30.98;---;--;Closed;False;False;False;False;False;False;False;False;123.176.76.248;548;197.218.36.251;61495
5;South Korea;2020-04-19 02:01:57+00:00;1587261717;2020-04-19 02:01:57+00:00;1587261717.0;[1587261717, 1587261908.4, 1587262126.8000002, 1587262280.4, 1587262510.8000002];2020-04-19 02:15:10.800000+00:00;0.0;2;2;Client_1;F;Vm04;F_4;'w''df''74''k';L1;Analyst_9;['w', 'df', '74', 'k'];Distance LESS 3;13.23;13.23;---;--;Closed;False;False;True;True;True;True;False;False;134.75.123.75;38156;202.27.8.238;58852
6;United Kingdom;2020-04-21 23:13:43+00:00;1587510823;2020-04-21 23:13:43+00:00;1587510823.0;[1587510823, 1587511102.0, 1587511147.0, 1587511721.2, 1587512286.4, 1587512369.8000002];2020-04-21 23:39:29.800000+00:00;0.0;1;1;Client_1;J;eMamv;J_2;'W''a1''fd''cf''T';L1;Analyst_1;['W', 'a1', 'fd', 'cf', 'T'];Distance LESS 3;25.78;25.78;---;--;Closed;False;False;True;True;True;False;True;True;---;---;---;---
7;Latvia;2020-04-23 18:19:56+00:00;1587665996;2020-04-23 18:19:56+00:00;1587665996.0;[1587665996, 1587666252.8, 1587666954.8, 1587667209.2, 1587667278.8, 1587667685.6, 1587667845.1999998];2020-04-23 18:50:45.200000+00:00;0.0;3;3;Client_1;C;ep3Ia4;C_1;'W''51''56''b8''4b''k';L1;Analyst_1;['W', '51', '56', 'b8', '4b', 'k'];Distance LESS 3;30.82;30.82;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
8;Cambodia;2020-04-25 21:39:47+00:00;1587850787;2020-04-25 21:39:47+00:00;1587850787.0;[1587850787, 1587850980.2, 1587851348.6000001, 1587851487.8000002, 1587851754.8000002, 1587852182.0000002, 1587852311.0000002];2020-04-25 22:05:11+00:00;0.0;4;4;Client_2;D;eNPys4;D_3;'W''cc''90''7d''91''k';L1;Analyst_6;['W', 'cc', '90', '7d', '91', 'k'];Distance LESS 3;25.4;25.4;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
9;South Korea;2020-04-27 06:26:23+00:00;1587968783;2020-04-27 06:26:23+00:00;1587968783.0;[1587968783, 1587968932.4, 1587969650.0, 1587970287.2, 1587970348.4, 1587970792.4, 1587970971.2];2020-04-27 07:02:51.200000+00:00;0.0;1;1;Client_2;H;eAJfs4;H_1;'W''58''77''4d''fd''k';L1;Analyst_9;['W', '58', '77', '4d', 'fd', 'k'];Distance LESS 3;36.47;36.47;---;--;Closed;False;False;False;True;True;False;False;True;---;---;---;---
10;Iran;2020-04-28 08:52:22+00:00;1588063942;2020-04-28 08:52:22+00:00;1588063942.0;[1588063942, 1588064077.0, 1588064396.8, 1588064524.6, 1588064584.0];2020-04-28 09:03:04+00:00;0.0;2;2;Client_1;B;eYnv;B_1;'W''77''1f''T';L1;Analyst_5;['W', '77', '1f', 'T'];Distance LESS 3;10.7;10.7;---;--;Closed;False;False;True;True;True;True;True;True;---;---;---;---
11;Palau;2020-04-29 06:11:00+00:00;1588140660;2020-04-29 06:11:00+00:00;1588140660.0;[1588140660, 1588140862.2, 1588140920.4, 1588141407.6000001, 1588141725.0000002, 1588141797.6000001];2020-04-29 06:29:57.600000+00:00;0.0;1;1;Client_1;J;eMamv;J_3;'W''a1''6b''cf''T';L1;Analyst_9;['W', 'a1', '6b', 'cf', 'T'];Distance LESS 3;18.96;18.96;---;--;Closed;False;False;True;True;True;False;True;True;---;---;---;---
12;Liechtenstein;2020-05-03 00:21:32+00:00;1588465292;2020-05-03 00:21:32+00:00;1588465292.0;[1588465292, 1588465510.4, 1588466034.2, 1588466687.0, 1588466756.6, 1588467237.8, 1588467425.6];2020-05-03 00:57:05.600000+00:00;0.0;1;1;Client_1;H;eAJfs4;H_1;'W''58''77''4d''fd''k';L1;Analyst_9;['W', '58', '77', '4d', 'fd', 'k'];Distance LESS 3;35.56;35.56;---;--;Closed;False;False;False;True;True;False;False;True;---;---;---;---
13;Paraguay;2020-05-04 04:50:57+00:00;1588567857;2020-05-04 04:50:57+00:00;1588567857.0;[1588567857, 1588568102.4, 1588568851.2, 1588569581.4, 1588569657.0, 1588570326.6, 1588570774.1999998, 1588570895.3999999];2020-05-04 05:41:35.400000+00:00;0.0;1;1;Client_2;H;eAJfs4;H_1;'W''58''77''4d''fd''k';L1;Analyst_8;['W', '58', '77', '4d', 'fd', '58', 'k'];Distance LESS 3;50.64;50.64;---;--;Closed;False;False;False;True;True;False;False;True;---;---;---;---
14;Spain;2020-05-05 20:45:12+00:00;1588711512;2020-05-05 20:45:12+00:00;1588711512.0;[1588711512, 1588711698.0, 1588711968.0, 1588712502.6, 1588713100.1999998, 1588713140.3999999];2020-05-05 21:12:20.400000+00:00;0.0;1;1;Client_1;J;eMamv;J_1;'W''a3''fd''cf''T';L1;Analyst_1;['W', 'a3', 'fd', 'cf', 'T'];Distance LESS 3;27.14;27.14;---;--;Closed;False;False;True;True;True;False;True;True;---;---;---;---
15;Equatorial Guinea;2020-05-08 20:45:19+00:00;1588970719;2020-05-08 20:45:19+00:00;1588970719.0;[1588970719, 1588970883.4, 1588971080.8000002, 1588971253.6000001, 1588971426.4, 1588972091.8000002, 1588972228.0000002];2020-05-08 21:10:28+00:00;0.0;4;4;Client_2;D;eNPys4;D_6;'W''a1''58''7d''91''k';L1;Analyst_1;['W', 'a1', '58', '7d', '91', 'k'];Distance LESS 3;25.15;25.15;---;--;Closed;False;False;False;False;True;False;True;True;---;---;---;---
16;Denmark;2020-05-12 22:55:08+00:00;1589324108;2020-05-12 22:55:08+00:00;1589324108.0;[1589324108, 1589324339.0, 1589324644.4, 1589325295.4, 1589325455.6000001, 1589325535.4, 1589325606.2, 1589325851.6000001];2020-05-12 23:24:11.600000+00:00;0.0;1;1;Client_1;A;eNRJG84;A_1;'W''9d''8''5a''da''59''k';L1;Analyst_1;['W', '9d', '8', '5a', 'da', '59', 'k'];Distance LESS 3;29.06;29.06;---;--;Closed;False;False;False;True;True;True;True;True;---;---;---;---
